Variation #,Weight,Indices,Padding Idx
43,"Tensor<[30000, 128]> weight = ?","Tensor<[1, 12]> indices = ?",int padding_idx = 0
44,"Tensor<[2, 128]> weight = ?","Tensor<[1, 12]> indices = ?",
45,"Tensor<[512, 128]> weight = ?","Tensor<[1, 12]> indices = ?",
46,"Tensor<[30000, 128]> weight = ?","Tensor<[1, 9]> indices = ?",int padding_idx = 0
47,"Tensor<[2, 128]> weight = ?","Tensor<[1, 9]> indices = ?",
48,"Tensor<[512, 128]> weight = ?","Tensor<[1, 9]> indices = ?",
49,"Tensor<[51200, 1024]> weight = ?","Tensor<[1, 5]> indices = ?",
50,"Tensor<[51200, 1024]> weight = ?","Tensor<[1, 1]> indices = ?",
51,"Tensor<[30522, 768]> weight = ?","Tensor<[1, 16]> indices = ?",int padding_idx = 0
52,"Tensor<[512, 768]> weight = ?","Tensor<[1, 16]> indices = ?",
53,"Tensor<[81, 768]> weight = ?","Tensor<[1, 24]> indices = ?",int padding_idx = 1
54,"Tensor<[320, 64]> weight = ?","Tensor<[24, 24]> indices = ?",
55,"Tensor<[32128, 768]> weight = ?","Tensor<[1, 10]> indices = ?",
56,"Tensor<[32, 12]> weight = ?","Tensor<[10, 10]> indices = ?",
57,"Tensor<[32128, 768]> weight = ?","Tensor<[1, 1]> indices = ?",
58,"Tensor<[32, 12]> weight = ?","Tensor<[1, 1]> indices = ?",
59,"Tensor<[32, 12]> weight = ?","Tensor<[2, 2]> indices = ?",
60,"Tensor<[32, 12]> weight = ?","Tensor<[s0 + 1, s0 + 1]> indices = ?",
61,"Tensor<[32128, 1024]> weight = ?","Tensor<[1, 10]> indices = ?",
62,"Tensor<[32, 16]> weight = ?","Tensor<[10, 10]> indices = ?",
63,"Tensor<[32128, 1024]> weight = ?","Tensor<[1, 1]> indices = ?",
64,"Tensor<[32, 16]> weight = ?","Tensor<[1, 1]> indices = ?",
65,"Tensor<[32, 16]> weight = ?","Tensor<[2, 2]> indices = ?",
66,"Tensor<[32, 16]> weight = ?","Tensor<[s0 + 1, s0 + 1]> indices = ?",
67,"Tensor<[32128, 512]> weight = ?","Tensor<[1, 10]> indices = ?",
68,"Tensor<[32, 8]> weight = ?","Tensor<[10, 10]> indices = ?",
69,"Tensor<[32, 8]> weight = ?","Tensor<[1, 1]> indices = ?",
70,"Tensor<[32, 8]> weight = ?","Tensor<[2, 2]> indices = ?",
71,"Tensor<[32, 8]> weight = ?","Tensor<[s0 + 1, s0 + 1]> indices = ?",
72,"Tensor<[30000, 128]> weight = ?","Tensor<[1, 14]> indices = ?",int padding_idx = 0
73,"Tensor<[2, 128]> weight = ?","Tensor<[1, 14]> indices = ?",
74,"Tensor<[512, 128]> weight = ?","Tensor<[1, 14]> indices = ?",
