Variation #,Input,Weight,Bias,Running Mean,Running Var,Momentum,Eps
41,"Tensor<[1, 40, 40, 40]> input = ?",Optional[Tensor]<[40]> weight = ?,Optional[Tensor]<[40]> bias = ?,Tensor<[40]> running_mean = ?,Tensor<[40]> running_var = ?,float momentum = 0.03,float eps = 0.001
42,"Tensor<[1, 120, 40, 40]> input = ?",Optional[Tensor]<[120]> weight = ?,Optional[Tensor]<[120]> bias = ?,Tensor<[120]> running_mean = ?,Tensor<[120]> running_var = ?,float momentum = 0.03,float eps = 0.001
43,"Tensor<[1, 240, 40, 40]> input = ?",Optional[Tensor]<[240]> weight = ?,Optional[Tensor]<[240]> bias = ?,Tensor<[240]> running_mean = ?,Tensor<[240]> running_var = ?,float momentum = 0.03,float eps = 0.001
44,"Tensor<[1, 240, 20, 20]> input = ?",Optional[Tensor]<[240]> weight = ?,Optional[Tensor]<[240]> bias = ?,Tensor<[240]> running_mean = ?,Tensor<[240]> running_var = ?,float momentum = 0.03,float eps = 0.001
45,"Tensor<[1, 80, 20, 20]> input = ?",Optional[Tensor]<[80]> weight = ?,Optional[Tensor]<[80]> bias = ?,Tensor<[80]> running_mean = ?,Tensor<[80]> running_var = ?,float momentum = 0.03,float eps = 0.001
46,"Tensor<[1, 200, 20, 20]> input = ?",Optional[Tensor]<[200]> weight = ?,Optional[Tensor]<[200]> bias = ?,Tensor<[200]> running_mean = ?,Tensor<[200]> running_var = ?,float momentum = 0.03,float eps = 0.001
47,"Tensor<[1, 184, 20, 20]> input = ?",Optional[Tensor]<[184]> weight = ?,Optional[Tensor]<[184]> bias = ?,Tensor<[184]> running_mean = ?,Tensor<[184]> running_var = ?,float momentum = 0.03,float eps = 0.001
48,"Tensor<[1, 480, 20, 20]> input = ?",Optional[Tensor]<[480]> weight = ?,Optional[Tensor]<[480]> bias = ?,Tensor<[480]> running_mean = ?,Tensor<[480]> running_var = ?,float momentum = 0.03,float eps = 0.001
49,"Tensor<[1, 112, 20, 20]> input = ?",Optional[Tensor]<[112]> weight = ?,Optional[Tensor]<[112]> bias = ?,Tensor<[112]> running_mean = ?,Tensor<[112]> running_var = ?,float momentum = 0.03,float eps = 0.001
50,"Tensor<[1, 672, 20, 20]> input = ?",Optional[Tensor]<[672]> weight = ?,Optional[Tensor]<[672]> bias = ?,Tensor<[672]> running_mean = ?,Tensor<[672]> running_var = ?,float momentum = 0.03,float eps = 0.001
51,"Tensor<[1, 672, 10, 10]> input = ?",Optional[Tensor]<[672]> weight = ?,Optional[Tensor]<[672]> bias = ?,Tensor<[672]> running_mean = ?,Tensor<[672]> running_var = ?,float momentum = 0.03,float eps = 0.001
52,"Tensor<[1, 80, 10, 10]> input = ?",Optional[Tensor]<[80]> weight = ?,Optional[Tensor]<[80]> bias = ?,Tensor<[80]> running_mean = ?,Tensor<[80]> running_var = ?,float momentum = 0.03,float eps = 0.001
53,"Tensor<[1, 480, 10, 10]> input = ?",Optional[Tensor]<[480]> weight = ?,Optional[Tensor]<[480]> bias = ?,Tensor<[480]> running_mean = ?,Tensor<[480]> running_var = ?,float momentum = 0.03,float eps = 0.001
54,"Tensor<[1, 256, 10, 10]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
55,"Tensor<[1, 256, 5, 5]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
56,"Tensor<[1, 512, 5, 5]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.03,float eps = 0.001
57,"Tensor<[1, 128, 5, 5]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
58,"Tensor<[1, 128, 3, 3]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
59,"Tensor<[1, 256, 3, 3]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
60,"Tensor<[1, 128, 2, 2]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
61,"Tensor<[1, 256, 2, 2]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
62,"Tensor<[1, 64, 2, 2]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
63,"Tensor<[1, 64, 1, 1]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
64,"Tensor<[1, 128, 1, 1]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
65,"Tensor<[1, 64, 56, 56]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
66,"Tensor<[1, 128, 28, 28]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 1e-05
67,"Tensor<[1, 512, 28, 28]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.1,float eps = 1e-05
68,"Tensor<[1, 256, 14, 14]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 1e-05
69,"Tensor<[1, 512, 7, 7]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.1,float eps = 1e-05
70,"Tensor<[1, 256, 56, 56]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 1e-05
71,"Tensor<[1, 1024, 14, 14]> input = ?",Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,Tensor<[1024]> running_mean = ?,Tensor<[1024]> running_var = ?,float momentum = 0.1,float eps = 1e-05
72,"Tensor<[1, 512, 14, 14]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.1,float eps = 1e-05
73,"Tensor<[1, 2048, 7, 7]> input = ?",Optional[Tensor]<[2048]> weight = ?,Optional[Tensor]<[2048]> bias = ?,Tensor<[2048]> running_mean = ?,Tensor<[2048]> running_var = ?,float momentum = 0.1,float eps = 1e-05
74,"Tensor<[1, 256, 128, 128]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 1e-05
75,"Tensor<[1, 32, 512, 512]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.01,float eps = 1e-05
76,"Tensor<[1, 64, 256, 256]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.01,float eps = 1e-05
77,"Tensor<[1, 32, 256, 256]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.01,float eps = 1e-05
78,"Tensor<[1, 128, 128, 128]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.01,float eps = 1e-05
79,"Tensor<[1, 64, 128, 128]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.01,float eps = 1e-05
80,"Tensor<[1, 256, 64, 64]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.01,float eps = 1e-05
81,"Tensor<[1, 128, 64, 64]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.01,float eps = 1e-05
82,"Tensor<[1, 512, 32, 32]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.01,float eps = 1e-05
83,"Tensor<[1, 256, 32, 32]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.01,float eps = 1e-05
84,"Tensor<[1, 1024, 16, 16]> input = ?",Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,Tensor<[1024]> running_mean = ?,Tensor<[1024]> running_var = ?,float momentum = 0.01,float eps = 1e-05
85,"Tensor<[1, 512, 16, 16]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.01,float eps = 1e-05
86,"Tensor<[1, 256, 16, 16]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.01,float eps = 1e-05
87,"Tensor<[1, 128, 32, 32]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.01,float eps = 1e-05
88,"Tensor<[1, 32, 256, 256]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.03,float eps = 0.001
89,"Tensor<[1, 64, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
90,"Tensor<[1, 32, s0, s1]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.03,float eps = 0.001
91,"Tensor<[1, 64, s0, s1]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
92,"Tensor<[1, 128, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
93,"Tensor<[1, 64, s1, s2]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
94,"Tensor<[1, 128, s1, s2]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.03,float eps = 0.001
95,"Tensor<[1, 256, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
96,"Tensor<[1, 256, s1, s2]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
97,"Tensor<[1, 512, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.03,float eps = 0.001
98,"Tensor<[1, 512, s1, s2]> input = ?",Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,Tensor<[512]> running_mean = ?,Tensor<[512]> running_var = ?,float momentum = 0.03,float eps = 0.001
99,"Tensor<[1, 256, s0, s1]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.03,float eps = 0.001
100,"Tensor<[1, 96, 56, 56]> input = ?",Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,Tensor<[96]> running_mean = ?,Tensor<[96]> running_var = ?,float momentum = 0.1,float eps = 1e-05
101,"Tensor<[1, 160, 56, 56]> input = ?",Optional[Tensor]<[160]> weight = ?,Optional[Tensor]<[160]> bias = ?,Tensor<[160]> running_mean = ?,Tensor<[160]> running_var = ?,float momentum = 0.1,float eps = 1e-05
102,"Tensor<[1, 192, 56, 56]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 1e-05
103,"Tensor<[1, 224, 56, 56]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 1e-05
104,"Tensor<[1, 160, 28, 28]> input = ?",Optional[Tensor]<[160]> weight = ?,Optional[Tensor]<[160]> bias = ?,Tensor<[160]> running_mean = ?,Tensor<[160]> running_var = ?,float momentum = 0.1,float eps = 1e-05
105,"Tensor<[1, 192, 28, 28]> input = ?",Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,Tensor<[192]> running_mean = ?,Tensor<[192]> running_var = ?,float momentum = 0.1,float eps = 1e-05
106,"Tensor<[1, 224, 28, 28]> input = ?",Optional[Tensor]<[224]> weight = ?,Optional[Tensor]<[224]> bias = ?,Tensor<[224]> running_mean = ?,Tensor<[224]> running_var = ?,float momentum = 0.1,float eps = 1e-05
107,"Tensor<[1, 288, 28, 28]> input = ?",Optional[Tensor]<[288]> weight = ?,Optional[Tensor]<[288]> bias = ?,Tensor<[288]> running_mean = ?,Tensor<[288]> running_var = ?,float momentum = 0.1,float eps = 1e-05
108,"Tensor<[1, 352, 28, 28]> input = ?",Optional[Tensor]<[352]> weight = ?,Optional[Tensor]<[352]> bias = ?,Tensor<[352]> running_mean = ?,Tensor<[352]> running_var = ?,float momentum = 0.1,float eps = 1e-05
109,"Tensor<[1, 384, 28, 28]> input = ?",Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,Tensor<[384]> running_mean = ?,Tensor<[384]> running_var = ?,float momentum = 0.1,float eps = 1e-05
110,"Tensor<[1, 416, 28, 28]> input = ?",Optional[Tensor]<[416]> weight = ?,Optional[Tensor]<[416]> bias = ?,Tensor<[416]> running_mean = ?,Tensor<[416]> running_var = ?,float momentum = 0.1,float eps = 1e-05
111,"Tensor<[1, 448, 28, 28]> input = ?",Optional[Tensor]<[448]> weight = ?,Optional[Tensor]<[448]> bias = ?,Tensor<[448]> running_mean = ?,Tensor<[448]> running_var = ?,float momentum = 0.1,float eps = 1e-05
112,"Tensor<[1, 480, 28, 28]> input = ?",Optional[Tensor]<[480]> weight = ?,Optional[Tensor]<[480]> bias = ?,Tensor<[480]> running_mean = ?,Tensor<[480]> running_var = ?,float momentum = 0.1,float eps = 1e-05
113,"Tensor<[1, 128, 14, 14]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 1e-05
114,"Tensor<[1, 288, 14, 14]> input = ?",Optional[Tensor]<[288]> weight = ?,Optional[Tensor]<[288]> bias = ?,Tensor<[288]> running_mean = ?,Tensor<[288]> running_var = ?,float momentum = 0.1,float eps = 1e-05
115,"Tensor<[1, 320, 14, 14]> input = ?",Optional[Tensor]<[320]> weight = ?,Optional[Tensor]<[320]> bias = ?,Tensor<[320]> running_mean = ?,Tensor<[320]> running_var = ?,float momentum = 0.1,float eps = 1e-05
