Variation #,Input,Weight,Bias,Running Mean,Running Var,Momentum,Eps
0,"Tensor<[1, 64, 30, 40]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
1,"Tensor<[1, 32, 30, 40]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 1e-05
2,"Tensor<[1, 64, 60, 80]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
3,"Tensor<[1, 32, 60, 80]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 1e-05
4,"Tensor<[1, 64, 120, 160]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
5,"Tensor<[1, 32, 120, 160]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 1e-05
6,"Tensor<[1, 32, 112, 112]> input = ?",Optional[Tensor]<[32]> weight = ?,Optional[Tensor]<[32]> bias = ?,Tensor<[32]> running_mean = ?,Tensor<[32]> running_var = ?,float momentum = 0.1,float eps = 1e-05
7,"Tensor<[1, 64, 112, 112]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.1,float eps = 1e-05
8,"Tensor<[1, 14, 56, 56]> input = ?",Optional[Tensor]<[14]> weight = ?,Optional[Tensor]<[14]> bias = ?,Tensor<[14]> running_mean = ?,Tensor<[14]> running_var = ?,float momentum = 0.1,float eps = 1e-05
9,"Tensor<[1, 24, 56, 56]> input = ?",Optional[Tensor]<[24]> weight = ?,Optional[Tensor]<[24]> bias = ?,Tensor<[24]> running_mean = ?,Tensor<[24]> running_var = ?,float momentum = 0.1,float eps = 1e-05
10,"Tensor<[1, 40, 56, 56]> input = ?",Optional[Tensor]<[40]> weight = ?,Optional[Tensor]<[40]> bias = ?,Tensor<[40]> running_mean = ?,Tensor<[40]> running_var = ?,float momentum = 0.1,float eps = 1e-05
11,"Tensor<[1, 68, 56, 56]> input = ?",Optional[Tensor]<[68]> weight = ?,Optional[Tensor]<[68]> bias = ?,Tensor<[68]> running_mean = ?,Tensor<[68]> running_var = ?,float momentum = 0.1,float eps = 1e-05
12,"Tensor<[1, 128, 56, 56]> input = ?",Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,Tensor<[128]> running_mean = ?,Tensor<[128]> running_var = ?,float momentum = 0.1,float eps = 1e-05
13,"Tensor<[1, 16, 28, 28]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.1,float eps = 1e-05
14,"Tensor<[1, 28, 28, 28]> input = ?",Optional[Tensor]<[28]> weight = ?,Optional[Tensor]<[28]> bias = ?,Tensor<[28]> running_mean = ?,Tensor<[28]> running_var = ?,float momentum = 0.1,float eps = 1e-05
15,"Tensor<[1, 46, 28, 28]> input = ?",Optional[Tensor]<[46]> weight = ?,Optional[Tensor]<[46]> bias = ?,Tensor<[46]> running_mean = ?,Tensor<[46]> running_var = ?,float momentum = 0.1,float eps = 1e-05
16,"Tensor<[1, 78, 28, 28]> input = ?",Optional[Tensor]<[78]> weight = ?,Optional[Tensor]<[78]> bias = ?,Tensor<[78]> running_mean = ?,Tensor<[78]> running_var = ?,float momentum = 0.1,float eps = 1e-05
17,"Tensor<[1, 134, 28, 28]> input = ?",Optional[Tensor]<[134]> weight = ?,Optional[Tensor]<[134]> bias = ?,Tensor<[134]> running_mean = ?,Tensor<[134]> running_var = ?,float momentum = 0.1,float eps = 1e-05
18,"Tensor<[1, 256, 28, 28]> input = ?",Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,Tensor<[256]> running_mean = ?,Tensor<[256]> running_var = ?,float momentum = 0.1,float eps = 1e-05
19,"Tensor<[1, 20, 28, 28]> input = ?",Optional[Tensor]<[20]> weight = ?,Optional[Tensor]<[20]> bias = ?,Tensor<[20]> running_mean = ?,Tensor<[20]> running_var = ?,float momentum = 0.1,float eps = 1e-05
20,"Tensor<[1, 34, 28, 28]> input = ?",Optional[Tensor]<[34]> weight = ?,Optional[Tensor]<[34]> bias = ?,Tensor<[34]> running_mean = ?,Tensor<[34]> running_var = ?,float momentum = 0.1,float eps = 1e-05
21,"Tensor<[1, 58, 28, 28]> input = ?",Optional[Tensor]<[58]> weight = ?,Optional[Tensor]<[58]> bias = ?,Tensor<[58]> running_mean = ?,Tensor<[58]> running_var = ?,float momentum = 0.1,float eps = 1e-05
22,"Tensor<[1, 98, 28, 28]> input = ?",Optional[Tensor]<[98]> weight = ?,Optional[Tensor]<[98]> bias = ?,Tensor<[98]> running_mean = ?,Tensor<[98]> running_var = ?,float momentum = 0.1,float eps = 1e-05
23,"Tensor<[1, 168, 28, 28]> input = ?",Optional[Tensor]<[168]> weight = ?,Optional[Tensor]<[168]> bias = ?,Tensor<[168]> running_mean = ?,Tensor<[168]> running_var = ?,float momentum = 0.1,float eps = 1e-05
24,"Tensor<[1, 320, 28, 28]> input = ?",Optional[Tensor]<[320]> weight = ?,Optional[Tensor]<[320]> bias = ?,Tensor<[320]> running_mean = ?,Tensor<[320]> running_var = ?,float momentum = 0.1,float eps = 1e-05
25,"Tensor<[1, 40, 14, 14]> input = ?",Optional[Tensor]<[40]> weight = ?,Optional[Tensor]<[40]> bias = ?,Tensor<[40]> running_mean = ?,Tensor<[40]> running_var = ?,float momentum = 0.1,float eps = 1e-05
26,"Tensor<[1, 68, 14, 14]> input = ?",Optional[Tensor]<[68]> weight = ?,Optional[Tensor]<[68]> bias = ?,Tensor<[68]> running_mean = ?,Tensor<[68]> running_var = ?,float momentum = 0.1,float eps = 1e-05
27,"Tensor<[1, 116, 14, 14]> input = ?",Optional[Tensor]<[116]> weight = ?,Optional[Tensor]<[116]> bias = ?,Tensor<[116]> running_mean = ?,Tensor<[116]> running_var = ?,float momentum = 0.1,float eps = 1e-05
28,"Tensor<[1, 196, 14, 14]> input = ?",Optional[Tensor]<[196]> weight = ?,Optional[Tensor]<[196]> bias = ?,Tensor<[196]> running_mean = ?,Tensor<[196]> running_var = ?,float momentum = 0.1,float eps = 1e-05
29,"Tensor<[1, 334, 14, 14]> input = ?",Optional[Tensor]<[334]> weight = ?,Optional[Tensor]<[334]> bias = ?,Tensor<[334]> running_mean = ?,Tensor<[334]> running_var = ?,float momentum = 0.1,float eps = 1e-05
30,"Tensor<[1, 640, 14, 14]> input = ?",Optional[Tensor]<[640]> weight = ?,Optional[Tensor]<[640]> bias = ?,Tensor<[640]> running_mean = ?,Tensor<[640]> running_var = ?,float momentum = 0.1,float eps = 1e-05
31,"Tensor<[1, 160, 7, 7]> input = ?",Optional[Tensor]<[160]> weight = ?,Optional[Tensor]<[160]> bias = ?,Tensor<[160]> running_mean = ?,Tensor<[160]> running_var = ?,float momentum = 0.1,float eps = 1e-05
32,"Tensor<[1, 272, 7, 7]> input = ?",Optional[Tensor]<[272]> weight = ?,Optional[Tensor]<[272]> bias = ?,Tensor<[272]> running_mean = ?,Tensor<[272]> running_var = ?,float momentum = 0.1,float eps = 1e-05
33,"Tensor<[1, 462, 7, 7]> input = ?",Optional[Tensor]<[462]> weight = ?,Optional[Tensor]<[462]> bias = ?,Tensor<[462]> running_mean = ?,Tensor<[462]> running_var = ?,float momentum = 0.1,float eps = 1e-05
34,"Tensor<[1, 1024, 7, 7]> input = ?",Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,Tensor<[1024]> running_mean = ?,Tensor<[1024]> running_var = ?,float momentum = 0.1,float eps = 1e-05
35,"Tensor<[1, 16, 160, 160]> input = ?",Optional[Tensor]<[16]> weight = ?,Optional[Tensor]<[16]> bias = ?,Tensor<[16]> running_mean = ?,Tensor<[16]> running_var = ?,float momentum = 0.03,float eps = 0.001
36,"Tensor<[1, 64, 160, 160]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
37,"Tensor<[1, 64, 80, 80]> input = ?",Optional[Tensor]<[64]> weight = ?,Optional[Tensor]<[64]> bias = ?,Tensor<[64]> running_mean = ?,Tensor<[64]> running_var = ?,float momentum = 0.03,float eps = 0.001
38,"Tensor<[1, 24, 80, 80]> input = ?",Optional[Tensor]<[24]> weight = ?,Optional[Tensor]<[24]> bias = ?,Tensor<[24]> running_mean = ?,Tensor<[24]> running_var = ?,float momentum = 0.03,float eps = 0.001
39,"Tensor<[1, 72, 80, 80]> input = ?",Optional[Tensor]<[72]> weight = ?,Optional[Tensor]<[72]> bias = ?,Tensor<[72]> running_mean = ?,Tensor<[72]> running_var = ?,float momentum = 0.03,float eps = 0.001
40,"Tensor<[1, 72, 40, 40]> input = ?",Optional[Tensor]<[72]> weight = ?,Optional[Tensor]<[72]> bias = ?,Tensor<[72]> running_mean = ?,Tensor<[72]> running_var = ?,float momentum = 0.03,float eps = 0.001
