Variation #,Input
0,"Tensor<[1, 256, 4096]> input = ?"
1,"Tensor<[1, 25, 3072]> input = ?"
2,"Tensor<[1, 7, 18176]> input = ?"
3,"Tensor<[1, 19200, 256]> input = ?"
4,"Tensor<[1, 4800, 512]> input = ?"
5,"Tensor<[1, 1200, 1280]> input = ?"
6,"Tensor<[1, 300, 2048]> input = ?"
7,"Tensor<[1, 1024, 512]> input = ?"
8,"Tensor<[1, 256, 256]> input = ?"
9,"Tensor<[1, 256, 1280]> input = ?"
10,"Tensor<[1, 2048, 768]> input = ?"
11,"Tensor<[1, 10, 3072]> input = ?"
12,"Tensor<[1, 10, 768]> input = ?"
13,"Tensor<[1, 16384, 128]> input = ?"
14,"Tensor<[1, 4096, 256]> input = ?"
15,"Tensor<[1, 1024, 640]> input = ?"
16,"Tensor<[1, 256, 1024]> input = ?"
17,"Tensor<[1, 4096, 1280]> input = ?"
18,"Tensor<[1, 1024, 2560]> input = ?"
19,"Tensor<[1, 256, 5120]> input = ?"
20,"Tensor<[1, 64, 5120]> input = ?"
21,"Tensor<[1, 201, 3072]> input = ?"
22,"Tensor<[1, 1536]> input = ?"
23,"Tensor<[1, 768, 3000]> input = ?"
24,"Tensor<[1, 768, 1500]> input = ?"
25,"Tensor<[1, 1500, 3072]> input = ?"
26,"Tensor<[1, 1, 3072]> input = ?"
27,"Tensor<[1, 4, 3072]> input = ?"
28,"Tensor<[1, 19, 4096]> input = ?"
29,"Tensor<[1, 1445, 768]> input = ?"
30,"Tensor<[1, 16, 3072]> input = ?"
31,"Tensor<[1, 197, 3072]> input = ?"
32,"Tensor<[1, 197, 4096]> input = ?"
33,"Tensor<[1, 768, 384]> input = ?"
34,"Tensor<[1, 196, 3072]> input = ?"
35,"Tensor<[1, 24, 3072]> input = ?"
36,"Tensor<[1, 56, 56, 512]> input = ?"
37,"Tensor<[1, 28, 28, 1024]> input = ?"
38,"Tensor<[1, 14, 14, 2048]> input = ?"
39,"Tensor<[1, 7, 7, 4096]> input = ?"
40,"Tensor<[1, 56, 56, 384]> input = ?"
41,"Tensor<[1, 28, 28, 768]> input = ?"
42,"Tensor<[1, 14, 14, 1536]> input = ?"
43,"Tensor<[1, 7, 7, 3072]> input = ?"
44,"Tensor<[1, 64, 64, 512]> input = ?"
45,"Tensor<[1, 32, 32, 1024]> input = ?"
46,"Tensor<[1, 16, 16, 2048]> input = ?"
47,"Tensor<[1, 8, 8, 4096]> input = ?"
48,"Tensor<[1, 64, 64, 384]> input = ?"
49,"Tensor<[1, 32, 32, 768]> input = ?"
50,"Tensor<[1, 16, 16, 1536]> input = ?"
51,"Tensor<[1, 8, 8, 3072]> input = ?"
52,"Tensor<[1, 50, 3072]> input = ?"
53,"Tensor<[1, 1370, 5120]> input = ?"
54,"Tensor<[1, 50, 4096]> input = ?"
