Variation #,Input,Size,Fill Value,Pin Memory
0,"Tensor<[3, 320, 320]> input = ?","List[int] size = [1, 3, 320, 320]",number fill_value = 0,Optional[bool] pin_memory = False
1,"Tensor<[3, 800, 1066]> input = ?","List[int] size = [1, 3, 800, 1088]",number fill_value = 0,Optional[bool] pin_memory = False
2,"Tensor<[3, 300, 300]> input = ?","List[int] size = [1, 3, 300, 300]",number fill_value = 0,Optional[bool] pin_memory = False
