Variation #,Input
0,"Tensor<[1, 50, 3072]> input = ?"
1,"Tensor<[2, 7, 2048]> input = ?"
2,"Tensor<[6, 1, 100, 4]> input = ?"
3,"Tensor<[1, 2, 30, 40]> input = ?"
4,"Tensor<[1, 2, 60, 80]> input = ?"
5,"Tensor<[1, 2, 120, 160]> input = ?"
6,"Tensor<[1, 1, 480, 640]> input = ?"
7,"Tensor<[1, 1, 256, 256]> input = ?"
8,"Tensor<[1, 100, 4]> input = ?"
9,"Tensor<[1, 3, 64, 64, 85]> input = ?"
10,"Tensor<[1, 3, 32, 32, 85]> input = ?"
11,"Tensor<[1, 3, 16, 16, 85]> input = ?"
12,"Tensor<[1, 72, 28, 28]> input = ?"
13,"Tensor<[1, 120, 14, 14]> input = ?"
14,"Tensor<[1, 240, 14, 14]> input = ?"
15,"Tensor<[1, 200, 7, 7]> input = ?"
16,"Tensor<[1, 184, 7, 7]> input = ?"
17,"Tensor<[1, 480, 7, 7]> input = ?"
18,"Tensor<[1, 672, 7, 7]> input = ?"
19,"Tensor<[1, 960, 3, 3]> input = ?"
20,"Tensor<[1, 528, 1, 1]> input = ?"
21,"Tensor<[1, 1056, 1, 1]> input = ?"
22,"Tensor<[1, 2904, 1, 1]> input = ?"
23,"Tensor<[1, 7392, 1, 1]> input = ?"
24,"Tensor<[1, 224, 1, 1]> input = ?"
25,"Tensor<[1, 448, 1, 1]> input = ?"
26,"Tensor<[1, 1232, 1, 1]> input = ?"
27,"Tensor<[1, 3024, 1, 1]> input = ?"
28,"Tensor<[1, 48, 1, 1]> input = ?"
29,"Tensor<[1, 120, 1, 1]> input = ?"
30,"Tensor<[1, 336, 1, 1]> input = ?"
31,"Tensor<[1, 888, 1, 1]> input = ?"
32,"Tensor<[1, 232, 1, 1]> input = ?"
33,"Tensor<[1, 696, 1, 1]> input = ?"
34,"Tensor<[1, 1392, 1, 1]> input = ?"
35,"Tensor<[1, 3712, 1, 1]> input = ?"
36,"Tensor<[1, 72, 1, 1]> input = ?"
37,"Tensor<[1, 216, 1, 1]> input = ?"
38,"Tensor<[1, 576, 1, 1]> input = ?"
39,"Tensor<[1, 1512, 1, 1]> input = ?"
40,"Tensor<[1, 104, 1, 1]> input = ?"
41,"Tensor<[1, 208, 1, 1]> input = ?"
42,"Tensor<[1, 440, 1, 1]> input = ?"
43,"Tensor<[1, 64, 1, 1]> input = ?"
44,"Tensor<[1, 144, 1, 1]> input = ?"
45,"Tensor<[1, 320, 1, 1]> input = ?"
46,"Tensor<[1, 784, 1, 1]> input = ?"
47,"Tensor<[1, 896, 1, 1]> input = ?"
48,"Tensor<[1, 2016, 1, 1]> input = ?"
49,"Tensor<[1, 4, 64, 64]> input = ?"
50,"Tensor<[1, 8, 64, 64]> input = ?"
51,"Tensor<[1, 16, 64, 64]> input = ?"
52,"Tensor<[1, 32, 64, 64]> input = ?"
53,"Tensor<[1, 3, 64, 64]> input = ?"
54,"Tensor<[1, 6, 64, 64]> input = ?"
55,"Tensor<[1, 12, 64, 64]> input = ?"
56,"Tensor<[1, 24, 64, 64]> input = ?"
