Variation #,Input,Mat2
0,"Tensor<[32, 1536]> input = ?","Tensor<[1536, 250880]> mat2 = ?"
1,"Tensor<[1, 768]> input = ?","Tensor<[768, 512]> mat2 = ?"
2,"Tensor<[2, 512]> input = ?","Tensor<[512, 512]> mat2 = ?"
3,"Tensor<[2, 512]> input = ?","Tensor<[512, 1]> mat2 = ?"
4,"Tensor<[920, 256]> input = ?","Tensor<[256, 256]> mat2 = ?"
5,"Tensor<[15, 512]> input = ?","Tensor<[512, 384]> mat2 = ?"
6,"Tensor<[15, 384]> input = ?","Tensor<[384, 512]> mat2 = ?"
7,"Tensor<[15, 512]> input = ?","Tensor<[512, 1024]> mat2 = ?"
8,"Tensor<[15, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
9,"Tensor<[1, 512]> input = ?","Tensor<[512, 384]> mat2 = ?"
10,"Tensor<[1, 384]> input = ?","Tensor<[384, 512]> mat2 = ?"
11,"Tensor<[1, 512]> input = ?","Tensor<[512, 1024]> mat2 = ?"
12,"Tensor<[1, 1024]> input = ?","Tensor<[1024, 512]> mat2 = ?"
13,"Tensor<[1, 512]> input = ?","Tensor<[512, 32128]> mat2 = ?"
14,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 4672]> mat2 = ?"
15,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 4544]> mat2 = ?"
16,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 18176]> mat2 = ?"
17,"Tensor<[7, 18176]> input = ?","Tensor<[18176, 4544]> mat2 = ?"
18,"Tensor<[7, 4544]> input = ?","Tensor<[4544, 65024]> mat2 = ?"
19,"Tensor<[7, 768]> input = ?","Tensor<[768, 2]> mat2 = ?"
20,"Tensor<[45, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
21,"Tensor<[45, 768]> input = ?","Tensor<[768, 50257]> mat2 = ?"
22,"Tensor<[1, 768]> input = ?","Tensor<[768, 768]> mat2 = ?"
