Variation #,Input,Dim,Keepdim
0,"Tensor<[1, 15, 512]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
1,"Tensor<[1, 1, 512]> input = ?",Optional[List[int]] dim = [-1],bool keepdim = True
2,"Tensor<[1, 1024, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
3,"Tensor<[1, 256, 512]> input = ?",Optional[List[int]] dim = [1],
4,"Tensor<[1, 72, 40, 40]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
5,"Tensor<[1, 120, 40, 40]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
6,"Tensor<[1, 480, 20, 20]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
7,"Tensor<[1, 672, 20, 20]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
8,"Tensor<[1, 672, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
9,"Tensor<[1, 480, 10, 10]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
10,"Tensor<[1, 512, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
11,"Tensor<[1, 2048, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
12,"Tensor<[1, 2208, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
13,"Tensor<[1, 1664, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
14,"Tensor<[1, 1920, 7, 7]> input = ?","Optional[List[int]] dim = [-1, -2]",bool keepdim = True
15,"Tensor<[1, 256, 56, 56]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
16,"Tensor<[1, 512, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
17,"Tensor<[1, 768, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
18,"Tensor<[1, 1024, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
19,"Tensor<[1, 72, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
20,"Tensor<[1, 120, 28, 28]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
21,"Tensor<[1, 480, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
22,"Tensor<[1, 672, 14, 14]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
23,"Tensor<[1, 672, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
24,"Tensor<[1, 960, 7, 7]> input = ?","Optional[List[int]] dim = [2, 3]",bool keepdim = True
