Variation #,Input
109,"Tensor<[3072, 1024]> input = ?"
110,"Tensor<[51200, 1024]> input = ?"
111,"Tensor<[1000, 2208]> input = ?"
112,"Tensor<[1000, 1664]> input = ?"
113,"Tensor<[1000, 1920]> input = ?"
114,"Tensor<[1000, 768]> input = ?"
115,"Tensor<[1000, 1280]> input = ?"
116,"Tensor<[1000, 1536]> input = ?"
117,"Tensor<[384, 196]> input = ?"
118,"Tensor<[196, 384]> input = ?"
119,"Tensor<[21843, 768]> input = ?"
120,"Tensor<[1280, 960]> input = ?"
121,"Tensor<[1024, 576]> input = ?"
122,"Tensor<[1000, 912]> input = ?"
123,"Tensor<[1000, 2520]> input = ?"
124,"Tensor<[1000, 1008]> input = ?"
125,"Tensor<[1000, 400]> input = ?"
126,"Tensor<[1000, 672]> input = ?"
127,"Tensor<[1000, 7392]> input = ?"
128,"Tensor<[1000, 3024]> input = ?"
129,"Tensor<[1000, 888]> input = ?"
130,"Tensor<[1000, 3712]> input = ?"
131,"Tensor<[1000, 1512]> input = ?"
132,"Tensor<[1000, 440]> input = ?"
133,"Tensor<[1000, 784]> input = ?"
134,"Tensor<[1000, 2016]> input = ?"
135,"Tensor<[256, 80]> input = ?"
136,"Tensor<[768, 256]> input = ?"
137,"Tensor<[384, 128]> input = ?"
138,"Tensor<[1536, 512]> input = ?"
139,"Tensor<[1024, 2048]> input = ?"
140,"Tensor<[288, 96]> input = ?"
141,"Tensor<[96, 96]> input = ?"
142,"Tensor<[384, 96]> input = ?"
143,"Tensor<[96, 384]> input = ?"
144,"Tensor<[192, 384]> input = ?"
145,"Tensor<[576, 192]> input = ?"
146,"Tensor<[384, 768]> input = ?"
147,"Tensor<[1152, 384]> input = ?"
148,"Tensor<[384, 384]> input = ?"
149,"Tensor<[1536, 384]> input = ?"
150,"Tensor<[384, 1536]> input = ?"
151,"Tensor<[768, 1536]> input = ?"
152,"Tensor<[2304, 768]> input = ?"
153,"Tensor<[512, 2]> input = ?"
154,"Tensor<[4, 512]> input = ?"
155,"Tensor<[8, 512]> input = ?"
156,"Tensor<[16, 512]> input = ?"
157,"Tensor<[32, 512]> input = ?"
158,"Tensor<[3, 512]> input = ?"
159,"Tensor<[6, 512]> input = ?"
160,"Tensor<[12, 512]> input = ?"
161,"Tensor<[24, 512]> input = ?"
162,"Tensor<[32128, 768]> input = ?"
163,"Tensor<[32128, 1024]> input = ?"
164,"Tensor<[4096, 25088]> input = ?"
165,"Tensor<[1000, 4096]> input = ?"
166,"Tensor<[3840, 1280]> input = ?"
167,"Tensor<[5120, 1280]> input = ?"
