Variation #,Input
0,"Tensor<[128, 784]> input = ?"
1,"Tensor<[64, 128]> input = ?"
2,"Tensor<[12, 64]> input = ?"
3,"Tensor<[3, 12]> input = ?"
4,"Tensor<[12, 3]> input = ?"
5,"Tensor<[64, 12]> input = ?"
6,"Tensor<[128, 64]> input = ?"
7,"Tensor<[784, 128]> input = ?"
8,"Tensor<[1024, 1024]> input = ?"
9,"Tensor<[4096, 1024]> input = ?"
10,"Tensor<[1024, 4096]> input = ?"
11,"Tensor<[2, 1024]> input = ?"
12,"Tensor<[4608, 1536]> input = ?"
13,"Tensor<[1536, 1536]> input = ?"
14,"Tensor<[6144, 1536]> input = ?"
15,"Tensor<[1536, 6144]> input = ?"
16,"Tensor<[250880, 1536]> input = ?"
17,"Tensor<[768, 768]> input = ?"
18,"Tensor<[3072, 768]> input = ?"
19,"Tensor<[768, 3072]> input = ?"
20,"Tensor<[512, 512]> input = ?"
21,"Tensor<[2048, 512]> input = ?"
22,"Tensor<[512, 2048]> input = ?"
23,"Tensor<[512, 768]> input = ?"
24,"Tensor<[1, 512]> input = ?"
25,"Tensor<[2, 1]> input = ?"
26,"Tensor<[256, 256]> input = ?"
27,"Tensor<[2048, 256]> input = ?"
28,"Tensor<[256, 2048]> input = ?"
29,"Tensor<[92, 256]> input = ?"
30,"Tensor<[4, 256]> input = ?"
31,"Tensor<[2, 768]> input = ?"
32,"Tensor<[1, 768]> input = ?"
33,"Tensor<[384, 512]> input = ?"
34,"Tensor<[512, 384]> input = ?"
35,"Tensor<[1024, 512]> input = ?"
36,"Tensor<[512, 1024]> input = ?"
37,"Tensor<[32128, 512]> input = ?"
38,"Tensor<[65024, 4544]> input = ?"
39,"Tensor<[64, 64]> input = ?"
40,"Tensor<[256, 64]> input = ?"
41,"Tensor<[64, 256]> input = ?"
42,"Tensor<[128, 128]> input = ?"
43,"Tensor<[512, 128]> input = ?"
44,"Tensor<[128, 512]> input = ?"
45,"Tensor<[320, 320]> input = ?"
46,"Tensor<[1280, 320]> input = ?"
47,"Tensor<[320, 1280]> input = ?"
48,"Tensor<[50257, 768]> input = ?"
49,"Tensor<[1000, 1024]> input = ?"
50,"Tensor<[256, 512]> input = ?"
51,"Tensor<[512, 256]> input = ?"
52,"Tensor<[1000, 512]> input = ?"
53,"Tensor<[128, 9216]> input = ?"
54,"Tensor<[10, 128]> input = ?"
55,"Tensor<[128, 10]> input = ?"
56,"Tensor<[1, 10]> input = ?"
57,"Tensor<[9216, 128]> input = ?"
58,"Tensor<[1, 128]> input = ?"
59,"Tensor<[50272, 512]> input = ?"
60,"Tensor<[256, 1280]> input = ?"
61,"Tensor<[256, 768]> input = ?"
62,"Tensor<[1280, 768]> input = ?"
63,"Tensor<[1280, 1280]> input = ?"
64,"Tensor<[768, 1280]> input = ?"
65,"Tensor<[1000, 2048]> input = ?"
66,"Tensor<[250002, 768]> input = ?"
67,"Tensor<[32, 32]> input = ?"
68,"Tensor<[128, 32]> input = ?"
69,"Tensor<[32, 128]> input = ?"
70,"Tensor<[160, 160]> input = ?"
71,"Tensor<[640, 160]> input = ?"
72,"Tensor<[160, 640]> input = ?"
73,"Tensor<[1024, 256]> input = ?"
74,"Tensor<[256, 1024]> input = ?"
75,"Tensor<[256, 32]> input = ?"
76,"Tensor<[256, 160]> input = ?"
77,"Tensor<[320, 768]> input = ?"
78,"Tensor<[2560, 320]> input = ?"
79,"Tensor<[640, 1280]> input = ?"
80,"Tensor<[640, 640]> input = ?"
81,"Tensor<[640, 768]> input = ?"
82,"Tensor<[5120, 640]> input = ?"
83,"Tensor<[640, 2560]> input = ?"
84,"Tensor<[10240, 1280]> input = ?"
85,"Tensor<[1280, 5120]> input = ?"
86,"Tensor<[1536, 768]> input = ?"
87,"Tensor<[3129, 1536]> input = ?"
88,"Tensor<[51865, 768]> input = ?"
89,"Tensor<[256008, 1024]> input = ?"
90,"Tensor<[192, 192]> input = ?"
91,"Tensor<[768, 192]> input = ?"
92,"Tensor<[192, 768]> input = ?"
93,"Tensor<[92, 192]> input = ?"
94,"Tensor<[4, 192]> input = ?"
95,"Tensor<[768, 128]> input = ?"
96,"Tensor<[1024, 128]> input = ?"
97,"Tensor<[128, 1024]> input = ?"
98,"Tensor<[30000, 128]> input = ?"
99,"Tensor<[2048, 128]> input = ?"
100,"Tensor<[2048, 2048]> input = ?"
101,"Tensor<[8192, 2048]> input = ?"
102,"Tensor<[2048, 8192]> input = ?"
103,"Tensor<[128, 2048]> input = ?"
104,"Tensor<[4096, 128]> input = ?"
105,"Tensor<[4096, 4096]> input = ?"
106,"Tensor<[16384, 4096]> input = ?"
107,"Tensor<[4096, 16384]> input = ?"
108,"Tensor<[128, 4096]> input = ?"
