Variation #,Input
0,"Tensor<[1, 32, 26, 26]> input = ?"
1,"Tensor<[1, 64, 24, 24]> input = ?"
2,"Tensor<[1, 128]> input = ?"
3,"Tensor<[1, 10]> input = ?"
4,"Tensor<[1, 19, 1024]> input = ?"
