Variation #,Input
0,"Tensor<[1, 1280]> input = ?"
1,"Tensor<[1, 320, 64, 64]> input = ?"
2,"Tensor<[1, 320, 32, 32]> input = ?"
3,"Tensor<[1, 640, 32, 32]> input = ?"
4,"Tensor<[1, 640, 16, 16]> input = ?"
5,"Tensor<[1, 1280, 16, 16]> input = ?"
6,"Tensor<[1, 1280, 8, 8]> input = ?"
7,"Tensor<[1, 2560, 8, 8]> input = ?"
8,"Tensor<[1, 2560, 16, 16]> input = ?"
9,"Tensor<[1, 1920, 16, 16]> input = ?"
10,"Tensor<[1, 1920, 32, 32]> input = ?"
11,"Tensor<[1, 1280, 32, 32]> input = ?"
12,"Tensor<[1, 960, 32, 32]> input = ?"
13,"Tensor<[1, 960, 64, 64]> input = ?"
14,"Tensor<[1, 640, 64, 64]> input = ?"
15,"Tensor<[1, 32, 256, 256]> input = ?"
16,"Tensor<[1, 64, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?"
17,"Tensor<[1, 32, s0, s1]> input = ?"
18,"Tensor<[1, 64, s0, s1]> input = ?"
19,"Tensor<[1, 128, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?"
20,"Tensor<[1, 64, s1, s2]> input = ?"
21,"Tensor<[1, 128, s1, s2]> input = ?"
22,"Tensor<[1, 256, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?"
23,"Tensor<[1, 256, s1, s2]> input = ?"
24,"Tensor<[1, 512, ((s1 - 1)//2) + 1, ((s2 - 1)//2) + 1]> input = ?"
25,"Tensor<[1, 512, s1, s2]> input = ?"
26,"Tensor<[1, 256, s0, s1]> input = ?"
