Variation #,Input,Min Val,Max Val
21,"Tensor<[1, 116, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
22,"Tensor<[1, 196, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
23,"Tensor<[1, 334, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
24,"Tensor<[1, 640, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
25,"Tensor<[1, 160, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
26,"Tensor<[1, 272, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
27,"Tensor<[1, 462, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
28,"Tensor<[1, 1024, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
29,"Tensor<[1, 256, 10, 10]> input = ?",number min_val = 0.0,number max_val = 6.0
30,"Tensor<[1, 256, 5, 5]> input = ?",number min_val = 0.0,number max_val = 6.0
31,"Tensor<[1, 512, 5, 5]> input = ?",number min_val = 0.0,number max_val = 6.0
32,"Tensor<[1, 128, 5, 5]> input = ?",number min_val = 0.0,number max_val = 6.0
33,"Tensor<[1, 128, 3, 3]> input = ?",number min_val = 0.0,number max_val = 6.0
34,"Tensor<[1, 256, 3, 3]> input = ?",number min_val = 0.0,number max_val = 6.0
35,"Tensor<[1, 128, 2, 2]> input = ?",number min_val = 0.0,number max_val = 6.0
36,"Tensor<[1, 256, 2, 2]> input = ?",number min_val = 0.0,number max_val = 6.0
37,"Tensor<[1, 64, 2, 2]> input = ?",number min_val = 0.0,number max_val = 6.0
38,"Tensor<[1, 64, 1, 1]> input = ?",number min_val = 0.0,number max_val = 6.0
39,"Tensor<[1, 128, 1, 1]> input = ?",number min_val = 0.0,number max_val = 6.0
40,"Tensor<[1, 672, 20, 20]> input = ?",number min_val = 0.0,number max_val = 6.0
41,"Tensor<[1, 480, 10, 10]> input = ?",number min_val = 0.0,number max_val = 6.0
42,"Tensor<[1, 96, 112, 112]> input = ?",number min_val = 0.0,number max_val = 6.0
43,"Tensor<[1, 96, 56, 56]> input = ?",number min_val = 0.0,number max_val = 6.0
44,"Tensor<[1, 144, 56, 56]> input = ?",number min_val = 0.0,number max_val = 6.0
45,"Tensor<[1, 144, 28, 28]> input = ?",number min_val = 0.0,number max_val = 6.0
46,"Tensor<[1, 192, 28, 28]> input = ?",number min_val = 0.0,number max_val = 6.0
47,"Tensor<[1, 192, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
48,"Tensor<[1, 384, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
49,"Tensor<[1, 576, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
50,"Tensor<[1, 576, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
51,"Tensor<[1, 960, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
52,"Tensor<[1, 1280, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
53,"Tensor<[1, 64, 56, 56]> input = ?",number min_val = 0.0,number max_val = 6.0
54,"Tensor<[1, 128, 28, 28]> input = ?",number min_val = 0.0,number max_val = 6.0
55,"Tensor<[1, 256, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
56,"Tensor<[1, 512, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
57,"Tensor<[1, 512, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
58,"Tensor<[1, 240, 28, 28]> input = ?",number min_val = 0.0,number max_val = 6.0
59,"Tensor<[1, 240, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
60,"Tensor<[1, 480, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
61,"Tensor<[1, 672, 14, 14]> input = ?",number min_val = 0.0,number max_val = 6.0
62,"Tensor<[1, 672, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
63,"Tensor<[1, 1152, 7, 7]> input = ?",number min_val = 0.0,number max_val = 6.0
64,"Tensor<[1, 32, 120, 120]> input = ?",number min_val = 0.0,number max_val = 6.0
65,"Tensor<[1, 96, 120, 120]> input = ?",number min_val = 0.0,number max_val = 6.0
66,"Tensor<[1, 96, 60, 60]> input = ?",number min_val = 0.0,number max_val = 6.0
67,"Tensor<[1, 144, 60, 60]> input = ?",number min_val = 0.0,number max_val = 6.0
68,"Tensor<[1, 144, 30, 30]> input = ?",number min_val = 0.0,number max_val = 6.0
69,"Tensor<[1, 240, 30, 30]> input = ?",number min_val = 0.0,number max_val = 6.0
70,"Tensor<[1, 240, 15, 15]> input = ?",number min_val = 0.0,number max_val = 6.0
71,"Tensor<[1, 480, 15, 15]> input = ?",number min_val = 0.0,number max_val = 6.0
72,"Tensor<[1, 672, 15, 15]> input = ?",number min_val = 0.0,number max_val = 6.0
73,"Tensor<[1, 672, 8, 8]> input = ?",number min_val = 0.0,number max_val = 6.0
74,"Tensor<[1, 1152, 8, 8]> input = ?",number min_val = 0.0,number max_val = 6.0
75,"Tensor<[1, 1280, 8, 8]> input = ?",number min_val = 0.0,number max_val = 6.0
76,"Tensor<[1, 32, 130, 130]> input = ?",number min_val = 0.0,number max_val = 6.0
77,"Tensor<[1, 96, 130, 130]> input = ?",number min_val = 0.0,number max_val = 6.0
78,"Tensor<[1, 96, 65, 65]> input = ?",number min_val = 0.0,number max_val = 6.0
79,"Tensor<[1, 144, 65, 65]> input = ?",number min_val = 0.0,number max_val = 6.0
80,"Tensor<[1, 144, 33, 33]> input = ?",number min_val = 0.0,number max_val = 6.0
81,"Tensor<[1, 288, 33, 33]> input = ?",number min_val = 0.0,number max_val = 6.0
82,"Tensor<[1, 288, 17, 17]> input = ?",number min_val = 0.0,number max_val = 6.0
83,"Tensor<[1, 528, 17, 17]> input = ?",number min_val = 0.0,number max_val = 6.0
84,"Tensor<[1, 720, 17, 17]> input = ?",number min_val = 0.0,number max_val = 6.0
85,"Tensor<[1, 720, 9, 9]> input = ?",number min_val = 0.0,number max_val = 6.0
86,"Tensor<[1, 1248, 9, 9]> input = ?",number min_val = 0.0,number max_val = 6.0
87,"Tensor<[1, 1280, 9, 9]> input = ?",number min_val = 0.0,number max_val = 6.0
88,"Tensor<[1, 32, 150, 150]> input = ?",number min_val = 0.0,number max_val = 6.0
89,"Tensor<[1, 144, 150, 150]> input = ?",number min_val = 0.0,number max_val = 6.0
90,"Tensor<[1, 144, 75, 75]> input = ?",number min_val = 0.0,number max_val = 6.0
91,"Tensor<[1, 192, 75, 75]> input = ?",number min_val = 0.0,number max_val = 6.0
92,"Tensor<[1, 192, 38, 38]> input = ?",number min_val = 0.0,number max_val = 6.0
93,"Tensor<[1, 288, 38, 38]> input = ?",number min_val = 0.0,number max_val = 6.0
94,"Tensor<[1, 288, 19, 19]> input = ?",number min_val = 0.0,number max_val = 6.0
95,"Tensor<[1, 576, 19, 19]> input = ?",number min_val = 0.0,number max_val = 6.0
96,"Tensor<[1, 816, 19, 19]> input = ?",number min_val = 0.0,number max_val = 6.0
97,"Tensor<[1, 816, 10, 10]> input = ?",number min_val = 0.0,number max_val = 6.0
98,"Tensor<[1, 1392, 10, 10]> input = ?",number min_val = 0.0,number max_val = 6.0
99,"Tensor<[1, 1280, 10, 10]> input = ?",number min_val = 0.0,number max_val = 6.0
100,"Tensor<[1, 32, 190, 190]> input = ?",number min_val = 0.0,number max_val = 6.0
101,"Tensor<[1, 144, 190, 190]> input = ?",number min_val = 0.0,number max_val = 6.0
102,"Tensor<[1, 144, 95, 95]> input = ?",number min_val = 0.0,number max_val = 6.0
103,"Tensor<[1, 192, 95, 95]> input = ?",number min_val = 0.0,number max_val = 6.0
104,"Tensor<[1, 192, 48, 48]> input = ?",number min_val = 0.0,number max_val = 6.0
105,"Tensor<[1, 336, 48, 48]> input = ?",number min_val = 0.0,number max_val = 6.0
106,"Tensor<[1, 336, 24, 24]> input = ?",number min_val = 0.0,number max_val = 6.0
107,"Tensor<[1, 672, 24, 24]> input = ?",number min_val = 0.0,number max_val = 6.0
108,"Tensor<[1, 960, 24, 24]> input = ?",number min_val = 0.0,number max_val = 6.0
109,"Tensor<[1, 960, 12, 12]> input = ?",number min_val = 0.0,number max_val = 6.0
110,"Tensor<[1, 1632, 12, 12]> input = ?",number min_val = 0.0,number max_val = 6.0
111,"Tensor<[1, 1280, 12, 12]> input = ?",number min_val = 0.0,number max_val = 6.0
