Variation #,Input,Mat1,Mat2
101,Tensor<[1280]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
102,Tensor<[320]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 320]> mat2 = ?"
103,Tensor<[320]> input = ?,"Tensor<[4096, 320]> mat1 = ?","Tensor<[320, 320]> mat2 = ?"
104,Tensor<[2560]> input = ?,"Tensor<[4096, 320]> mat1 = ?","Tensor<[320, 2560]> mat2 = ?"
105,Tensor<[320]> input = ?,"Tensor<[4096, 1280]> mat1 = ?","Tensor<[1280, 320]> mat2 = ?"
106,Tensor<[640]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 640]> mat2 = ?"
107,Tensor<[640]> input = ?,"Tensor<[1024, 640]> mat1 = ?","Tensor<[640, 640]> mat2 = ?"
108,Tensor<[5120]> input = ?,"Tensor<[1024, 640]> mat1 = ?","Tensor<[640, 5120]> mat2 = ?"
109,Tensor<[640]> input = ?,"Tensor<[1024, 2560]> mat1 = ?","Tensor<[2560, 640]> mat2 = ?"
110,Tensor<[10240]> input = ?,"Tensor<[256, 1280]> mat1 = ?","Tensor<[1280, 10240]> mat2 = ?"
111,Tensor<[1280]> input = ?,"Tensor<[256, 5120]> mat1 = ?","Tensor<[5120, 1280]> mat2 = ?"
112,Tensor<[1280]> input = ?,"Tensor<[64, 1280]> mat1 = ?","Tensor<[1280, 1280]> mat2 = ?"
113,Tensor<[10240]> input = ?,"Tensor<[64, 1280]> mat1 = ?","Tensor<[1280, 10240]> mat2 = ?"
114,Tensor<[1280]> input = ?,"Tensor<[64, 5120]> mat1 = ?","Tensor<[5120, 1280]> mat2 = ?"
115,Tensor<[768]> input = ?,"Tensor<[201, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
116,Tensor<[3072]> input = ?,"Tensor<[201, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
117,Tensor<[768]> input = ?,"Tensor<[201, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
118,Tensor<[1536]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 1536]> mat2 = ?"
119,Tensor<[3129]> input = ?,"Tensor<[1, 1536]> mat1 = ?","Tensor<[1536, 3129]> mat2 = ?"
120,Tensor<[768]> input = ?,"Tensor<[1500, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
121,Tensor<[3072]> input = ?,"Tensor<[1500, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
122,Tensor<[768]> input = ?,"Tensor<[1500, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
123,Tensor<[768]> input = ?,"Tensor<[4, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
124,Tensor<[3072]> input = ?,"Tensor<[4, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
125,Tensor<[768]> input = ?,"Tensor<[4, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
126,Tensor<[1024]> input = ?,"Tensor<[19, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
127,Tensor<[4096]> input = ?,"Tensor<[19, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
128,Tensor<[1024]> input = ?,"Tensor<[19, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
129,Tensor<[192]> input = ?,"Tensor<[1445, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
130,Tensor<[768]> input = ?,"Tensor<[1445, 192]> mat1 = ?","Tensor<[192, 768]> mat2 = ?"
131,Tensor<[192]> input = ?,"Tensor<[1445, 768]> mat1 = ?","Tensor<[768, 192]> mat2 = ?"
132,Tensor<[192]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
133,Tensor<[92]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 92]> mat2 = ?"
134,Tensor<[4]> input = ?,"Tensor<[100, 192]> mat1 = ?","Tensor<[192, 4]> mat2 = ?"
135,Tensor<[768]> input = ?,"Tensor<[12, 128]> mat1 = ?","Tensor<[128, 768]> mat2 = ?"
136,Tensor<[768]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
137,Tensor<[3072]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
138,Tensor<[768]> input = ?,"Tensor<[12, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
139,Tensor<[2]> input = ?,"Tensor<[12, 768]> mat1 = ?","Tensor<[768, 2]> mat2 = ?"
140,Tensor<[1024]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 1024]> mat2 = ?"
141,Tensor<[1024]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
142,Tensor<[4096]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
143,Tensor<[1024]> input = ?,"Tensor<[9, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
144,Tensor<[128]> input = ?,"Tensor<[9, 1024]> mat1 = ?","Tensor<[1024, 128]> mat2 = ?"
145,Tensor<[30000]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 30000]> mat2 = ?"
146,Tensor<[2048]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 2048]> mat2 = ?"
147,Tensor<[2048]> input = ?,"Tensor<[9, 2048]> mat1 = ?","Tensor<[2048, 2048]> mat2 = ?"
148,Tensor<[8192]> input = ?,"Tensor<[9, 2048]> mat1 = ?","Tensor<[2048, 8192]> mat2 = ?"
149,Tensor<[2048]> input = ?,"Tensor<[9, 8192]> mat1 = ?","Tensor<[8192, 2048]> mat2 = ?"
150,Tensor<[128]> input = ?,"Tensor<[9, 2048]> mat1 = ?","Tensor<[2048, 128]> mat2 = ?"
151,Tensor<[4096]> input = ?,"Tensor<[9, 128]> mat1 = ?","Tensor<[128, 4096]> mat2 = ?"
152,Tensor<[4096]> input = ?,"Tensor<[9, 4096]> mat1 = ?","Tensor<[4096, 4096]> mat2 = ?"
153,Tensor<[16384]> input = ?,"Tensor<[9, 4096]> mat1 = ?","Tensor<[4096, 16384]> mat2 = ?"
154,Tensor<[4096]> input = ?,"Tensor<[9, 16384]> mat1 = ?","Tensor<[16384, 4096]> mat2 = ?"
155,Tensor<[128]> input = ?,"Tensor<[9, 4096]> mat1 = ?","Tensor<[4096, 128]> mat2 = ?"
156,Tensor<[4096]> input = ?,"Tensor<[5, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
157,Tensor<[1024]> input = ?,"Tensor<[5, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
158,Tensor<[51200]> input = ?,"Tensor<[5, 1024]> mat1 = ?","Tensor<[1024, 51200]> mat2 = ?"
159,Tensor<[51200]> input = ?,"Tensor<[1, 1024]> mat1 = ?","Tensor<[1024, 51200]> mat2 = ?"
160,Tensor<[1000]> input = ?,"Tensor<[1, 2208]> mat1 = ?","Tensor<[2208, 1000]> mat2 = ?"
161,Tensor<[1000]> input = ?,"Tensor<[1, 1664]> mat1 = ?","Tensor<[1664, 1000]> mat2 = ?"
162,Tensor<[1000]> input = ?,"Tensor<[1, 1920]> mat1 = ?","Tensor<[1920, 1000]> mat2 = ?"
163,Tensor<[768]> input = ?,"Tensor<[16, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
164,Tensor<[3072]> input = ?,"Tensor<[16, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
165,Tensor<[768]> input = ?,"Tensor<[16, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
166,Tensor<[768]> input = ?,"Tensor<[197, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
167,Tensor<[3072]> input = ?,"Tensor<[197, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
168,Tensor<[768]> input = ?,"Tensor<[197, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
169,Tensor<[1000]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 1000]> mat2 = ?"
170,Tensor<[1000]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 1000]> mat2 = ?"
171,Tensor<[1000]> input = ?,"Tensor<[1, 1536]> mat1 = ?","Tensor<[1536, 1000]> mat2 = ?"
172,Tensor<[1024]> input = ?,"Tensor<[197, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
173,Tensor<[4096]> input = ?,"Tensor<[197, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
174,Tensor<[1024]> input = ?,"Tensor<[197, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
175,Tensor<[196]> input = ?,"Tensor<[768, 384]> mat1 = ?","Tensor<[384, 196]> mat2 = ?"
176,Tensor<[3072]> input = ?,"Tensor<[196, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
177,Tensor<[768]> input = ?,"Tensor<[196, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
178,Tensor<[21843]> input = ?,"Tensor<[1, 768]> mat1 = ?","Tensor<[768, 21843]> mat2 = ?"
179,Tensor<[1280]> input = ?,"Tensor<[1, 960]> mat1 = ?","Tensor<[960, 1280]> mat2 = ?"
180,Tensor<[1024]> input = ?,"Tensor<[1, 576]> mat1 = ?","Tensor<[576, 1024]> mat2 = ?"
181,Tensor<[1000]> input = ?,"Tensor<[1, 912]> mat1 = ?","Tensor<[912, 1000]> mat2 = ?"
182,Tensor<[1000]> input = ?,"Tensor<[1, 2520]> mat1 = ?","Tensor<[2520, 1000]> mat2 = ?"
183,Tensor<[1000]> input = ?,"Tensor<[1, 1008]> mat1 = ?","Tensor<[1008, 1000]> mat2 = ?"
184,Tensor<[1000]> input = ?,"Tensor<[1, 400]> mat1 = ?","Tensor<[400, 1000]> mat2 = ?"
185,Tensor<[1000]> input = ?,"Tensor<[1, 672]> mat1 = ?","Tensor<[672, 1000]> mat2 = ?"
186,Tensor<[1000]> input = ?,"Tensor<[1, 7392]> mat1 = ?","Tensor<[7392, 1000]> mat2 = ?"
187,Tensor<[1000]> input = ?,"Tensor<[1, 3024]> mat1 = ?","Tensor<[3024, 1000]> mat2 = ?"
188,Tensor<[1000]> input = ?,"Tensor<[1, 888]> mat1 = ?","Tensor<[888, 1000]> mat2 = ?"
189,Tensor<[1000]> input = ?,"Tensor<[1, 3712]> mat1 = ?","Tensor<[3712, 1000]> mat2 = ?"
190,Tensor<[1000]> input = ?,"Tensor<[1, 1512]> mat1 = ?","Tensor<[1512, 1000]> mat2 = ?"
191,Tensor<[1000]> input = ?,"Tensor<[1, 440]> mat1 = ?","Tensor<[440, 1000]> mat2 = ?"
192,Tensor<[1000]> input = ?,"Tensor<[1, 784]> mat1 = ?","Tensor<[784, 1000]> mat2 = ?"
193,Tensor<[1000]> input = ?,"Tensor<[1, 2016]> mat1 = ?","Tensor<[2016, 1000]> mat2 = ?"
194,Tensor<[768]> input = ?,"Tensor<[24, 768]> mat1 = ?","Tensor<[768, 768]> mat2 = ?"
195,Tensor<[3072]> input = ?,"Tensor<[24, 768]> mat1 = ?","Tensor<[768, 3072]> mat2 = ?"
196,Tensor<[768]> input = ?,"Tensor<[24, 3072]> mat1 = ?","Tensor<[3072, 768]> mat2 = ?"
197,Tensor<[256]> input = ?,"Tensor<[1, 80]> mat1 = ?","Tensor<[80, 256]> mat2 = ?"
198,Tensor<[256]> input = ?,"Tensor<[1, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
199,Tensor<[768]> input = ?,"Tensor<[1, 256]> mat1 = ?","Tensor<[256, 768]> mat2 = ?"
200,Tensor<[768]> input = ?,"Tensor<[1, 1280]> mat1 = ?","Tensor<[1280, 768]> mat2 = ?"
201,Tensor<[256]> input = ?,"Tensor<[s0, 80]> mat1 = ?","Tensor<[80, 256]> mat2 = ?"
202,Tensor<[256]> input = ?,"Tensor<[s0, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
203,Tensor<[768]> input = ?,"Tensor<[s0, 256]> mat1 = ?","Tensor<[256, 768]> mat2 = ?"
204,Tensor<[768]> input = ?,"Tensor<[s0, 1280]> mat1 = ?","Tensor<[1280, 768]> mat2 = ?"
205,Tensor<[384]> input = ?,"Tensor<[3136, 128]> mat1 = ?","Tensor<[128, 384]> mat2 = ?"
206,Tensor<[128]> input = ?,"Tensor<[3136, 128]> mat1 = ?","Tensor<[128, 128]> mat2 = ?"
207,Tensor<[512]> input = ?,"Tensor<[3136, 128]> mat1 = ?","Tensor<[128, 512]> mat2 = ?"
208,Tensor<[128]> input = ?,"Tensor<[3136, 512]> mat1 = ?","Tensor<[512, 128]> mat2 = ?"
209,Tensor<[768]> input = ?,"Tensor<[784, 256]> mat1 = ?","Tensor<[256, 768]> mat2 = ?"
210,Tensor<[256]> input = ?,"Tensor<[784, 256]> mat1 = ?","Tensor<[256, 256]> mat2 = ?"
211,Tensor<[1024]> input = ?,"Tensor<[784, 256]> mat1 = ?","Tensor<[256, 1024]> mat2 = ?"
212,Tensor<[256]> input = ?,"Tensor<[784, 1024]> mat1 = ?","Tensor<[1024, 256]> mat2 = ?"
213,Tensor<[1536]> input = ?,"Tensor<[196, 512]> mat1 = ?","Tensor<[512, 1536]> mat2 = ?"
214,Tensor<[512]> input = ?,"Tensor<[196, 512]> mat1 = ?","Tensor<[512, 512]> mat2 = ?"
215,Tensor<[2048]> input = ?,"Tensor<[196, 512]> mat1 = ?","Tensor<[512, 2048]> mat2 = ?"
216,Tensor<[512]> input = ?,"Tensor<[196, 2048]> mat1 = ?","Tensor<[2048, 512]> mat2 = ?"
217,Tensor<[3072]> input = ?,"Tensor<[49, 1024]> mat1 = ?","Tensor<[1024, 3072]> mat2 = ?"
218,Tensor<[1024]> input = ?,"Tensor<[49, 1024]> mat1 = ?","Tensor<[1024, 1024]> mat2 = ?"
219,Tensor<[4096]> input = ?,"Tensor<[49, 1024]> mat1 = ?","Tensor<[1024, 4096]> mat2 = ?"
220,Tensor<[1024]> input = ?,"Tensor<[49, 4096]> mat1 = ?","Tensor<[4096, 1024]> mat2 = ?"
221,Tensor<[288]> input = ?,"Tensor<[3136, 96]> mat1 = ?","Tensor<[96, 288]> mat2 = ?"
222,Tensor<[96]> input = ?,"Tensor<[3136, 96]> mat1 = ?","Tensor<[96, 96]> mat2 = ?"
223,Tensor<[384]> input = ?,"Tensor<[3136, 96]> mat1 = ?","Tensor<[96, 384]> mat2 = ?"
224,Tensor<[96]> input = ?,"Tensor<[3136, 384]> mat1 = ?","Tensor<[384, 96]> mat2 = ?"
225,Tensor<[576]> input = ?,"Tensor<[784, 192]> mat1 = ?","Tensor<[192, 576]> mat2 = ?"
226,Tensor<[192]> input = ?,"Tensor<[784, 192]> mat1 = ?","Tensor<[192, 192]> mat2 = ?"
227,Tensor<[768]> input = ?,"Tensor<[784, 192]> mat1 = ?","Tensor<[192, 768]> mat2 = ?"
228,Tensor<[192]> input = ?,"Tensor<[784, 768]> mat1 = ?","Tensor<[768, 192]> mat2 = ?"
229,Tensor<[1152]> input = ?,"Tensor<[196, 384]> mat1 = ?","Tensor<[384, 1152]> mat2 = ?"
230,Tensor<[384]> input = ?,"Tensor<[196, 384]> mat1 = ?","Tensor<[384, 384]> mat2 = ?"
231,Tensor<[1536]> input = ?,"Tensor<[196, 384]> mat1 = ?","Tensor<[384, 1536]> mat2 = ?"
232,Tensor<[384]> input = ?,"Tensor<[196, 1536]> mat1 = ?","Tensor<[1536, 384]> mat2 = ?"
