Variation #,Input,Dims
39,"Tensor<[1, 7, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
40,"Tensor<[1, 12, 7, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
41,"Tensor<[1, 45, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
42,"Tensor<[1, 12, 45, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
43,"Tensor<[1, 1, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
44,"Tensor<[1, 12, 1, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
45,"Tensor<[1, 3, 16, 16, 16, 16]> input = ?","List[int] dims = [0, 2, 4, 3, 5, 1]"
46,"Tensor<[1, 512]> input = ?","List[int] dims = [0, 1]"
47,"Tensor<[1, 6, 4, 20, 20]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
48,"Tensor<[1, 6, 4, 10, 10]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
49,"Tensor<[1, 6, 4, 5, 5]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
50,"Tensor<[1, 6, 4, 3, 3]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
51,"Tensor<[1, 6, 4, 2, 2]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
52,"Tensor<[1, 6, 4, 1, 1]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
53,"Tensor<[1, 6, 91, 20, 20]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
54,"Tensor<[1, 6, 91, 10, 10]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
55,"Tensor<[1, 6, 91, 5, 5]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
56,"Tensor<[1, 6, 91, 3, 3]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
57,"Tensor<[1, 6, 91, 2, 2]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
58,"Tensor<[1, 6, 91, 1, 1]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
59,"Tensor<[1, 256, 8, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
60,"Tensor<[1, 2048, 8, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
61,"Tensor<[1, 2048, 8, 160]> input = ?","List[int] dims = [0, 2, 1, 3]"
62,"Tensor<[1, 8, 256, 160]> input = ?","List[int] dims = [0, 2, 1, 3]"
63,"Tensor<[1, 256, 8, 160]> input = ?","List[int] dims = [0, 2, 1, 3]"
64,"Tensor<[1, 256, 8, 96]> input = ?","List[int] dims = [0, 2, 1, 3]"
65,"Tensor<[1, 8, 2048, 96]> input = ?","List[int] dims = [0, 2, 1, 3]"
66,"Tensor<[1, 10, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
67,"Tensor<[1, 12, 10, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
68,"Tensor<[1, 16384, 1, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
69,"Tensor<[1, 16384, 32]> input = ?","List[int] dims = [0, 2, 1]"
70,"Tensor<[1, 32, 256]> input = ?","List[int] dims = [0, 2, 1]"
71,"Tensor<[1, 256, 1, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
72,"Tensor<[1, 1, 16384, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
73,"Tensor<[1, 128, 128, 32]> input = ?","List[int] dims = [0, 3, 1, 2]"
74,"Tensor<[1, 4096, 2, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
75,"Tensor<[1, 4096, 64]> input = ?","List[int] dims = [0, 2, 1]"
76,"Tensor<[1, 64, 256]> input = ?","List[int] dims = [0, 2, 1]"
77,"Tensor<[1, 256, 2, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
78,"Tensor<[1, 2, 4096, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
79,"Tensor<[1, 64, 64, 64]> input = ?","List[int] dims = [0, 3, 1, 2]"
80,"Tensor<[1, 1024, 5, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
81,"Tensor<[1, 1024, 160]> input = ?","List[int] dims = [0, 2, 1]"
82,"Tensor<[1, 160, 256]> input = ?","List[int] dims = [0, 2, 1]"
83,"Tensor<[1, 256, 5, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
84,"Tensor<[1, 5, 1024, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
85,"Tensor<[1, 32, 32, 160]> input = ?","List[int] dims = [0, 3, 1, 2]"
86,"Tensor<[1, 8, 256, 32]> input = ?","List[int] dims = [0, 2, 1, 3]"
87,"Tensor<[1, 16, 16, 256]> input = ?","List[int] dims = [0, 3, 1, 2]"
88,"Tensor<[1, 16384, 256]> input = ?","List[int] dims = [0, 2, 1]"
89,"Tensor<[1, 4096, 256]> input = ?","List[int] dims = [0, 2, 1]"
90,"Tensor<[1, 1024, 256]> input = ?","List[int] dims = [0, 2, 1]"
91,"Tensor<[1, 256, 256]> input = ?","List[int] dims = [0, 2, 1]"
92,"Tensor<[1, 320, 64, 64]> input = ?","List[int] dims = [0, 2, 3, 1]"
93,"Tensor<[1, 64, 64, 320]> input = ?","List[int] dims = [0, 3, 1, 2]"
94,"Tensor<[1, 640, 32, 32]> input = ?","List[int] dims = [0, 2, 3, 1]"
95,"Tensor<[1, 32, 32, 640]> input = ?","List[int] dims = [0, 3, 1, 2]"
96,"Tensor<[1, 1280, 16, 16]> input = ?","List[int] dims = [0, 2, 3, 1]"
97,"Tensor<[1, 16, 16, 1280]> input = ?","List[int] dims = [0, 3, 1, 2]"
98,"Tensor<[1, 1280, 8, 8]> input = ?","List[int] dims = [0, 2, 3, 1]"
99,"Tensor<[1, 8, 8, 1280]> input = ?","List[int] dims = [0, 3, 1, 2]"
100,"Tensor<[1, 201, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
101,"Tensor<[1, 12, 201, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
102,"Tensor<[1, 768, 1500]> input = ?","List[int] dims = [0, 2, 1]"
103,"Tensor<[1, 1445, 3, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
104,"Tensor<[1, 3, 1445, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
105,"Tensor<[1, 3, 85, 64, 64]> input = ?","List[int] dims = [0, 1, 3, 4, 2]"
106,"Tensor<[1, 3, 85, 32, 32]> input = ?","List[int] dims = [0, 1, 3, 4, 2]"
107,"Tensor<[1, 3, 85, 16, 16]> input = ?","List[int] dims = [0, 1, 3, 4, 2]"
108,"Tensor<[1, 12, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
109,"Tensor<[1, 9, 16, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
110,"Tensor<[1, 9, 16, 128]> input = ?","List[int] dims = [0, 2, 1, 3]"
111,"Tensor<[1, 9, 64, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
112,"Tensor<[1, 5, 16, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
113,"Tensor<[1, 16, 5, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
114,"Tensor<[1, 1, 16, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
115,"Tensor<[1, 16, 1, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
116,"Tensor<[1, 197, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
117,"Tensor<[1, 12, 197, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
118,"Tensor<[197, 197, 12]> input = ?","List[int] dims = [2, 0, 1]"
119,"Tensor<[1, 197, 16, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
120,"Tensor<[197, 197, 16]> input = ?","List[int] dims = [2, 0, 1]"
121,"Tensor<[1, 16, 197, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
122,"Tensor<[1, 9, 91, 100, 136]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
123,"Tensor<[1, 9, 91, 50, 68]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
124,"Tensor<[1, 9, 91, 25, 34]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
125,"Tensor<[1, 9, 91, 13, 17]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
126,"Tensor<[1, 9, 91, 7, 9]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
127,"Tensor<[1, 9, 4, 100, 136]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
128,"Tensor<[1, 9, 4, 50, 68]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
129,"Tensor<[1, 9, 4, 25, 34]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
130,"Tensor<[1, 9, 4, 13, 17]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
131,"Tensor<[1, 9, 4, 7, 9]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
132,"Tensor<[1, 4, 4, 38, 38]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
133,"Tensor<[1, 6, 4, 19, 19]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
134,"Tensor<[1, 4, 4, 3, 3]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
135,"Tensor<[1, 4, 4, 1, 1]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
136,"Tensor<[1, 4, 91, 38, 38]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
137,"Tensor<[1, 6, 91, 19, 19]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
138,"Tensor<[1, 4, 91, 3, 3]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
139,"Tensor<[1, 4, 91, 1, 1]> input = ?","List[int] dims = [0, 3, 4, 1, 2]"
140,"Tensor<[1, 128, 56, 56]> input = ?","List[int] dims = [0, 2, 3, 1]"
141,"Tensor<[49, 49, 4]> input = ?","List[int] dims = [2, 0, 1]"
142,"Tensor<[1, 8, 7, 8, 7, 128]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
143,"Tensor<[64, 49, 3, 4, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
144,"Tensor<[1, 8, 8, 7, 7, 128]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
145,"Tensor<[8, 7, 8, 7]> input = ?","List[int] dims = [0, 2, 1, 3]"
146,"Tensor<[49, 49, 8]> input = ?","List[int] dims = [2, 0, 1]"
147,"Tensor<[1, 4, 7, 4, 7, 256]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
148,"Tensor<[16, 49, 3, 8, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
149,"Tensor<[1, 4, 4, 7, 7, 256]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
150,"Tensor<[4, 7, 4, 7]> input = ?","List[int] dims = [0, 2, 1, 3]"
151,"Tensor<[49, 49, 16]> input = ?","List[int] dims = [2, 0, 1]"
152,"Tensor<[1, 2, 7, 2, 7, 512]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
153,"Tensor<[4, 49, 3, 16, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
154,"Tensor<[1, 2, 2, 7, 7, 512]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
155,"Tensor<[2, 7, 2, 7]> input = ?","List[int] dims = [0, 2, 1, 3]"
156,"Tensor<[49, 49, 32]> input = ?","List[int] dims = [2, 0, 1]"
157,"Tensor<[1, 1, 7, 1, 7, 1024]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
158,"Tensor<[1, 49, 3, 32, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
159,"Tensor<[1, 1, 1, 7, 7, 1024]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
160,"Tensor<[1, 7, 7, 1024]> input = ?","List[int] dims = [0, 3, 1, 2]"
161,"Tensor<[1, 96, 56, 56]> input = ?","List[int] dims = [0, 2, 3, 1]"
162,"Tensor<[49, 49, 3]> input = ?","List[int] dims = [2, 0, 1]"
163,"Tensor<[1, 8, 7, 8, 7, 96]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
164,"Tensor<[64, 49, 3, 3, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
165,"Tensor<[1, 8, 8, 7, 7, 96]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
166,"Tensor<[49, 49, 6]> input = ?","List[int] dims = [2, 0, 1]"
167,"Tensor<[1, 4, 7, 4, 7, 192]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
168,"Tensor<[16, 49, 3, 6, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
169,"Tensor<[1, 4, 4, 7, 7, 192]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
170,"Tensor<[49, 49, 12]> input = ?","List[int] dims = [2, 0, 1]"
171,"Tensor<[1, 2, 7, 2, 7, 384]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
172,"Tensor<[4, 49, 3, 12, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
173,"Tensor<[1, 2, 2, 7, 7, 384]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
174,"Tensor<[49, 49, 24]> input = ?","List[int] dims = [2, 0, 1]"
175,"Tensor<[1, 1, 7, 1, 7, 768]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
176,"Tensor<[1, 49, 3, 24, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
177,"Tensor<[1, 1, 1, 7, 7, 768]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
178,"Tensor<[1, 7, 7, 768]> input = ?","List[int] dims = [0, 3, 1, 2]"
179,"Tensor<[1, 128, 64, 64]> input = ?","List[int] dims = [0, 2, 3, 1]"
180,"Tensor<[64, 64, 4]> input = ?","List[int] dims = [2, 0, 1]"
181,"Tensor<[1, 8, 8, 8, 8, 128]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
182,"Tensor<[64, 64, 3, 4, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
183,"Tensor<[8, 8, 8, 8]> input = ?","List[int] dims = [0, 2, 1, 3]"
184,"Tensor<[64, 64, 8]> input = ?","List[int] dims = [2, 0, 1]"
185,"Tensor<[1, 4, 8, 4, 8, 256]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
186,"Tensor<[16, 64, 3, 8, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
187,"Tensor<[1, 4, 4, 8, 8, 256]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
188,"Tensor<[4, 8, 4, 8]> input = ?","List[int] dims = [0, 2, 1, 3]"
189,"Tensor<[64, 64, 16]> input = ?","List[int] dims = [2, 0, 1]"
190,"Tensor<[1, 2, 8, 2, 8, 512]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
191,"Tensor<[4, 64, 3, 16, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
192,"Tensor<[1, 2, 2, 8, 8, 512]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
193,"Tensor<[2, 8, 2, 8]> input = ?","List[int] dims = [0, 2, 1, 3]"
194,"Tensor<[64, 64, 32]> input = ?","List[int] dims = [2, 0, 1]"
195,"Tensor<[1, 1, 8, 1, 8, 1024]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
196,"Tensor<[1, 64, 3, 32, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
197,"Tensor<[1, 1, 1, 8, 8, 1024]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
198,"Tensor<[1, 8, 8, 1024]> input = ?","List[int] dims = [0, 3, 1, 2]"
199,"Tensor<[1, 96, 64, 64]> input = ?","List[int] dims = [0, 2, 3, 1]"
200,"Tensor<[64, 64, 3]> input = ?","List[int] dims = [2, 0, 1]"
201,"Tensor<[1, 8, 8, 8, 8, 96]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
202,"Tensor<[64, 64, 3, 3, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
203,"Tensor<[64, 64, 6]> input = ?","List[int] dims = [2, 0, 1]"
204,"Tensor<[1, 4, 8, 4, 8, 192]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
205,"Tensor<[16, 64, 3, 6, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
206,"Tensor<[1, 4, 4, 8, 8, 192]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
207,"Tensor<[64, 64, 12]> input = ?","List[int] dims = [2, 0, 1]"
208,"Tensor<[1, 2, 8, 2, 8, 384]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
209,"Tensor<[4, 64, 3, 12, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
210,"Tensor<[1, 2, 2, 8, 8, 384]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
211,"Tensor<[64, 64, 24]> input = ?","List[int] dims = [2, 0, 1]"
212,"Tensor<[1, 1, 8, 1, 8, 768]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
213,"Tensor<[1, 64, 3, 24, 32]> input = ?","List[int] dims = [2, 0, 3, 1, 4]"
214,"Tensor<[1, 1, 1, 8, 8, 768]> input = ?","List[int] dims = [0, 1, 3, 2, 4, 5]"
215,"Tensor<[1, 8, 8, 768]> input = ?","List[int] dims = [0, 3, 1, 2]"
216,"Tensor<[10, 10, 12]> input = ?","List[int] dims = [2, 0, 1]"
217,"Tensor<[1, 1, 12]> input = ?","List[int] dims = [2, 0, 1]"
218,"Tensor<[2, 2, 12]> input = ?","List[int] dims = [2, 0, 1]"
219,"Tensor<[s0 + 1, s0 + 1, 12]> input = ?","List[int] dims = [2, 0, 1]"
220,"Tensor<[10, 10, 16]> input = ?","List[int] dims = [2, 0, 1]"
221,"Tensor<[1, 1, 16]> input = ?","List[int] dims = [2, 0, 1]"
222,"Tensor<[2, 2, 16]> input = ?","List[int] dims = [2, 0, 1]"
223,"Tensor<[s0 + 1, s0 + 1, 16]> input = ?","List[int] dims = [2, 0, 1]"
224,"Tensor<[10, 10, 8]> input = ?","List[int] dims = [2, 0, 1]"
225,"Tensor<[1, 1, 8]> input = ?","List[int] dims = [2, 0, 1]"
226,"Tensor<[2, 2, 8]> input = ?","List[int] dims = [2, 0, 1]"
227,"Tensor<[s0 + 1, s0 + 1, 8]> input = ?","List[int] dims = [2, 0, 1]"
228,"Tensor<[1, 9, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
229,"Tensor<[1, 14, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
230,"Tensor<[1, 768, 196]> input = ?","List[int] dims = [0, 2, 1]"
231,"Tensor<[1, 12, 197, 64]> input = ?","List[int] dims = [2, 0, 1, 3]"
232,"Tensor<[1, 768, 49]> input = ?","List[int] dims = [0, 2, 1]"
233,"Tensor<[1, 12, 50, 64]> input = ?","List[int] dims = [2, 0, 1, 3]"
234,"Tensor<[1, 1280, 1369]> input = ?","List[int] dims = [0, 2, 1]"
235,"Tensor<[1, 16, 1370, 80]> input = ?","List[int] dims = [2, 0, 1, 3]"
236,"Tensor<[1, 1024, 196]> input = ?","List[int] dims = [0, 2, 1]"
237,"Tensor<[1, 16, 197, 64]> input = ?","List[int] dims = [2, 0, 1, 3]"
238,"Tensor<[1, 1024, 49]> input = ?","List[int] dims = [0, 2, 1]"
239,"Tensor<[1, 16, 50, 64]> input = ?","List[int] dims = [2, 0, 1, 3]"
