Variation #,Input,Dims
0,"Tensor<[1, 256, 16, 64]> input = ?","List[int]<> dims = [0, 2, 1, 3]"
1,"Tensor<[1, 16, 256, 64]> input = ?","List[int]<> dims = [0, 2, 1, 3]"
2,"Tensor<[1, 32, 16, 96]> input = ?","List[int] dims = [0, 2, 3, 1]"
3,"Tensor<[1, 16, 32, 96]> input = ?","List[int] dims = [0, 2, 1, 3]"
4,"Tensor<[1, 23, 40, 256]> input = ?","List[int] dims = [0, 3, 1, 2]"
5,"Tensor<[1, 256, 920]> input = ?","List[int] dims = [2, 0, 1]"
6,"Tensor<[1, 25, 12, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
7,"Tensor<[1, 12, 25, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
8,"Tensor<[15, 15, 6]> input = ?","List[int] dims = [2, 0, 1]"
9,"Tensor<[1, 1, 6]> input = ?","List[int] dims = [2, 0, 1]"
10,"Tensor<[2, 2, 6]> input = ?","List[int] dims = [2, 0, 1]"
11,"Tensor<[s0 + 1, s0 + 1, 6]> input = ?","List[int] dims = [2, 0, 1]"
12,"Tensor<[17, 17, 6]> input = ?","List[int] dims = [2, 0, 1]"
13,"Tensor<[4672, 4544]> input = ?","List[int] dims = [1, 0]"
14,"Tensor<[1, 71, 7, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
15,"Tensor<[4544, 4544]> input = ?","List[int] dims = [1, 0]"
16,"Tensor<[18176, 4544]> input = ?","List[int] dims = [1, 0]"
17,"Tensor<[4544, 18176]> input = ?","List[int] dims = [1, 0]"
18,"Tensor<[1, 19200, 1, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
19,"Tensor<[1, 19200, 64]> input = ?","List[int] dims = [0, 2, 1]"
20,"Tensor<[1, 64, 300]> input = ?","List[int] dims = [0, 2, 1]"
21,"Tensor<[1, 300, 1, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
22,"Tensor<[1, 1, 19200, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
23,"Tensor<[1, 120, 160, 64]> input = ?","List[int] dims = [0, 3, 1, 2]"
24,"Tensor<[1, 4800, 2, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
25,"Tensor<[1, 4800, 128]> input = ?","List[int] dims = [0, 2, 1]"
26,"Tensor<[1, 128, 300]> input = ?","List[int] dims = [0, 2, 1]"
27,"Tensor<[1, 300, 2, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
28,"Tensor<[1, 2, 4800, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
29,"Tensor<[1, 60, 80, 128]> input = ?","List[int] dims = [0, 3, 1, 2]"
30,"Tensor<[1, 1200, 5, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
31,"Tensor<[1, 1200, 320]> input = ?","List[int] dims = [0, 2, 1]"
32,"Tensor<[1, 320, 300]> input = ?","List[int] dims = [0, 2, 1]"
33,"Tensor<[1, 300, 5, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
34,"Tensor<[1, 5, 1200, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
35,"Tensor<[1, 30, 40, 320]> input = ?","List[int] dims = [0, 3, 1, 2]"
36,"Tensor<[1, 300, 8, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
37,"Tensor<[1, 8, 300, 64]> input = ?","List[int] dims = [0, 2, 1, 3]"
38,"Tensor<[1, 15, 20, 512]> input = ?","List[int] dims = [0, 3, 1, 2]"
