Variation #,Tensors,Dim
0,"List[Tensor] tensors = [<[1, 23, 40, 64]>, <[1, 23, 40, 64]>]",int dim = 4
1,"List[Tensor] tensors = [<[100, 1, 256]>, <[100, 1, 256]>, <[100, 1, 256]>, <[100, 1, 256]>, <[100, 1, 256]>, <[100, 1, 256]>]",
2,"List[Tensor] tensors = [<[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>, <[400]>]",int dim = -1
3,"List[Tensor] tensors = [<[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>, <[100]>]",int dim = -1
4,"List[Tensor] tensors = [<[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>, <[25]>]",int dim = -1
5,"List[Tensor] tensors = [<[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>]",int dim = -1
6,"List[Tensor] tensors = [<[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>, <[4]>]",int dim = -1
7,"List[Tensor] tensors = [<[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>]",int dim = -1
8,"List[Tensor] tensors = [<[3234, 1]>, <[3234, 1]>, <[3234, 1]>, <[3234, 1]>]",int dim = 2
9,"List[Tensor] tensors = [<[3234, 2]>, <[3234, 2]>]",int dim = 2
10,"List[Tensor] tensors = [<[300]>, <[300]>, <[300]>, <[300]>]",int dim = 1
11,"List[Tensor] tensors = [<[12, 16]>, <[12, 16]>]",int dim = -1
12,"List[Tensor] tensors = [<[1, 5, 16, 16]>, <[1, 5, 16, 16]>]",int dim = -1
13,"List[Tensor] tensors = [<[1, 1, 16, 16]>, <[1, 1, 16, 16]>]",int dim = -1
14,"List[Tensor] tensors = [<[13600]>, <[13600]>, <[13600]>, <[13600]>]",int dim = 1
15,"List[Tensor] tensors = [<[3400]>, <[3400]>, <[3400]>, <[3400]>]",int dim = 1
16,"List[Tensor] tensors = [<[850]>, <[850]>, <[850]>, <[850]>]",int dim = 1
17,"List[Tensor] tensors = [<[221]>, <[221]>, <[221]>, <[221]>]",int dim = 1
18,"List[Tensor] tensors = [<[63]>, <[63]>, <[63]>, <[63]>]",int dim = 1
19,"List[Tensor] tensors = [<[0, 1]>, <[0, 1]>, <[0, 1]>, <[0, 1]>]",int dim = 2
20,"List[Tensor] tensors = [<[0, 2]>, <[0, 2]>]",int dim = 2
21,"List[Tensor] tensors = [<[0]>, <[0]>, <[0]>, <[0]>]",int dim = 1
22,"List[Tensor] tensors = [<[1444]>, <[1444]>, <[1444]>, <[1444]>, <[1444]>, <[1444]>, <[1444]>, <[1444]>]",int dim = -1
23,"List[Tensor] tensors = [<[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>, <[361]>]",int dim = -1
24,"List[Tensor] tensors = [<[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>, <[9]>]",int dim = -1
25,"List[Tensor] tensors = [<[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>, <[1]>]",int dim = -1
26,"List[Tensor] tensors = [<[8732, 1]>, <[8732, 1]>, <[8732, 1]>, <[8732, 1]>]",int dim = 2
27,"List[Tensor] tensors = [<[8732, 2]>, <[8732, 2]>]",int dim = 2
28,"List[Tensor] tensors = [<[12]>, <[12]>, <[12]>, <[12]>]",int dim = 1
