Variation #,Input,Size
0,"Tensor<[1, 32, 16, 96]> input = ?","List[int] size = [1, 32, 1536]"
1,"Tensor<[1, 50, 12, 64]> input = ?","List[int] size = [1, 50, 768]"
2,"Tensor<[2, 7, 8, 64]> input = ?","List[int] size = [2, 7, 512]"
3,"Tensor<[1, 7, 71, 64]> input = ?","List[int] size = [1, 7, 4544]"
4,"Tensor<[1, 16, 16, 16, 16, 3]> input = ?","List[int] size = [1, 256, 768]"
5,"Tensor<[1, 20, 20, 6, 4]> input = ?","List[int] size = [1, 2400, 4]"
6,"Tensor<[1, 10, 10, 6, 4]> input = ?","List[int] size = [1, 600, 4]"
7,"Tensor<[1, 5, 5, 6, 4]> input = ?","List[int] size = [1, 150, 4]"
8,"Tensor<[1, 3, 3, 6, 4]> input = ?","List[int] size = [1, 54, 4]"
9,"Tensor<[1, 2, 2, 6, 4]> input = ?","List[int] size = [1, 24, 4]"
10,"Tensor<[1, 20, 20, 6, 91]> input = ?","List[int] size = [1, 2400, 91]"
11,"Tensor<[1, 10, 10, 6, 91]> input = ?","List[int] size = [1, 600, 91]"
12,"Tensor<[1, 5, 5, 6, 91]> input = ?","List[int] size = [1, 150, 91]"
13,"Tensor<[1, 3, 3, 6, 91]> input = ?","List[int] size = [1, 54, 91]"
14,"Tensor<[1, 2, 2, 6, 91]> input = ?","List[int] size = [1, 24, 91]"
15,"Tensor<[20, 20]> input = ?",List[int] size = [400]
16,"Tensor<[10, 10]> input = ?",List[int] size = [100]
17,"Tensor<[5, 5]> input = ?",List[int] size = [25]
18,"Tensor<[3, 3]> input = ?",List[int] size = [9]
19,"Tensor<[2, 2]> input = ?",List[int] size = [4]
20,"Tensor<[1, 59, 16, 64]> input = ?","List[int] size = [1, 59, 1024]"
21,"Tensor<[1, 19, 16, 64]> input = ?","List[int] size = [1, 19, 1024]"
22,"Tensor<[1, 12, 12, 64]> input = ?","List[int] size = [1, 12, 768]"
23,"Tensor<[1, 9, 16, 64]> input = ?","List[int] size = [1, 9, 1024]"
24,"Tensor<[1, 9, 16, 128]> input = ?","List[int] size = [1, 9, 2048]"
25,"Tensor<[1, 9, 64, 64]> input = ?","List[int] size = [1, 9, 4096]"
26,"Tensor<[1, 5, 4, 4, 64]> input = ?","List[int] size = [1, 5, 16, 64]"
27,"Tensor<[1, 1, 4, 4, 64]> input = ?","List[int] size = [1, 1, 16, 64]"
28,"Tensor<[1, 100, 136, 9, 91]> input = ?","List[int] size = [1, 122400, 91]"
29,"Tensor<[1, 50, 68, 9, 91]> input = ?","List[int] size = [1, 30600, 91]"
30,"Tensor<[1, 25, 34, 9, 91]> input = ?","List[int] size = [1, 7650, 91]"
31,"Tensor<[1, 13, 17, 9, 91]> input = ?","List[int] size = [1, 1989, 91]"
32,"Tensor<[1, 7, 9, 9, 91]> input = ?","List[int] size = [1, 567, 91]"
33,"Tensor<[1, 100, 136, 9, 4]> input = ?","List[int] size = [1, 122400, 4]"
34,"Tensor<[1, 50, 68, 9, 4]> input = ?","List[int] size = [1, 30600, 4]"
35,"Tensor<[1, 25, 34, 9, 4]> input = ?","List[int] size = [1, 7650, 4]"
36,"Tensor<[1, 13, 17, 9, 4]> input = ?","List[int] size = [1, 1989, 4]"
37,"Tensor<[1, 7, 9, 9, 4]> input = ?","List[int] size = [1, 567, 4]"
38,"Tensor<[100, 136]> input = ?",List[int] size = [13600]
39,"Tensor<[50, 68]> input = ?",List[int] size = [3400]
40,"Tensor<[25, 34]> input = ?",List[int] size = [850]
41,"Tensor<[13, 17]> input = ?",List[int] size = [221]
42,"Tensor<[7, 9]> input = ?",List[int] size = [63]
43,"Tensor<[1, 24, 12, 64]> input = ?","List[int] size = [1, 24, 768]"
44,"Tensor<[1, 38, 38, 4, 4]> input = ?","List[int] size = [1, 5776, 4]"
45,"Tensor<[1, 19, 19, 6, 4]> input = ?","List[int] size = [1, 2166, 4]"
46,"Tensor<[1, 3, 3, 4, 4]> input = ?","List[int] size = [1, 36, 4]"
47,"Tensor<[1, 38, 38, 4, 91]> input = ?","List[int] size = [1, 5776, 91]"
48,"Tensor<[1, 19, 19, 6, 91]> input = ?","List[int] size = [1, 2166, 91]"
