Variation #,Input,Size
49,"Tensor<[1, 3, 3, 4, 91]> input = ?","List[int] size = [1, 36, 91]"
50,"Tensor<[38, 38]> input = ?",List[int] size = [1444]
51,"Tensor<[19, 19]> input = ?",List[int] size = [361]
52,"Tensor<[1, 8, 8, 7, 7, 128]> input = ?","List[int] size = [64, 49, 128]"
53,"Tensor<[64, 4, 49, 32]> input = ?","List[int] size = [256, 49, 32]"
54,"Tensor<[64, 4, 32, 49]> input = ?","List[int] size = [256, 32, 49]"
55,"Tensor<[64, 49, 4, 32]> input = ?","List[int] size = [64, 49, 128]"
56,"Tensor<[1, 8, 7, 8, 7, 128]> input = ?","List[int] size = [1, 56, 56, 128]"
57,"Tensor<[8, 8, 7, 7]> input = ?","List[int] size = [64, 49]"
58,"Tensor<[1, 4, 4, 7, 7, 256]> input = ?","List[int] size = [16, 49, 256]"
59,"Tensor<[16, 8, 49, 32]> input = ?","List[int] size = [128, 49, 32]"
60,"Tensor<[16, 8, 32, 49]> input = ?","List[int] size = [128, 32, 49]"
61,"Tensor<[16, 49, 8, 32]> input = ?","List[int] size = [16, 49, 256]"
62,"Tensor<[1, 4, 7, 4, 7, 256]> input = ?","List[int] size = [1, 28, 28, 256]"
63,"Tensor<[4, 4, 7, 7]> input = ?","List[int] size = [16, 49]"
64,"Tensor<[1, 2, 2, 7, 7, 512]> input = ?","List[int] size = [4, 49, 512]"
65,"Tensor<[4, 16, 49, 32]> input = ?","List[int] size = [64, 49, 32]"
66,"Tensor<[4, 16, 32, 49]> input = ?","List[int] size = [64, 32, 49]"
67,"Tensor<[4, 49, 16, 32]> input = ?","List[int] size = [4, 49, 512]"
68,"Tensor<[1, 2, 7, 2, 7, 512]> input = ?","List[int] size = [1, 14, 14, 512]"
69,"Tensor<[2, 2, 7, 7]> input = ?","List[int] size = [4, 49]"
70,"Tensor<[1, 49, 32, 32]> input = ?","List[int] size = [1, 49, 1024]"
71,"Tensor<[1, 8, 8, 7, 7, 96]> input = ?","List[int] size = [64, 49, 96]"
72,"Tensor<[64, 3, 49, 32]> input = ?","List[int] size = [192, 49, 32]"
73,"Tensor<[64, 3, 32, 49]> input = ?","List[int] size = [192, 32, 49]"
74,"Tensor<[64, 49, 3, 32]> input = ?","List[int] size = [64, 49, 96]"
75,"Tensor<[1, 8, 7, 8, 7, 96]> input = ?","List[int] size = [1, 56, 56, 96]"
76,"Tensor<[1, 4, 4, 7, 7, 192]> input = ?","List[int] size = [16, 49, 192]"
77,"Tensor<[16, 6, 49, 32]> input = ?","List[int] size = [96, 49, 32]"
78,"Tensor<[16, 6, 32, 49]> input = ?","List[int] size = [96, 32, 49]"
79,"Tensor<[16, 49, 6, 32]> input = ?","List[int] size = [16, 49, 192]"
80,"Tensor<[1, 4, 7, 4, 7, 192]> input = ?","List[int] size = [1, 28, 28, 192]"
81,"Tensor<[1, 2, 2, 7, 7, 384]> input = ?","List[int] size = [4, 49, 384]"
82,"Tensor<[4, 12, 49, 32]> input = ?","List[int] size = [48, 49, 32]"
83,"Tensor<[4, 12, 32, 49]> input = ?","List[int] size = [48, 32, 49]"
84,"Tensor<[4, 49, 12, 32]> input = ?","List[int] size = [4, 49, 384]"
85,"Tensor<[1, 2, 7, 2, 7, 384]> input = ?","List[int] size = [1, 14, 14, 384]"
86,"Tensor<[1, 49, 24, 32]> input = ?","List[int] size = [1, 49, 768]"
87,"Tensor<[1, 8, 8, 8, 8, 128]> input = ?","List[int] size = [64, 64, 128]"
88,"Tensor<[64, 4, 64, 32]> input = ?","List[int] size = [256, 64, 32]"
89,"Tensor<[64, 4, 32, 64]> input = ?","List[int] size = [256, 32, 64]"
90,"Tensor<[64, 64, 4, 32]> input = ?","List[int] size = [64, 64, 128]"
91,"Tensor<[1, 8, 8, 8, 8, 128]> input = ?","List[int] size = [1, 64, 64, 128]"
92,"Tensor<[8, 8, 8, 8]> input = ?","List[int] size = [64, 64]"
93,"Tensor<[1, 4, 4, 8, 8, 256]> input = ?","List[int] size = [16, 64, 256]"
94,"Tensor<[16, 8, 64, 32]> input = ?","List[int] size = [128, 64, 32]"
95,"Tensor<[16, 8, 32, 64]> input = ?","List[int] size = [128, 32, 64]"
96,"Tensor<[16, 64, 8, 32]> input = ?","List[int] size = [16, 64, 256]"
97,"Tensor<[1, 4, 8, 4, 8, 256]> input = ?","List[int] size = [1, 32, 32, 256]"
98,"Tensor<[4, 4, 8, 8]> input = ?","List[int] size = [16, 64]"
99,"Tensor<[1, 2, 2, 8, 8, 512]> input = ?","List[int] size = [4, 64, 512]"
100,"Tensor<[4, 16, 64, 32]> input = ?","List[int] size = [64, 64, 32]"
101,"Tensor<[4, 16, 32, 64]> input = ?","List[int] size = [64, 32, 64]"
102,"Tensor<[4, 64, 16, 32]> input = ?","List[int] size = [4, 64, 512]"
103,"Tensor<[1, 2, 8, 2, 8, 512]> input = ?","List[int] size = [1, 16, 16, 512]"
104,"Tensor<[2, 2, 8, 8]> input = ?","List[int] size = [4, 64]"
105,"Tensor<[1, 64, 32, 32]> input = ?","List[int] size = [1, 64, 1024]"
106,"Tensor<[1, 8, 8, 8, 8, 96]> input = ?","List[int] size = [64, 64, 96]"
107,"Tensor<[64, 3, 64, 32]> input = ?","List[int] size = [192, 64, 32]"
108,"Tensor<[64, 3, 32, 64]> input = ?","List[int] size = [192, 32, 64]"
109,"Tensor<[64, 64, 3, 32]> input = ?","List[int] size = [64, 64, 96]"
110,"Tensor<[1, 8, 8, 8, 8, 96]> input = ?","List[int] size = [1, 64, 64, 96]"
111,"Tensor<[1, 4, 4, 8, 8, 192]> input = ?","List[int] size = [16, 64, 192]"
112,"Tensor<[16, 6, 64, 32]> input = ?","List[int] size = [96, 64, 32]"
113,"Tensor<[16, 6, 32, 64]> input = ?","List[int] size = [96, 32, 64]"
114,"Tensor<[16, 64, 6, 32]> input = ?","List[int] size = [16, 64, 192]"
115,"Tensor<[1, 4, 8, 4, 8, 192]> input = ?","List[int] size = [1, 32, 32, 192]"
116,"Tensor<[1, 2, 2, 8, 8, 384]> input = ?","List[int] size = [4, 64, 384]"
117,"Tensor<[4, 12, 64, 32]> input = ?","List[int] size = [48, 64, 32]"
118,"Tensor<[4, 12, 32, 64]> input = ?","List[int] size = [48, 32, 64]"
119,"Tensor<[4, 64, 12, 32]> input = ?","List[int] size = [4, 64, 384]"
120,"Tensor<[1, 2, 8, 2, 8, 384]> input = ?","List[int] size = [1, 16, 16, 384]"
121,"Tensor<[1, 64, 24, 32]> input = ?","List[int] size = [1, 64, 768]"
122,"Tensor<[1, 9, 12, 64]> input = ?","List[int] size = [1, 9, 768]"
123,"Tensor<[1, 14, 12, 64]> input = ?","List[int] size = [1, 14, 768]"
