Variation #,Input,Normalized Shape,Weight,Bias,Eps
37,"Tensor<[1, 1536]> input = ?",List[int] normalized_shape = [1536],Optional[Tensor]<[1536]> weight = ?,Optional[Tensor]<[1536]> bias = ?,float eps = 1e-05
38,"Tensor<[1, 1500, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
39,"Tensor<[1, 4, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
40,"Tensor<[1, 19, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-05
41,"Tensor<[1, 1445, 192]> input = ?",List[int] normalized_shape = [192],Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,float eps = 1e-12
42,"Tensor<[1, 12, 128]> input = ?",List[int] normalized_shape = [128],Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,float eps = 1e-12
43,"Tensor<[1, 12, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
44,"Tensor<[1, 9, 128]> input = ?",List[int] normalized_shape = [128],Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,float eps = 1e-12
45,"Tensor<[1, 9, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-12
46,"Tensor<[1, 9, 2048]> input = ?",List[int] normalized_shape = [2048],Optional[Tensor]<[2048]> weight = ?,Optional[Tensor]<[2048]> bias = ?,float eps = 1e-12
47,"Tensor<[1, 9, 4096]> input = ?",List[int] normalized_shape = [4096],Optional[Tensor]<[4096]> weight = ?,Optional[Tensor]<[4096]> bias = ?,float eps = 1e-12
48,"Tensor<[1, 5, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-05
49,"Tensor<[1, 16, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
50,"Tensor<[1, 197, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
51,"Tensor<[1, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-12
52,"Tensor<[1, 197, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-12
53,"Tensor<[1, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-12
54,"Tensor<[1, 196, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-06
55,"Tensor<[1, 24, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
56,"Tensor<[1, 56, 56, 128]> input = ?",List[int] normalized_shape = [128],Optional[Tensor]<[128]> weight = ?,Optional[Tensor]<[128]> bias = ?,float eps = 1e-05
57,"Tensor<[1, 28, 28, 512]> input = ?",List[int] normalized_shape = [512],Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,float eps = 1e-05
58,"Tensor<[1, 28, 28, 256]> input = ?",List[int] normalized_shape = [256],Optional[Tensor]<[256]> weight = ?,Optional[Tensor]<[256]> bias = ?,float eps = 1e-05
59,"Tensor<[1, 14, 14, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-05
60,"Tensor<[1, 14, 14, 512]> input = ?",List[int] normalized_shape = [512],Optional[Tensor]<[512]> weight = ?,Optional[Tensor]<[512]> bias = ?,float eps = 1e-05
61,"Tensor<[1, 7, 7, 2048]> input = ?",List[int] normalized_shape = [2048],Optional[Tensor]<[2048]> weight = ?,Optional[Tensor]<[2048]> bias = ?,float eps = 1e-05
62,"Tensor<[1, 7, 7, 1024]> input = ?",List[int] normalized_shape = [1024],Optional[Tensor]<[1024]> weight = ?,Optional[Tensor]<[1024]> bias = ?,float eps = 1e-05
63,"Tensor<[1, 56, 56, 96]> input = ?",List[int] normalized_shape = [96],Optional[Tensor]<[96]> weight = ?,Optional[Tensor]<[96]> bias = ?,float eps = 1e-05
64,"Tensor<[1, 28, 28, 384]> input = ?",List[int] normalized_shape = [384],Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,float eps = 1e-05
65,"Tensor<[1, 28, 28, 192]> input = ?",List[int] normalized_shape = [192],Optional[Tensor]<[192]> weight = ?,Optional[Tensor]<[192]> bias = ?,float eps = 1e-05
66,"Tensor<[1, 14, 14, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
67,"Tensor<[1, 14, 14, 384]> input = ?",List[int] normalized_shape = [384],Optional[Tensor]<[384]> weight = ?,Optional[Tensor]<[384]> bias = ?,float eps = 1e-05
68,"Tensor<[1, 7, 7, 1536]> input = ?",List[int] normalized_shape = [1536],Optional[Tensor]<[1536]> weight = ?,Optional[Tensor]<[1536]> bias = ?,float eps = 1e-05
69,"Tensor<[1, 7, 7, 768]> input = ?",List[int] normalized_shape = [768],Optional[Tensor]<[768]> weight = ?,Optional[Tensor]<[768]> bias = ?,float eps = 1e-05
