Variation #,Input,Weight,Bias,Stride,Padding,Dilation,Transposed,Output Padding,Groups
0,"Tensor<[1, 1, 28, 28]> input = ?","Tensor<[16, 1, 3, 3]> weight = ?",Optional[Tensor]<[16]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
1,"Tensor<[1, 16, 14, 14]> input = ?","Tensor<[4, 16, 3, 3]> weight = ?",Optional[Tensor]<[4]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
2,"Tensor<[1, 4, 7, 7]> input = ?","Tensor<[4, 16, 2, 2]> weight = ?",Optional[Tensor]<[16]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = True,"List[int] output_padding = [0, 0]",int groups = 1
3,"Tensor<[1, 16, 14, 14]> input = ?","Tensor<[16, 1, 2, 2]> weight = ?",Optional[Tensor]<[1]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = True,"List[int] output_padding = [0, 0]",int groups = 1
4,"Tensor<[1, 3, 224, 224]> input = ?","Tensor<[768, 3, 32, 32]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [32, 32]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
5,"Tensor<[1, 3, 720, 1280]> input = ?","Tensor<[64, 3, 7, 7]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [3, 3]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
6,"Tensor<[1, 64, 180, 320]> input = ?","Tensor<[64, 64, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
7,"Tensor<[1, 64, 180, 320]> input = ?","Tensor<[64, 64, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
8,"Tensor<[1, 64, 180, 320]> input = ?","Tensor<[256, 64, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
9,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[64, 256, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
10,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[128, 256, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
11,"Tensor<[1, 128, 180, 320]> input = ?","Tensor<[128, 128, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
12,"Tensor<[1, 128, 90, 160]> input = ?","Tensor<[512, 128, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
13,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[512, 256, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
14,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[128, 512, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
15,"Tensor<[1, 128, 90, 160]> input = ?","Tensor<[128, 128, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
16,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[256, 512, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
17,"Tensor<[1, 256, 90, 160]> input = ?","Tensor<[256, 256, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
18,"Tensor<[1, 256, 45, 80]> input = ?","Tensor<[1024, 256, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
19,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[1024, 512, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
20,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[256, 1024, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
21,"Tensor<[1, 256, 45, 80]> input = ?","Tensor<[256, 256, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
22,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[512, 1024, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
23,"Tensor<[1, 512, 45, 80]> input = ?","Tensor<[512, 512, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
24,"Tensor<[1, 512, 23, 40]> input = ?","Tensor<[2048, 512, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
25,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[2048, 1024, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
26,"Tensor<[1, 2048, 23, 40]> input = ?","Tensor<[512, 2048, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
27,"Tensor<[1, 512, 23, 40]> input = ?","Tensor<[512, 512, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
