Variation #,Input,Weight,Bias,Stride,Padding,Dilation,Transposed,Output Padding,Groups
28,"Tensor<[1, 2048, 23, 40]> input = ?","Tensor<[256, 2048, 1, 1]> weight = ?",Optional[Tensor]<[256]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
29,"Tensor<[1, 3, 480, 640]> input = ?","Tensor<[64, 3, 7, 7]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [4, 4]","List[int] padding = [3, 3]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
30,"Tensor<[1, 64, 120, 160]> input = ?","Tensor<[64, 64, 8, 8]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [8, 8]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
31,"Tensor<[1, 256, 120, 160]> input = ?","Tensor<[256, 1, 3, 3]> weight = ?",Optional[Tensor]<[256]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 256
32,"Tensor<[1, 64, 120, 160]> input = ?","Tensor<[128, 64, 3, 3]> weight = ?",Optional[Tensor]<[128]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
33,"Tensor<[1, 128, 60, 80]> input = ?","Tensor<[128, 128, 4, 4]> weight = ?",Optional[Tensor]<[128]> bias = ?,"List[int] stride = [4, 4]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
34,"Tensor<[1, 512, 60, 80]> input = ?","Tensor<[512, 1, 3, 3]> weight = ?",Optional[Tensor]<[512]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 512
35,"Tensor<[1, 128, 60, 80]> input = ?","Tensor<[320, 128, 3, 3]> weight = ?",Optional[Tensor]<[320]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
36,"Tensor<[1, 320, 30, 40]> input = ?","Tensor<[320, 320, 2, 2]> weight = ?",Optional[Tensor]<[320]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
37,"Tensor<[1, 1280, 30, 40]> input = ?","Tensor<[1280, 1, 3, 3]> weight = ?",Optional[Tensor]<[1280]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1280
38,"Tensor<[1, 320, 30, 40]> input = ?","Tensor<[512, 320, 3, 3]> weight = ?",Optional[Tensor]<[512]> bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
39,"Tensor<[1, 2048, 15, 20]> input = ?","Tensor<[2048, 1, 3, 3]> weight = ?",Optional[Tensor]<[2048]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 2048
40,"Tensor<[1, 512, 15, 20]> input = ?","Tensor<[64, 512, 1, 1]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
41,"Tensor<[1, 320, 30, 40]> input = ?","Tensor<[64, 320, 1, 1]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
42,"Tensor<[1, 128, 30, 40]> input = ?","Tensor<[64, 128, 3, 3]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
43,"Tensor<[1, 64, 30, 40]> input = ?","Tensor<[32, 64, 3, 3]> weight = ?",Optional[Tensor]<[32]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
44,"Tensor<[1, 32, 30, 40]> input = ?","Tensor<[2, 32, 3, 3]> weight = ?",Optional[Tensor]<[2]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
45,"Tensor<[1, 128, 60, 80]> input = ?","Tensor<[64, 128, 1, 1]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
46,"Tensor<[1, 128, 60, 80]> input = ?","Tensor<[64, 128, 3, 3]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
47,"Tensor<[1, 64, 60, 80]> input = ?","Tensor<[32, 64, 3, 3]> weight = ?",Optional[Tensor]<[32]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
48,"Tensor<[1, 32, 60, 80]> input = ?","Tensor<[2, 32, 3, 3]> weight = ?",Optional[Tensor]<[2]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
49,"Tensor<[1, 128, 120, 160]> input = ?","Tensor<[64, 128, 3, 3]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
50,"Tensor<[1, 64, 120, 160]> input = ?","Tensor<[32, 64, 3, 3]> weight = ?",Optional[Tensor]<[32]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
51,"Tensor<[1, 32, 120, 160]> input = ?","Tensor<[2, 32, 3, 3]> weight = ?",Optional[Tensor]<[2]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
52,"Tensor<[1, 64, 480, 640]> input = ?","Tensor<[64, 64, 3, 3]> weight = ?",Optional[Tensor]<[64]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
53,"Tensor<[1, 64, 480, 640]> input = ?","Tensor<[1, 64, 3, 3]> weight = ?",Optional[Tensor]<[1]> bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
54,"Tensor<[1, 3, 224, 224]> input = ?","Tensor<[32, 3, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [2, 2]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
55,"Tensor<[1, 32, 112, 112]> input = ?","Tensor<[64, 32, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
56,"Tensor<[1, 64, 56, 56]> input = ?","Tensor<[14, 64, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
57,"Tensor<[1, 78, 56, 56]> input = ?","Tensor<[24, 78, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
58,"Tensor<[1, 24, 56, 56]> input = ?","Tensor<[14, 24, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
59,"Tensor<[1, 102, 56, 56]> input = ?","Tensor<[40, 102, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
60,"Tensor<[1, 40, 56, 56]> input = ?","Tensor<[14, 40, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
61,"Tensor<[1, 54, 56, 56]> input = ?","Tensor<[24, 54, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
62,"Tensor<[1, 142, 56, 56]> input = ?","Tensor<[68, 142, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
63,"Tensor<[1, 124, 56, 56]> input = ?","Tensor<[128, 124, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
64,"Tensor<[1, 128, 28, 28]> input = ?","Tensor<[16, 128, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
65,"Tensor<[1, 144, 28, 28]> input = ?","Tensor<[28, 144, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
66,"Tensor<[1, 28, 28, 28]> input = ?","Tensor<[16, 28, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
67,"Tensor<[1, 172, 28, 28]> input = ?","Tensor<[46, 172, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
68,"Tensor<[1, 46, 28, 28]> input = ?","Tensor<[16, 46, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
69,"Tensor<[1, 62, 28, 28]> input = ?","Tensor<[28, 62, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
70,"Tensor<[1, 218, 28, 28]> input = ?","Tensor<[78, 218, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
71,"Tensor<[1, 78, 28, 28]> input = ?","Tensor<[16, 78, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
72,"Tensor<[1, 94, 28, 28]> input = ?","Tensor<[28, 94, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
73,"Tensor<[1, 122, 28, 28]> input = ?","Tensor<[46, 122, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
74,"Tensor<[1, 296, 28, 28]> input = ?","Tensor<[134, 296, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
75,"Tensor<[1, 262, 28, 28]> input = ?","Tensor<[256, 262, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
76,"Tensor<[1, 256, 28, 28]> input = ?","Tensor<[20, 256, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
77,"Tensor<[1, 276, 28, 28]> input = ?","Tensor<[34, 276, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
78,"Tensor<[1, 34, 28, 28]> input = ?","Tensor<[20, 34, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
79,"Tensor<[1, 310, 28, 28]> input = ?","Tensor<[58, 310, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
80,"Tensor<[1, 58, 28, 28]> input = ?","Tensor<[20, 58, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
81,"Tensor<[1, 78, 28, 28]> input = ?","Tensor<[34, 78, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
82,"Tensor<[1, 368, 28, 28]> input = ?","Tensor<[98, 368, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
83,"Tensor<[1, 98, 28, 28]> input = ?","Tensor<[20, 98, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
84,"Tensor<[1, 118, 28, 28]> input = ?","Tensor<[34, 118, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
85,"Tensor<[1, 152, 28, 28]> input = ?","Tensor<[58, 152, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
86,"Tensor<[1, 466, 28, 28]> input = ?","Tensor<[168, 466, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
87,"Tensor<[1, 328, 28, 28]> input = ?","Tensor<[320, 328, 1, 1]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [0, 0]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
88,"Tensor<[1, 320, 14, 14]> input = ?","Tensor<[40, 320, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
89,"Tensor<[1, 360, 14, 14]> input = ?","Tensor<[68, 360, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
90,"Tensor<[1, 68, 14, 14]> input = ?","Tensor<[40, 68, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
91,"Tensor<[1, 428, 14, 14]> input = ?","Tensor<[116, 428, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
92,"Tensor<[1, 116, 14, 14]> input = ?","Tensor<[40, 116, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
93,"Tensor<[1, 156, 14, 14]> input = ?","Tensor<[68, 156, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
94,"Tensor<[1, 544, 14, 14]> input = ?","Tensor<[196, 544, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
95,"Tensor<[1, 196, 14, 14]> input = ?","Tensor<[40, 196, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
96,"Tensor<[1, 236, 14, 14]> input = ?","Tensor<[68, 236, 3, 3]> weight = ?",Optional[Tensor] bias = ?,"List[int] stride = [1, 1]","List[int] padding = [1, 1]","List[int] dilation = [1, 1]",bool transposed = False,"List[int] output_padding = [0, 0]",int groups = 1
