Variation #,Input
0,"Tensor<[1, 1]> input = ?"
1,"Tensor<[2, 2]> input = ?"
2,"Tensor<[s0 + 1, s0 + 1]> input = ?"
3,"Tensor<[17, 17]> input = ?"
4,"Tensor<[1, 71, 7, 32]> input = ?"
5,"Tensor<[1, 1, 7, 32]> input = ?"
6,"Tensor<[1, 5, 16, 16]> input = ?"
7,"Tensor<[1, 1, 16, 16]> input = ?"
