Variation #,Input,Shifts,Dims
0,"Tensor<[1, 56, 56, 128]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
1,"Tensor<[1, 56, 56, 128]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
2,"Tensor<[1, 28, 28, 256]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
3,"Tensor<[1, 28, 28, 256]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
4,"Tensor<[1, 14, 14, 512]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
5,"Tensor<[1, 14, 14, 512]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
6,"Tensor<[1, 56, 56, 96]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
7,"Tensor<[1, 56, 56, 96]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
8,"Tensor<[1, 28, 28, 192]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
9,"Tensor<[1, 28, 28, 192]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
10,"Tensor<[1, 14, 14, 384]> input = ?","List[int] shifts = [-3, -3]","List[int] dims = [1, 2]"
11,"Tensor<[1, 14, 14, 384]> input = ?","List[int] shifts = [3, 3]","List[int] dims = [1, 2]"
12,"Tensor<[1, 64, 64, 128]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
13,"Tensor<[1, 64, 64, 128]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
14,"Tensor<[1, 32, 32, 256]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
15,"Tensor<[1, 32, 32, 256]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
16,"Tensor<[1, 16, 16, 512]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
17,"Tensor<[1, 16, 16, 512]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
18,"Tensor<[1, 64, 64, 96]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
19,"Tensor<[1, 64, 64, 96]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
20,"Tensor<[1, 32, 32, 192]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
21,"Tensor<[1, 32, 32, 192]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
22,"Tensor<[1, 16, 16, 384]> input = ?","List[int] shifts = [-4, -4]","List[int] dims = [1, 2]"
23,"Tensor<[1, 16, 16, 384]> input = ?","List[int] shifts = [4, 4]","List[int] dims = [1, 2]"
