Variation #,Input,Size
62,"Tensor<[1, 1, 1, s10 + 1]> input = ?","List[int] size = [1, 1, 1, <s10 + 1>]"
63,"Tensor<[1, 12, 64, s10 + 1]> input = ?","List[int] size = [1, 12, 64, <s10 + 1>]"
64,"Tensor<[1, 12, 1, s10 + 1]> input = ?","List[int] size = [1, 12, 1, <s10 + 1>]"
65,"Tensor<[1, 12, s10 + 1, 64]> input = ?","List[int] size = [1, 12, <s10 + 1>, 64]"
66,"Tensor<[20, 1]> input = ?","List[int] size = [20, 20]"
67,"Tensor<[1, 20]> input = ?","List[int] size = [20, 20]"
68,"Tensor<[10, 1]> input = ?","List[int] size = [10, 10]"
69,"Tensor<[1, 10]> input = ?","List[int] size = [10, 10]"
70,"Tensor<[5, 1]> input = ?","List[int] size = [5, 5]"
71,"Tensor<[1, 5]> input = ?","List[int] size = [5, 5]"
72,"Tensor<[3, 1]> input = ?","List[int] size = [3, 3]"
73,"Tensor<[1, 3]> input = ?","List[int] size = [3, 3]"
74,"Tensor<[2, 1]> input = ?","List[int] size = [2, 2]"
75,"Tensor<[1, 2]> input = ?","List[int] size = [2, 2]"
76,"Tensor<[1, 1]> input = ?","List[int] size = [1, 1]"
77,"Tensor<[1, 1, 59, 59]> input = ?","List[int] size = [1, 1, 59, 59]"
78,"Tensor<[1, 1, 1, 59]> input = ?","List[int] size = [1, 1, 59, 59]"
79,"Tensor<[1, 1, 1, 60]> input = ?","List[int] size = [1, 1, 1, 60]"
80,"Tensor<[256, 1280]> input = ?","List[int] size = [1, -1, -1]"
81,"Tensor<[1, 8, 256, 32]> input = ?","List[int] size = [1, 8, 256, 32]"
82,"Tensor<[1, 8, 32, 2048]> input = ?","List[int] size = [1, 8, 32, 2048]"
83,"Tensor<[1, 8, 256, 2048]> input = ?","List[int] size = [1, 8, 256, 2048]"
84,"Tensor<[1, 8, 2048, 160]> input = ?","List[int] size = [1, 8, 2048, 160]"
85,"Tensor<[1, 8, 32, 256]> input = ?","List[int] size = [1, 8, 32, 256]"
86,"Tensor<[1, 8, 256, 256]> input = ?","List[int] size = [1, 8, 256, 256]"
87,"Tensor<[1, 8, 256, 160]> input = ?","List[int] size = [1, 8, 256, 160]"
88,"Tensor<[2048, 768]> input = ?","List[int] size = [1, -1, -1]"
89,"Tensor<[1, 8, 2048, 32]> input = ?","List[int] size = [1, 8, 2048, 32]"
90,"Tensor<[1, 8, 2048, 256]> input = ?","List[int] size = [1, 8, 2048, 256]"
91,"Tensor<[1, 8, 256, 96]> input = ?","List[int] size = [1, 8, 256, 96]"
92,"Tensor<[1, 10]> input = ?","List[int] size = [1, 10]"
93,"Tensor<[1, 12, 10, 64]> input = ?","List[int] size = [1, 12, 10, 64]"
94,"Tensor<[1, 12, 64, 10]> input = ?","List[int] size = [1, 12, 64, 10]"
95,"Tensor<[1, 12, 10, 10]> input = ?","List[int] size = [1, 12, 10, 10]"
96,"Tensor<[1, 1, 16384, 32]> input = ?","List[int] size = [1, 1, 16384, 32]"
97,"Tensor<[1, 1, 32, 256]> input = ?","List[int] size = [1, 1, 32, 256]"
98,"Tensor<[1, 1, 16384, 256]> input = ?","List[int] size = [1, 1, 16384, 256]"
99,"Tensor<[1, 1, 256, 32]> input = ?","List[int] size = [1, 1, 256, 32]"
100,"Tensor<[1, 2, 4096, 32]> input = ?","List[int] size = [1, 2, 4096, 32]"
101,"Tensor<[1, 2, 32, 256]> input = ?","List[int] size = [1, 2, 32, 256]"
102,"Tensor<[1, 2, 4096, 256]> input = ?","List[int] size = [1, 2, 4096, 256]"
103,"Tensor<[1, 2, 256, 32]> input = ?","List[int] size = [1, 2, 256, 32]"
104,"Tensor<[1, 5, 1024, 32]> input = ?","List[int] size = [1, 5, 1024, 32]"
105,"Tensor<[1, 5, 32, 256]> input = ?","List[int] size = [1, 5, 32, 256]"
106,"Tensor<[1, 5, 1024, 256]> input = ?","List[int] size = [1, 5, 1024, 256]"
107,"Tensor<[1, 5, 256, 32]> input = ?","List[int] size = [1, 5, 256, 32]"
108,Tensor<[1]> input = ?,List[int] size = [1]
109,"Tensor<[12, 1]> input = ?","List[int] size = [12, 16]"
110,"Tensor<[1, 16]> input = ?","List[int] size = [12, 16]"
111,"Tensor<[1, 1, 12, 16, 2]> input = ?","List[int] size = [1, 1, -1, -1, -1]"
112,"Tensor<[1, 12, 201, 64]> input = ?","List[int] size = [1, 12, 201, 64]"
113,"Tensor<[1, 12, 64, 201]> input = ?","List[int] size = [1, 12, 64, 201]"
114,"Tensor<[1, 12, 201, 201]> input = ?","List[int] size = [1, 12, 201, 201]"
115,"Tensor<[1, 1, 19, 19]> input = ?","List[int] size = [1, 1, 19, 19]"
116,"Tensor<[1, 1, 1, 19]> input = ?","List[int] size = [1, 1, 19, 19]"
117,"Tensor<[1, 1, 192]> input = ?","List[int] size = [1, -1, -1]"
118,"Tensor<[1, 100, 192]> input = ?","List[int] size = [1, -1, -1]"
119,"Tensor<[1, 3, 1445, 64]> input = ?","List[int] size = [1, 3, 1445, 64]"
120,"Tensor<[1, 3, 64, 1445]> input = ?","List[int] size = [1, 3, 64, 1445]"
121,"Tensor<[1, 3, 1445, 1445]> input = ?","List[int] size = [1, 3, 1445, 1445]"
122,"Tensor<[1, 12, 12, 64]> input = ?","List[int] size = [1, 12, 12, 64]"
123,"Tensor<[1, 12, 64, 12]> input = ?","List[int] size = [1, 12, 64, 12]"
124,"Tensor<[1, 12, 12, 12]> input = ?","List[int] size = [1, 12, 12, 12]"
125,"Tensor<[1, 16, 9, 64]> input = ?","List[int] size = [1, 16, 9, 64]"
126,"Tensor<[1, 16, 64, 9]> input = ?","List[int] size = [1, 16, 64, 9]"
127,"Tensor<[1, 16, 9, 9]> input = ?","List[int] size = [1, 16, 9, 9]"
128,"Tensor<[1, 16, 9, 128]> input = ?","List[int] size = [1, 16, 9, 128]"
129,"Tensor<[1, 16, 128, 9]> input = ?","List[int] size = [1, 16, 128, 9]"
130,"Tensor<[1, 64, 9, 64]> input = ?","List[int] size = [1, 64, 9, 64]"
131,"Tensor<[1, 64, 64, 9]> input = ?","List[int] size = [1, 64, 64, 9]"
132,"Tensor<[1, 64, 9, 9]> input = ?","List[int] size = [1, 64, 9, 9]"
133,"Tensor<[1, 5, 1, 16, 1]> input = ?","List[int] size = [1, 5, 1, 16, 2]"
134,"Tensor<[1, 16, 5, 64]> input = ?","List[int] size = [1, 16, 5, 64]"
135,"Tensor<[1, 16, 64, 5]> input = ?","List[int] size = [1, 16, 64, 5]"
136,"Tensor<[1, 16, 5, 5]> input = ?","List[int] size = [1, 16, 5, 5]"
137,"Tensor<[1, 1, 1, 16, 1]> input = ?","List[int] size = [1, 1, 1, 16, 2]"
138,"Tensor<[1, 16, 1, 64]> input = ?","List[int] size = [1, 16, 1, 64]"
139,"Tensor<[1, 16, 64, 6]> input = ?","List[int] size = [1, 16, 64, 6]"
140,"Tensor<[1, 16, 1, 6]> input = ?","List[int] size = [1, 16, 1, 6]"
141,"Tensor<[1, 16, 6, 64]> input = ?","List[int] size = [1, 16, 6, 64]"
142,"Tensor<[1, 16, 64, s10 + 1]> input = ?","List[int] size = [1, 16, 64, <s10 + 1>]"
143,"Tensor<[1, 16, 1, s10 + 1]> input = ?","List[int] size = [1, 16, 1, <s10 + 1>]"
144,"Tensor<[1, 16, s10 + 1, 64]> input = ?","List[int] size = [1, 16, <s10 + 1>, 64]"
145,"Tensor<[1, 12, 16, 64]> input = ?","List[int] size = [1, 12, 16, 64]"
146,"Tensor<[1, 12, 64, 16]> input = ?","List[int] size = [1, 12, 64, 16]"
147,"Tensor<[1, 1, 1, 16]> input = ?","List[int] size = [1, 12, 16, 16]"
148,"Tensor<[1, 12, 16, 16]> input = ?","List[int] size = [1, 12, 16, 16]"
149,"Tensor<[1, 1, 768]> input = ?","List[int] size = [1, -1, -1]"
150,"Tensor<[1, 12, 197, 64]> input = ?","List[int] size = [1, 12, 197, 64]"
151,"Tensor<[1, 12, 64, 197]> input = ?","List[int] size = [1, 12, 64, 197]"
152,"Tensor<[1, 12, 197, 197]> input = ?","List[int] size = [1, 12, 197, 197]"
153,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [1, -1, -1]"
154,"Tensor<[1, 16, 197, 64]> input = ?","List[int] size = [1, 16, 197, 64]"
155,"Tensor<[1, 16, 64, 197]> input = ?","List[int] size = [1, 16, 64, 197]"
156,"Tensor<[1, 16, 197, 197]> input = ?","List[int] size = [1, 16, 197, 197]"
157,"Tensor<[100, 1]> input = ?","List[int] size = [100, 136]"
158,"Tensor<[1, 136]> input = ?","List[int] size = [100, 136]"
159,"Tensor<[50, 1]> input = ?","List[int] size = [50, 68]"
160,"Tensor<[1, 68]> input = ?","List[int] size = [50, 68]"
161,"Tensor<[25, 1]> input = ?","List[int] size = [25, 34]"
162,"Tensor<[1, 34]> input = ?","List[int] size = [25, 34]"
163,"Tensor<[13, 1]> input = ?","List[int] size = [13, 17]"
164,"Tensor<[1, 17]> input = ?","List[int] size = [13, 17]"
165,"Tensor<[7, 1]> input = ?","List[int] size = [7, 9]"
166,"Tensor<[1, 9]> input = ?","List[int] size = [7, 9]"
167,"Tensor<[1, 1, 1, 24]> input = ?","List[int] size = [1, 1, 24, 24]"
168,"Tensor<[24, 12, 64]> input = ?","List[int] size = [24, 12, 64]"
169,"Tensor<[24, 64, 24]> input = ?","List[int] size = [24, 64, 24]"
170,"Tensor<[1, 1]> input = ?","List[int] size = [1, 512]"
171,"Tensor<[1, 1, 512]> input = ?","List[int] size = [-1, 1, -1]"
172,"Tensor<[1, 1, 1, 24]> input = ?","List[int] size = [1, 1, 1, 24]"
173,"Tensor<[1, 1, 512]> input = ?","List[int] size = [-1, <s0>, -1]"
174,"Tensor<[1, 1, 38, 38]> input = ?","List[int] size = [1, 512, 38, 38]"
175,"Tensor<[38, 1]> input = ?","List[int] size = [38, 38]"
176,"Tensor<[1, 38]> input = ?","List[int] size = [38, 38]"
177,"Tensor<[19, 1]> input = ?","List[int] size = [19, 19]"
178,"Tensor<[1, 19]> input = ?","List[int] size = [19, 19]"
179,"Tensor<[64, 4, 49, 32]> input = ?","List[int] size = [64, 4, 49, 32]"
180,"Tensor<[64, 4, 32, 49]> input = ?","List[int] size = [64, 4, 32, 49]"
181,"Tensor<[64, 4, 49, 49]> input = ?","List[int] size = [64, 4, 49, 49]"
182,"Tensor<[16, 8, 49, 32]> input = ?","List[int] size = [16, 8, 49, 32]"
183,"Tensor<[16, 8, 32, 49]> input = ?","List[int] size = [16, 8, 32, 49]"
184,"Tensor<[16, 8, 49, 49]> input = ?","List[int] size = [16, 8, 49, 49]"
185,"Tensor<[4, 16, 49, 32]> input = ?","List[int] size = [4, 16, 49, 32]"
186,"Tensor<[4, 16, 32, 49]> input = ?","List[int] size = [4, 16, 32, 49]"
187,"Tensor<[4, 16, 49, 49]> input = ?","List[int] size = [4, 16, 49, 49]"
188,"Tensor<[1, 32, 49, 32]> input = ?","List[int] size = [1, 32, 49, 32]"
189,"Tensor<[1, 32, 32, 49]> input = ?","List[int] size = [1, 32, 32, 49]"
190,"Tensor<[1, 32, 49, 49]> input = ?","List[int] size = [1, 32, 49, 49]"
191,"Tensor<[64, 3, 49, 32]> input = ?","List[int] size = [64, 3, 49, 32]"
192,"Tensor<[64, 3, 32, 49]> input = ?","List[int] size = [64, 3, 32, 49]"
193,"Tensor<[64, 3, 49, 49]> input = ?","List[int] size = [64, 3, 49, 49]"
194,"Tensor<[16, 6, 49, 32]> input = ?","List[int] size = [16, 6, 49, 32]"
195,"Tensor<[16, 6, 32, 49]> input = ?","List[int] size = [16, 6, 32, 49]"
196,"Tensor<[16, 6, 49, 49]> input = ?","List[int] size = [16, 6, 49, 49]"
197,"Tensor<[4, 12, 49, 32]> input = ?","List[int] size = [4, 12, 49, 32]"
198,"Tensor<[4, 12, 32, 49]> input = ?","List[int] size = [4, 12, 32, 49]"
199,"Tensor<[4, 12, 49, 49]> input = ?","List[int] size = [4, 12, 49, 49]"
200,"Tensor<[1, 24, 49, 32]> input = ?","List[int] size = [1, 24, 49, 32]"
201,"Tensor<[1, 24, 32, 49]> input = ?","List[int] size = [1, 24, 32, 49]"
202,"Tensor<[1, 24, 49, 49]> input = ?","List[int] size = [1, 24, 49, 49]"
203,"Tensor<[64, 4, 64, 1]> input = ?","List[int] size = [64, 4, 64, 32]"
204,"Tensor<[64, 4, 64, 32]> input = ?","List[int] size = [64, 4, 64, 32]"
205,"Tensor<[64, 4, 32, 64]> input = ?","List[int] size = [64, 4, 32, 64]"
206,"Tensor<[64, 4, 64, 64]> input = ?","List[int] size = [64, 4, 64, 64]"
207,"Tensor<[16, 8, 64, 1]> input = ?","List[int] size = [16, 8, 64, 32]"
208,"Tensor<[16, 8, 64, 32]> input = ?","List[int] size = [16, 8, 64, 32]"
209,"Tensor<[16, 8, 32, 64]> input = ?","List[int] size = [16, 8, 32, 64]"
210,"Tensor<[16, 8, 64, 64]> input = ?","List[int] size = [16, 8, 64, 64]"
211,"Tensor<[4, 16, 64, 1]> input = ?","List[int] size = [4, 16, 64, 32]"
212,"Tensor<[4, 16, 64, 32]> input = ?","List[int] size = [4, 16, 64, 32]"
213,"Tensor<[4, 16, 32, 64]> input = ?","List[int] size = [4, 16, 32, 64]"
214,"Tensor<[4, 16, 64, 64]> input = ?","List[int] size = [4, 16, 64, 64]"
215,"Tensor<[1, 32, 64, 1]> input = ?","List[int] size = [1, 32, 64, 32]"
216,"Tensor<[1, 32, 64, 32]> input = ?","List[int] size = [1, 32, 64, 32]"
217,"Tensor<[1, 32, 32, 64]> input = ?","List[int] size = [1, 32, 32, 64]"
218,"Tensor<[1, 32, 64, 64]> input = ?","List[int] size = [1, 32, 64, 64]"
219,"Tensor<[64, 3, 64, 1]> input = ?","List[int] size = [64, 3, 64, 32]"
220,"Tensor<[64, 3, 64, 32]> input = ?","List[int] size = [64, 3, 64, 32]"
221,"Tensor<[64, 3, 32, 64]> input = ?","List[int] size = [64, 3, 32, 64]"
222,"Tensor<[64, 3, 64, 64]> input = ?","List[int] size = [64, 3, 64, 64]"
223,"Tensor<[16, 6, 64, 1]> input = ?","List[int] size = [16, 6, 64, 32]"
224,"Tensor<[16, 6, 64, 32]> input = ?","List[int] size = [16, 6, 64, 32]"
225,"Tensor<[16, 6, 32, 64]> input = ?","List[int] size = [16, 6, 32, 64]"
226,"Tensor<[16, 6, 64, 64]> input = ?","List[int] size = [16, 6, 64, 64]"
227,"Tensor<[4, 12, 64, 1]> input = ?","List[int] size = [4, 12, 64, 32]"
228,"Tensor<[4, 12, 64, 32]> input = ?","List[int] size = [4, 12, 64, 32]"
229,"Tensor<[4, 12, 32, 64]> input = ?","List[int] size = [4, 12, 32, 64]"
230,"Tensor<[4, 12, 64, 64]> input = ?","List[int] size = [4, 12, 64, 64]"
231,"Tensor<[1, 24, 64, 1]> input = ?","List[int] size = [1, 24, 64, 32]"
232,"Tensor<[1, 24, 64, 32]> input = ?","List[int] size = [1, 24, 64, 32]"
233,"Tensor<[1, 24, 32, 64]> input = ?","List[int] size = [1, 24, 32, 64]"
234,"Tensor<[1, 24, 64, 64]> input = ?","List[int] size = [1, 24, 64, 64]"
235,"Tensor<[1, 12, 64, 1]> input = ?","List[int] size = [1, 12, 64, 1]"
236,"Tensor<[1, 12, 1, 1]> input = ?","List[int] size = [1, 12, 1, 1]"
237,"Tensor<[1, 12, 1, 10]> input = ?","List[int] size = [1, 12, 1, 10]"
238,"Tensor<[1, 12, 64, 2]> input = ?","List[int] size = [1, 12, 64, 2]"
239,"Tensor<[1, 12, 1, 2]> input = ?","List[int] size = [1, 12, 1, 2]"
240,"Tensor<[1, 12, 2, 64]> input = ?","List[int] size = [1, 12, 2, 64]"
241,"Tensor<[1, 12, 64, s0 + 1]> input = ?","List[int] size = [1, 12, 64, <s0 + 1>]"
242,"Tensor<[1, 12, 1, s0 + 1]> input = ?","List[int] size = [1, 12, 1, <s0 + 1>]"
243,"Tensor<[1, 12, s0 + 1, 64]> input = ?","List[int] size = [1, 12, <s0 + 1>, 64]"
244,"Tensor<[1, 16, 10, 64]> input = ?","List[int] size = [1, 16, 10, 64]"
245,"Tensor<[1, 16, 64, 10]> input = ?","List[int] size = [1, 16, 64, 10]"
246,"Tensor<[1, 16, 10, 10]> input = ?","List[int] size = [1, 16, 10, 10]"
247,"Tensor<[1, 16, 64, 1]> input = ?","List[int] size = [1, 16, 64, 1]"
248,"Tensor<[1, 16, 1, 1]> input = ?","List[int] size = [1, 16, 1, 1]"
249,"Tensor<[1, 16, 1, 10]> input = ?","List[int] size = [1, 16, 1, 10]"
250,"Tensor<[1, 16, 64, 2]> input = ?","List[int] size = [1, 16, 64, 2]"
251,"Tensor<[1, 16, 1, 2]> input = ?","List[int] size = [1, 16, 1, 2]"
252,"Tensor<[1, 16, 2, 64]> input = ?","List[int] size = [1, 16, 2, 64]"
253,"Tensor<[1, 16, 64, s0 + 1]> input = ?","List[int] size = [1, 16, 64, <s0 + 1>]"
254,"Tensor<[1, 16, 1, s0 + 1]> input = ?","List[int] size = [1, 16, 1, <s0 + 1>]"
255,"Tensor<[1, 16, s0 + 1, 64]> input = ?","List[int] size = [1, 16, <s0 + 1>, 64]"
256,"Tensor<[1, 8, 10, 64]> input = ?","List[int] size = [1, 8, 10, 64]"
257,"Tensor<[1, 8, 64, 10]> input = ?","List[int] size = [1, 8, 64, 10]"
258,"Tensor<[1, 8, 10, 10]> input = ?","List[int] size = [1, 8, 10, 10]"
259,"Tensor<[1, 8, 1, 64]> input = ?","List[int] size = [1, 8, 1, 64]"
260,"Tensor<[1, 8, 64, 1]> input = ?","List[int] size = [1, 8, 64, 1]"
261,"Tensor<[1, 8, 1, 1]> input = ?","List[int] size = [1, 8, 1, 1]"
262,"Tensor<[1, 8, 1, 10]> input = ?","List[int] size = [1, 8, 1, 10]"
263,"Tensor<[1, 8, 64, 2]> input = ?","List[int] size = [1, 8, 64, 2]"
264,"Tensor<[1, 8, 1, 2]> input = ?","List[int] size = [1, 8, 1, 2]"
265,"Tensor<[1, 8, 2, 64]> input = ?","List[int] size = [1, 8, 2, 64]"
266,"Tensor<[1, 8, 64, s0 + 1]> input = ?","List[int] size = [1, 8, 64, <s0 + 1>]"
267,"Tensor<[1, 8, 1, s0 + 1]> input = ?","List[int] size = [1, 8, 1, <s0 + 1>]"
268,"Tensor<[1, 8, s0 + 1, 64]> input = ?","List[int] size = [1, 8, <s0 + 1>, 64]"
269,"Tensor<[1, 12, 9, 64]> input = ?","List[int] size = [1, 12, 9, 64]"
270,"Tensor<[1, 12, 64, 9]> input = ?","List[int] size = [1, 12, 64, 9]"
271,"Tensor<[1, 12, 9, 9]> input = ?","List[int] size = [1, 12, 9, 9]"
272,"Tensor<[1, 12, 14, 64]> input = ?","List[int] size = [1, 12, 14, 64]"
273,"Tensor<[1, 12, 64, 14]> input = ?","List[int] size = [1, 12, 64, 14]"
274,"Tensor<[1, 12, 14, 14]> input = ?","List[int] size = [1, 12, 14, 14]"
275,"Tensor<[1, 1, 1280]> input = ?","List[int] size = [1, -1, -1]"
