Variation #,Input,Size
0,"Tensor<[1, 16, 256, 64]> input = ?","List[int]<> size = [1, 16, 256, 64]"
1,"Tensor<[1, 16, 64, 256]> input = ?","List[int]<> size = [1, 16, 64, 256]"
2,"Tensor<[1, 16, 256, 256]> input = ?","List[int]<> size = [1, 16, 256, 256]"
3,"Tensor<[1, 1, 32, 32]> input = ?","List[int] size = [1, 1, 32, 32]"
4,"Tensor<[1, 1, 1, 32]> input = ?","List[int] size = [1, 1, 32, 32]"
5,Tensor<[768]> input = ?,"List[int] size = [1, 1, -1]"
6,"Tensor<[1, 1, 7, 7]> input = ?","List[int] size = [2, 1, 7, 7]"
7,"Tensor<[2, 1, 1, 7]> input = ?","List[int] size = [2, 1, 7, 7]"
8,"Tensor<[1, 1, 1, 920]> input = ?","List[int] size = [-1, 8, -1, -1]"
9,"Tensor<[1, 25]> input = ?","List[int] size = [1, 25]"
10,"Tensor<[1, 12, 25, 64]> input = ?","List[int] size = [1, 12, 25, 64]"
11,"Tensor<[1, 12, 64, 25]> input = ?","List[int] size = [1, 12, 64, 25]"
12,"Tensor<[1, 12, 25, 25]> input = ?","List[int] size = [1, 12, 25, 25]"
13,"Tensor<[1, 6, 15, 64]> input = ?","List[int] size = [1, 6, 15, 64]"
14,"Tensor<[1, 6, 64, 15]> input = ?","List[int] size = [1, 6, 64, 15]"
15,"Tensor<[1, 6, 15, 15]> input = ?","List[int] size = [1, 6, 15, 15]"
16,"Tensor<[1, 6, 1, 64]> input = ?","List[int] size = [1, 6, 1, 64]"
17,"Tensor<[1, 6, 64, 1]> input = ?","List[int] size = [1, 6, 64, 1]"
18,"Tensor<[1, 6, 1, 1]> input = ?","List[int] size = [1, 6, 1, 1]"
19,"Tensor<[1, 6, 1, 15]> input = ?","List[int] size = [1, 6, 1, 15]"
20,"Tensor<[1, 6, 64, 2]> input = ?","List[int] size = [1, 6, 64, 2]"
21,"Tensor<[1, 6, 1, 2]> input = ?","List[int] size = [1, 6, 1, 2]"
22,"Tensor<[1, 6, 2, 64]> input = ?","List[int] size = [1, 6, 2, 64]"
23,"Tensor<[1, 6, 64, s0 + 1]> input = ?","List[int] size = [1, 6, 64, <s0 + 1>]"
24,"Tensor<[1, 6, 1, s0 + 1]> input = ?","List[int] size = [1, 6, 1, <s0 + 1>]"
25,"Tensor<[1, 6, s0 + 1, 64]> input = ?","List[int] size = [1, 6, <s0 + 1>, 64]"
26,"Tensor<[1, 6, 64, 17]> input = ?","List[int] size = [1, 6, 64, 17]"
27,"Tensor<[1, 6, 1, 17]> input = ?","List[int] size = [1, 6, 1, 17]"
28,"Tensor<[1, 6, 17, 64]> input = ?","List[int] size = [1, 6, 17, 64]"
29,"Tensor<[1, 71, 7, 64]> input = ?","List[int] size = [1, 71, 7, 64]"
30,"Tensor<[1, 1, 64, 7]> input = ?","List[int] size = [1, 71, 64, 7]"
31,"Tensor<[1, 71, 7, 7]> input = ?","List[int] size = [1, 71, 7, 7]"
32,"Tensor<[1, 1, 7, 64]> input = ?","List[int] size = [1, 71, 7, 64]"
33,"Tensor<[1, 1, 19200, 64]> input = ?","List[int] size = [1, 1, 19200, 64]"
34,"Tensor<[1, 1, 64, 300]> input = ?","List[int] size = [1, 1, 64, 300]"
35,"Tensor<[1, 1, 19200, 300]> input = ?","List[int] size = [1, 1, 19200, 300]"
36,"Tensor<[1, 1, 300, 64]> input = ?","List[int] size = [1, 1, 300, 64]"
37,"Tensor<[1, 2, 4800, 64]> input = ?","List[int] size = [1, 2, 4800, 64]"
38,"Tensor<[1, 2, 64, 300]> input = ?","List[int] size = [1, 2, 64, 300]"
39,"Tensor<[1, 2, 4800, 300]> input = ?","List[int] size = [1, 2, 4800, 300]"
40,"Tensor<[1, 2, 300, 64]> input = ?","List[int] size = [1, 2, 300, 64]"
41,"Tensor<[1, 5, 1200, 64]> input = ?","List[int] size = [1, 5, 1200, 64]"
42,"Tensor<[1, 5, 64, 300]> input = ?","List[int] size = [1, 5, 64, 300]"
43,"Tensor<[1, 5, 1200, 300]> input = ?","List[int] size = [1, 5, 1200, 300]"
44,"Tensor<[1, 5, 300, 64]> input = ?","List[int] size = [1, 5, 300, 64]"
45,"Tensor<[1, 8, 300, 64]> input = ?","List[int] size = [1, 8, 300, 64]"
46,"Tensor<[1, 8, 64, 300]> input = ?","List[int] size = [1, 8, 64, 300]"
47,"Tensor<[1, 8, 300, 300]> input = ?","List[int] size = [1, 8, 300, 300]"
48,"Tensor<[1, 12, 7, 64]> input = ?","List[int] size = [1, 12, 7, 64]"
49,"Tensor<[1, 12, 64, 7]> input = ?","List[int] size = [1, 12, 64, 7]"
50,"Tensor<[1, 12, 7, 7]> input = ?","List[int] size = [1, 12, 7, 7]"
51,"Tensor<[1, 1, 45]> input = ?","List[int] size = [1, 1, 45]"
52,"Tensor<[1, 1, 45, 45]> input = ?","List[int] size = [1, 1, 45, 45]"
53,"Tensor<[1, 1, 1, 45]> input = ?","List[int] size = [1, 1, 45, 45]"
54,"Tensor<[1, 12, 45, 64]> input = ?","List[int] size = [1, 12, 45, 64]"
55,"Tensor<[1, 12, 64, 45]> input = ?","List[int] size = [1, 12, 64, 45]"
56,"Tensor<[1, 12, 45, 45]> input = ?","List[int] size = [1, 12, 45, 45]"
57,"Tensor<[1, 1, 1, 46]> input = ?","List[int] size = [1, 1, 1, 46]"
58,"Tensor<[1, 12, 1, 64]> input = ?","List[int] size = [1, 12, 1, 64]"
59,"Tensor<[1, 12, 64, 46]> input = ?","List[int] size = [1, 12, 64, 46]"
60,"Tensor<[1, 12, 1, 46]> input = ?","List[int] size = [1, 12, 1, 46]"
61,"Tensor<[1, 12, 46, 64]> input = ?","List[int] size = [1, 12, 46, 64]"
