Variation #,Grad Output,Input,Threshold
0,"Tensor<[1, 128]> grad_output = ?","Tensor<[1, 128]> input = ?",number threshold = 0
1,"Tensor<[1, 64, 24, 24]> grad_output = ?","Tensor<[1, 64, 24, 24]> input = ?",number threshold = 0
2,"Tensor<[1, 32, 26, 26]> grad_output = ?","Tensor<[1, 32, 26, 26]> input = ?",number threshold = 0
