Variation #,Input
0,"Tensor<[15, 15]> input = ?"
1,"Tensor<[1, 1]> input = ?"
2,"Tensor<[2, 2]> input = ?"
3,"Tensor<[s0 + 1, s0 + 1]> input = ?"
4,"Tensor<[17, 17]> input = ?"
5,"Tensor<[10, 10]> input = ?"
