Variation #,Tensors,Dim
45,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 68, 14, 14]>, <[1, 116, 14, 14]>, <[1, 196, 14, 14]>, <[1, 320, 14, 14]>]",int dim = 1
46,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 40, 14, 14]>, <[1, 334, 14, 14]>]",int dim = 1
47,"List[Tensor] tensors = [<[1, 160, 7, 7]>, <[1, 640, 7, 7]>]",int dim = 1
48,"List[Tensor] tensors = [<[1, 160, 7, 7]>, <[1, 272, 7, 7]>, <[1, 640, 7, 7]>]",int dim = 1
49,"List[Tensor] tensors = [<[1, 160, 7, 7]>, <[1, 160, 7, 7]>, <[1, 462, 7, 7]>]",int dim = 1
50,"List[Tensor] tensors = [<[1, 2400, 4]>, <[1, 600, 4]>, <[1, 150, 4]>, <[1, 54, 4]>, <[1, 24, 4]>, <[1, 6, 4]>]",int dim = 1
51,"List[Tensor] tensors = [<[1, 2400, 91]>, <[1, 600, 91]>, <[1, 150, 91]>, <[1, 54, 91]>, <[1, 24, 91]>, <[1, 6, 91]>]",int dim = 1
52,"List[Tensor] tensors = [<[2400, 2]>, <[2400, 2]>]",int dim = 1
53,"List[Tensor] tensors = [<[600, 2]>, <[600, 2]>]",int dim = 1
54,"List[Tensor] tensors = [<[150, 2]>, <[150, 2]>]",int dim = 1
55,"List[Tensor] tensors = [<[54, 2]>, <[54, 2]>]",int dim = 1
56,"List[Tensor] tensors = [<[24, 2]>, <[24, 2]>]",int dim = 1
57,"List[Tensor] tensors = [<[6, 2]>, <[6, 2]>]",int dim = 1
58,"List[Tensor] tensors = [<[2400, 4]>, <[600, 4]>, <[150, 4]>, <[54, 4]>, <[24, 4]>, <[6, 4]>]",
59,"List[Tensor] tensors = [<[3234, 2]>, <[3234, 2]>]",int dim = -1
60,"List[Tensor] tensors = [<[1, 59]>, <[1, 1]>]",int dim = -1
61,"List[Tensor] tensors = [<[1, 16, 59, 64]>, <[1, 16, 1, 64]>]",int dim = 2
62,"List[Tensor] tensors = [<[1, s48]>, <[1, 1]>]",int dim = -1
63,"List[Tensor] tensors = [<[1, 16, s10, 64]>, <[1, 16, 1, 64]>]",int dim = 2
64,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 19, 28, 28]>, <[1, 38, 28, 28]>]",int dim = 1
65,"List[Tensor] tensors = [<[1, 256, 128, 128]>, <[1, 256, 128, 128]>, <[1, 256, 128, 128]>, <[1, 256, 128, 128]>]",int dim = 1
66,"List[Tensor] tensors = [<[1, 160]>, <[1, 160]>]",int dim = -1
67,"List[Tensor] tensors = [<[1, 1280, 8, 8]>, <[1, 1280, 8, 8]>]",int dim = 1
68,"List[Tensor] tensors = [<[1, 1280, 16, 16]>, <[1, 1280, 16, 16]>]",int dim = 1
69,"List[Tensor] tensors = [<[1, 1280, 16, 16]>, <[1, 640, 16, 16]>]",int dim = 1
70,"List[Tensor] tensors = [<[1, 1280, 32, 32]>, <[1, 640, 32, 32]>]",int dim = 1
71,"List[Tensor] tensors = [<[1, 640, 32, 32]>, <[1, 640, 32, 32]>]",int dim = 1
72,"List[Tensor] tensors = [<[1, 640, 32, 32]>, <[1, 320, 32, 32]>]",int dim = 1
73,"List[Tensor] tensors = [<[1, 640, 64, 64]>, <[1, 320, 64, 64]>]",int dim = 1
74,"List[Tensor] tensors = [<[1, 320, 64, 64]>, <[1, 320, 64, 64]>]",int dim = 1
75,"List[Tensor] tensors = [<[1, 256, 32, 32]>, <[1, 256, 32, 32]>]",int dim = 1
76,"List[Tensor] tensors = [<[1, 128, 64, 64]>, <[1, 128, 64, 64]>]",int dim = 1
77,"List[Tensor] tensors = [<[1, 64, 128, 128]>, <[1, 64, 128, 128]>]",int dim = 1
78,"List[Tensor] tensors = [<[1, 32, 256, 256]>, <[1, 32, 256, 256]>]",int dim = 1
79,"List[Tensor] tensors = [<[1, 512, 28, 28]>, <[1, 512, 28, 28]>]",int dim = 1
80,"List[Tensor] tensors = [<[1, 256, 56, 56]>, <[1, 256, 56, 56]>]",int dim = 1
81,"List[Tensor] tensors = [<[1, 128, 112, 112]>, <[1, 128, 112, 112]>]",int dim = 1
82,"List[Tensor] tensors = [<[1, 64, 224, 224]>, <[1, 64, 224, 224]>]",int dim = 1
83,"List[Tensor] tensors = [<[1, 768, 12, 16]>]",
84,"List[Tensor] tensors = [<[1, 8, 768]>, <[1, 193, 768]>]",int dim = 1
85,"List[Tensor] tensors = [<[1, 8]>, <[1, 193]>]",int dim = 1
86,"List[Tensor] tensors = [<[1, 1]>, <[1, 1]>, <[1, 1]>, <[1, 1]>]",int dim = -1
87,"List[Tensor] tensors = [<[1, 12, 4, 64]>, <[1, 12, 1, 64]>]",int dim = 2
88,"List[Tensor] tensors = [<[1, 12, s2, 64]>, <[1, 12, 1, 64]>]",int dim = 2
89,"List[Tensor] tensors = [<[1, 12, s3, 64]>, <[1, 12, 1, 64]>]",int dim = 2
90,"List[Tensor] tensors = [<[1, 12, s4, 64]>, <[1, 12, 1, 64]>]",int dim = 2
91,"List[Tensor] tensors = [<[1, 12, s5, 64]>, <[1, 12, 1, 64]>]",int dim = 2
92,"List[Tensor] tensors = [<[1, 12, s6, 64]>, <[1, 12, 1, 64]>]",int dim = 2
93,"List[Tensor] tensors = [<[1, 12, s7, 64]>, <[1, 12, 1, 64]>]",int dim = 2
94,"List[Tensor] tensors = [<[1, 12, s8, 64]>, <[1, 12, 1, 64]>]",int dim = 2
95,"List[Tensor] tensors = [<[1, 12, s9, 64]>, <[1, 12, 1, 64]>]",int dim = 2
96,"List[Tensor] tensors = [<[1, 12, s10, 64]>, <[1, 12, 1, 64]>]",int dim = 2
97,"List[Tensor] tensors = [<[1, 12, s11, 64]>, <[1, 12, 1, 64]>]",int dim = 2
98,"List[Tensor] tensors = [<[1, 12, s12, 64]>, <[1, 12, 1, 64]>]",int dim = 2
99,"List[Tensor] tensors = [<[1, 12, s13, 64]>, <[1, 12, 1, 64]>]",int dim = 2
100,"List[Tensor] tensors = [<[1, 12, s14, 64]>, <[1, 12, 1, 64]>]",int dim = 2
101,"List[Tensor] tensors = [<[1, 12, s15, 64]>, <[1, 12, 1, 64]>]",int dim = 2
102,"List[Tensor] tensors = [<[1, 12, s16, 64]>, <[1, 12, 1, 64]>]",int dim = 2
103,"List[Tensor] tensors = [<[1, 12, s17, 64]>, <[1, 12, 1, 64]>]",int dim = 2
104,"List[Tensor] tensors = [<[1, 12, s18, 64]>, <[1, 12, 1, 64]>]",int dim = 2
105,"List[Tensor] tensors = [<[1, 12, s19, 64]>, <[1, 12, 1, 64]>]",int dim = 2
106,"List[Tensor] tensors = [<[1, 12, s20, 64]>, <[1, 12, 1, 64]>]",int dim = 2
107,"List[Tensor] tensors = [<[1, 12, s21, 64]>, <[1, 12, 1, 64]>]",int dim = 2
108,"List[Tensor] tensors = [<[1, 12, s22, 64]>, <[1, 12, 1, 64]>]",int dim = 2
109,"List[Tensor] tensors = [<[1, 12, s23, 64]>, <[1, 12, 1, 64]>]",int dim = 2
110,"List[Tensor] tensors = [<[1, 12, s24, 64]>, <[1, 12, 1, 64]>]",int dim = 2
111,"List[Tensor] tensors = [<[1, 12, s25, 64]>, <[1, 12, 1, 64]>]",int dim = 2
112,"List[Tensor] tensors = [<[1, 1, 192]>, <[1, 1344, 192]>, <[1, 100, 192]>]",int dim = 1
113,"List[Tensor] tensors = [<[1, 256, 32, 32]>, <[1, 512, 32, 32]>]",int dim = 1
114,"List[Tensor] tensors = [<[1, 128, 64, 64]>, <[1, 256, 64, 64]>]",int dim = 1
115,"List[Tensor] tensors = [<[1, 32, s0, s1]>, <[1, 32, s0, s1]>]",int dim = 1
116,"List[Tensor] tensors = [<[1, 64, s1, s2]>, <[1, 64, s1, s2]>]",int dim = 1
117,"List[Tensor] tensors = [<[1, 128, s1, s2]>, <[1, 128, s1, s2]>]",int dim = 1
118,"List[Tensor] tensors = [<[1, 256, s1, s2]>, <[1, 256, s1, s2]>]",int dim = 1
119,"List[Tensor] tensors = [<[1, s0, s1, s2]>, <[1, s3, s1, s2]>]",int dim = 1
120,"List[Tensor] tensors = [<[1, 3, 64, 64, 2]>, <[1, 3, 64, 64, 2]>, <[1, 3, 64, 64, 81]>]",int dim = 4
121,"List[Tensor] tensors = [<[1, 3, 32, 32, 2]>, <[1, 3, 32, 32, 2]>, <[1, 3, 32, 32, 81]>]",int dim = 4
122,"List[Tensor] tensors = [<[1, 3, 16, 16, 2]>, <[1, 3, 16, 16, 2]>, <[1, 3, 16, 16, 81]>]",int dim = 4
123,"List[Tensor] tensors = [<[1, 12288, 85]>, <[1, 3072, 85]>, <[1, 768, 85]>]",int dim = 1
124,"List[Tensor] tensors = [<[1, 5, 16, 32]>, <[1, 5, 16, 32]>]",int dim = -1
125,"List[Tensor] tensors = [<[1, 5]>, <[1, 1]>]",int dim = -1
126,"List[Tensor] tensors = [<[1, 1, 16, 32]>, <[1, 1, 16, 32]>]",int dim = -1
127,"List[Tensor] tensors = [<[1, 16, 5, 64]>, <[1, 16, 1, 64]>]",int dim = -2
128,"List[Tensor] tensors = [<[1, s40]>, <[1, 1]>]",int dim = -1
129,"List[Tensor] tensors = [<[1, 16, s10, 64]>, <[1, 16, 1, 64]>]",int dim = -2
130,"List[Tensor] tensors = [<[1, 64, 56, 56]>]",int dim = 1
131,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
132,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
133,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
134,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
135,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
136,"List[Tensor] tensors = [<[1, 64, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>, <[1, 32, 56, 56]>]",int dim = 1
137,"List[Tensor] tensors = [<[1, 128, 28, 28]>]",int dim = 1
138,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
139,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
140,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
141,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
142,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
143,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
144,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
145,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
146,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
147,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
148,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
149,"List[Tensor] tensors = [<[1, 128, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>, <[1, 32, 28, 28]>]",int dim = 1
150,"List[Tensor] tensors = [<[1, 256, 14, 14]>]",int dim = 1
151,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
152,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
153,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
154,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
155,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
156,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
157,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
158,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
159,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
160,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
161,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
162,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
163,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
164,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
165,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
166,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
167,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
168,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
169,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
170,"List[Tensor] tensors = [<[1, 256, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>, <[1, 32, 14, 14]>]",int dim = 1
