Variation #,Tensors,Dim
0,"List[Tensor] tensors = [<[1, 1, 768]>, <[1, 49, 768]>]",int dim = 1
1,"List[Tensor] tensors = [<[1, 23, 40, 128]>, <[1, 23, 40, 128]>]",int dim = 3
2,"List[Tensor] tensors = [<[1, 1, 1]>, <[1, 1, 1]>]",int dim = -1
3,"List[Tensor] tensors = [<[1, 6, 1, 64]>, <[1, 6, 1, 64]>]",int dim = 2
4,"List[Tensor] tensors = [<[1, 1, s0]>, <[1, 1, 1]>]",int dim = -1
5,"List[Tensor] tensors = [<[1, 6, s0, 64]>, <[1, 6, 1, 64]>]",int dim = 2
6,"List[Tensor] tensors = [<[1, 1, 16]>, <[1, 1, 1]>]",int dim = -1
7,"List[Tensor] tensors = [<[1, 6, 16, 64]>, <[1, 6, 1, 64]>]",int dim = 2
8,"List[Tensor] tensors = [<[1, 1, s0 - 1]>, <[1, 1, 1]>]",int dim = -1
9,"List[Tensor] tensors = [<[1, 71, 7, 32]>, <[1, 71, 7, 32]>]",int dim = -1
10,"List[Tensor] tensors = [<[1, 1, 7, 32]>, <[1, 1, 7, 32]>]",int dim = -1
11,"List[Tensor] tensors = [<[1, 64, 30, 40]>, <[1, 64, 30, 40]>]",int dim = 1
12,"List[Tensor] tensors = [<[1, 64, 60, 80]>, <[1, 64, 60, 80]>]",int dim = 1
13,"List[Tensor] tensors = [<[1, 64, 120, 160]>, <[1, 64, 120, 160]>]",int dim = 1
14,"List[Tensor] tensors = [<[1, 45]>, <[1, 1]>]",int dim = -1
15,"List[Tensor] tensors = [<[1, 12, 45, 64]>, <[1, 12, 1, 64]>]",int dim = -2
16,"List[Tensor] tensors = [<[1, s24]>, <[1, 1]>]",int dim = -1
17,"List[Tensor] tensors = [<[1, 12, s10, 64]>, <[1, 12, 1, 64]>]",int dim = -2
18,"List[Tensor] tensors = [<[1, 14, 56, 56]>, <[1, 64, 56, 56]>]",int dim = 1
19,"List[Tensor] tensors = [<[1, 14, 56, 56]>, <[1, 24, 56, 56]>, <[1, 64, 56, 56]>]",int dim = 1
20,"List[Tensor] tensors = [<[1, 14, 56, 56]>, <[1, 40, 56, 56]>]",int dim = 1
21,"List[Tensor] tensors = [<[1, 14, 56, 56]>, <[1, 24, 56, 56]>, <[1, 40, 56, 56]>, <[1, 64, 56, 56]>]",int dim = 1
22,"List[Tensor] tensors = [<[1, 14, 56, 56]>, <[1, 14, 56, 56]>, <[1, 14, 56, 56]>, <[1, 14, 56, 56]>, <[1, 68, 56, 56]>]",int dim = 1
23,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 128, 28, 28]>]",int dim = 1
24,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 28, 28, 28]>, <[1, 128, 28, 28]>]",int dim = 1
25,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 46, 28, 28]>]",int dim = 1
26,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 28, 28, 28]>, <[1, 46, 28, 28]>, <[1, 128, 28, 28]>]",int dim = 1
27,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 78, 28, 28]>]",int dim = 1
28,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 28, 28, 28]>, <[1, 78, 28, 28]>]",int dim = 1
29,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 28, 28, 28]>, <[1, 46, 28, 28]>, <[1, 78, 28, 28]>, <[1, 128, 28, 28]>]",int dim = 1
30,"List[Tensor] tensors = [<[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 16, 28, 28]>, <[1, 134, 28, 28]>]",int dim = 1
31,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 256, 28, 28]>]",int dim = 1
32,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 34, 28, 28]>, <[1, 256, 28, 28]>]",int dim = 1
33,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 58, 28, 28]>]",int dim = 1
34,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 34, 28, 28]>, <[1, 58, 28, 28]>, <[1, 256, 28, 28]>]",int dim = 1
35,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 98, 28, 28]>]",int dim = 1
36,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 34, 28, 28]>, <[1, 98, 28, 28]>]",int dim = 1
37,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 34, 28, 28]>, <[1, 58, 28, 28]>, <[1, 98, 28, 28]>, <[1, 256, 28, 28]>]",int dim = 1
38,"List[Tensor] tensors = [<[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 20, 28, 28]>, <[1, 168, 28, 28]>]",int dim = 1
39,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 320, 14, 14]>]",int dim = 1
40,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 68, 14, 14]>, <[1, 320, 14, 14]>]",int dim = 1
41,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 116, 14, 14]>]",int dim = 1
42,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 68, 14, 14]>, <[1, 116, 14, 14]>, <[1, 320, 14, 14]>]",int dim = 1
43,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 196, 14, 14]>]",int dim = 1
44,"List[Tensor] tensors = [<[1, 40, 14, 14]>, <[1, 68, 14, 14]>, <[1, 196, 14, 14]>]",int dim = 1
