Variation #,Input,Other
0,"Tensor<[1, 256, 1024]> input = ?","Tensor<[1, 256, 1024]> other = ?"
1,"Tensor<[1, 16, 256, 256]> input = ?","Tensor<[1, 1, 1, 256]> other = ?"
2,"Tensor<[1, 32, 1536]> input = ?","Tensor<[1, 32, 1536]> other = ?"
3,"Tensor<[1, 32, 6144]> input = ?",Tensor other = 1
4,"Tensor<[1, 32, 6144]> input = ?",Tensor other = 1.0
5,"Tensor<[1, 50, 768]> input = ?","Tensor<[1, 50, 768]> other = ?"
6,"Tensor<[2, 7, 512]> input = ?","Tensor<[1, 7, 512]> other = ?"
7,"Tensor<[2, 8, 7, 7]> input = ?","Tensor<[2, 1, 7, 7]> other = ?"
8,"Tensor<[2, 7, 512]> input = ?","Tensor<[2, 7, 512]> other = ?"
9,"Tensor<[1, 64, 1, 1]> input = ?",Tensor other = 1e-05
10,"Tensor<[1, 64, 360, 640]> input = ?","Tensor<[1, 64, 1, 1]> other = ?"
11,"Tensor<[1, 64, 180, 320]> input = ?","Tensor<[1, 64, 1, 1]> other = ?"
12,"Tensor<[1, 256, 1, 1]> input = ?",Tensor other = 1e-05
13,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
14,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[1, 256, 180, 320]> other = ?"
15,"Tensor<[1, 128, 1, 1]> input = ?",Tensor other = 1e-05
16,"Tensor<[1, 128, 180, 320]> input = ?","Tensor<[1, 128, 1, 1]> other = ?"
17,"Tensor<[1, 128, 90, 160]> input = ?","Tensor<[1, 128, 1, 1]> other = ?"
18,"Tensor<[1, 512, 1, 1]> input = ?",Tensor other = 1e-05
19,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
20,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[1, 512, 90, 160]> other = ?"
21,"Tensor<[1, 256, 90, 160]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
