Variation #,Input,Other
22,"Tensor<[1, 256, 45, 80]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
23,"Tensor<[1, 1024, 1, 1]> input = ?",Tensor other = 1e-05
24,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[1, 1024, 1, 1]> other = ?"
25,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[1, 1024, 45, 80]> other = ?"
26,"Tensor<[1, 512, 45, 80]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
27,"Tensor<[1, 512, 23, 40]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
28,"Tensor<[1, 2048, 1, 1]> input = ?",Tensor other = 1e-05
29,"Tensor<[1, 2048, 23, 40]> input = ?","Tensor<[1, 2048, 1, 1]> other = ?"
30,"Tensor<[1, 2048, 23, 40]> input = ?","Tensor<[1, 2048, 23, 40]> other = ?"
31,Tensor<[23]> input = ?,Tensor other = 0.0
32,Tensor<[40]> input = ?,Tensor other = 0.0
33,"Tensor<[1, 1, 40]> input = ?",Tensor other = 1e-06
34,"Tensor<[1, 23, 1]> input = ?",Tensor other = 1e-06
35,"Tensor<[920, 1, 256]> input = ?","Tensor<[920, 1, 256]> other = ?"
36,"Tensor<[920, 1, 256]> input = ?",Tensor<[256]> other = ?
37,"Tensor<[100, 1, 256]> input = ?","Tensor<[100, 1, 256]> other = ?"
38,"Tensor<[1, 25, 768]> input = ?","Tensor<[1, 25, 768]> other = ?"
39,"Tensor<[1, 12, 25, 25]> input = ?","Tensor<[1, 1, 1, 25]> other = ?"
40,"Tensor<[1, 15, 1]> input = ?",Tensor other = 1e-06
41,"Tensor<[15, 15]> input = ?",Tensor other = 0
42,"Tensor<[15, 15]> input = ?",Tensor other = 8
43,"Tensor<[15, 15]> input = ?","Tensor<[15, 15]> other = ?"
44,"Tensor<[1, 6, 15, 15]> input = ?","Tensor<[1, 1, 1, 15]> other = ?"
45,"Tensor<[1, 6, 15, 15]> input = ?","Tensor<[1, 6, 15, 15]> other = ?"
46,"Tensor<[1, 15, 512]> input = ?","Tensor<[1, 15, 512]> other = ?"
47,"Tensor<[1, 15, 1024]> input = ?","Tensor<[1, 15, 1024]> other = ?"
48,"Tensor<[1, 15, 1024]> input = ?",Tensor other = 1.0
49,"Tensor<[1, 1, 1]> input = ?",Tensor other = 1e-06
50,"Tensor<[1, 1]> input = ?",Tensor other = 16
51,"Tensor<[1, 1]> input = ?",Tensor other = 0
52,"Tensor<[1, 6, 1, 1]> input = ?","Tensor<[1, 1, 1, 1]> other = ?"
53,"Tensor<[1, 6, 1, 1]> input = ?","Tensor<[1, 6, 1, 1]> other = ?"
54,"Tensor<[1, 1, 512]> input = ?","Tensor<[1, 1, 512]> other = ?"
55,"Tensor<[1, 6, 1, 15]> input = ?","Tensor<[1, 1, 1, 15]> other = ?"
56,"Tensor<[1, 6, 1, 15]> input = ?","Tensor<[1, 6, 1, 15]> other = ?"
57,"Tensor<[1, 1, 1024]> input = ?","Tensor<[1, 1, 1024]> other = ?"
58,"Tensor<[1, 1, 1024]> input = ?",Tensor other = 1.0
59,"Tensor<[2, 2]> input = ?",Tensor other = 16
60,"Tensor<[2, 2]> input = ?",Tensor other = 0
61,"Tensor<[1, 6, 1, 2]> input = ?","Tensor<[1, 1, 1, 2]> other = ?"
62,"Tensor<[1, 6, 1, 2]> input = ?","Tensor<[1, 6, 1, 2]> other = ?"
63,"Tensor<[s0 + 1, s0 + 1]> input = ?",Tensor other = 16
64,"Tensor<[s0 + 1, s0 + 1]> input = ?",Tensor other = 0
65,"Tensor<[1, 6, 1, s0 + 1]> input = ?","Tensor<[1, 1, 1, s0 + 1]> other = ?"
66,"Tensor<[1, 6, 1, s0 + 1]> input = ?","Tensor<[1, 6, 1, s0 + 1]> other = ?"
67,"Tensor<[17, 17]> input = ?",Tensor other = 16
68,"Tensor<[17, 17]> input = ?",Tensor other = 0
69,"Tensor<[1, 6, 1, 17]> input = ?","Tensor<[1, 1, 1, 17]> other = ?"
70,"Tensor<[1, 6, 1, 17]> input = ?","Tensor<[1, 6, 1, 17]> other = ?"
71,"Tensor<[1, 71, 7, 64]> input = ?","Tensor<[1, 71, 7, 64]> other = ?"
72,"Tensor<[1, 1, 7, 64]> input = ?","Tensor<[1, 1, 7, 64]> other = ?"
73,"Tensor<[1, 71, 7, 7]> input = ?","Tensor<[7, 7]> other = ?"
74,"Tensor<[1, 7, 4544]> input = ?","Tensor<[1, 7, 4544]> other = ?"
75,"Tensor<[1, 19200, 64]> input = ?","Tensor<[1, 19200, 64]> other = ?"
76,"Tensor<[1, 4800, 128]> input = ?","Tensor<[1, 4800, 128]> other = ?"
77,"Tensor<[1, 1200, 320]> input = ?","Tensor<[1, 1200, 320]> other = ?"
78,"Tensor<[1, 300, 512]> input = ?","Tensor<[1, 300, 512]> other = ?"
79,Tensor<[30]> input = ?,Tensor other = 0.5
80,Tensor<[40]> input = ?,Tensor other = 0.5
81,"Tensor<[1, 64, 30, 40]> input = ?","Tensor<[1, 64, 30, 40]> other = ?"
82,Tensor<[60]> input = ?,Tensor other = 0.5
83,Tensor<[80]> input = ?,Tensor other = 0.5
84,"Tensor<[1, 64, 60, 80]> input = ?","Tensor<[1, 64, 60, 80]> other = ?"
85,Tensor<[120]> input = ?,Tensor other = 0.5
86,Tensor<[160]> input = ?,Tensor other = 0.5
87,"Tensor<[1, 64, 120, 160]> input = ?","Tensor<[1, 64, 120, 160]> other = ?"
88,Tensor<[240]> input = ?,Tensor other = 0.5
89,Tensor<[320]> input = ?,Tensor other = 0.5
90,"Tensor<[1, 64, 240, 320]> input = ?","Tensor<[1, 64, 240, 320]> other = ?"
91,Tensor<[480]> input = ?,Tensor other = 0.5
92,Tensor<[640]> input = ?,Tensor other = 0.5
93,"Tensor<[1, 64, 480, 640]> input = ?","Tensor<[1, 64, 480, 640]> other = ?"
94,"Tensor<[1, 7, 768]> input = ?","Tensor<[1, 7, 768]> other = ?"
95,"Tensor<[1, 12, 7, 7]> input = ?","Tensor<[1, 1, 1, 7]> other = ?"
96,"Tensor<[1, 7, 3072]> input = ?","Tensor<[1, 7, 3072]> other = ?"
97,"Tensor<[1, 7, 3072]> input = ?",Tensor other = 1.0
98,"Tensor<[1, 45, 768]> input = ?","Tensor<[1, 45, 768]> other = ?"
99,"Tensor<[1, 12, 45, 45]> input = ?","Tensor<[1, 1, 45, 45]> other = ?"
100,"Tensor<[1, 45, 3072]> input = ?","Tensor<[1, 45, 3072]> other = ?"
101,"Tensor<[1, 45, 3072]> input = ?",Tensor other = 1.0
102,"Tensor<[1, 1, 768]> input = ?","Tensor<[1, 1, 768]> other = ?"
103,"Tensor<[1, 12, 1, 46]> input = ?","Tensor<[1, 1, 1, 46]> other = ?"
104,"Tensor<[1, 1, 3072]> input = ?","Tensor<[1, 1, 3072]> other = ?"
105,"Tensor<[1, 1, 3072]> input = ?",Tensor other = 1.0
106,"Tensor<[1, 12, 1, s10 + 1]> input = ?","Tensor<[1, 1, 1, s10 + 1]> other = ?"
107,"Tensor<[1, 256, 512]> input = ?","Tensor<[1, 256, 512]> other = ?"
108,"Tensor<[1, 3, 320, 320]> input = ?","Tensor<[1, 3, 320, 320]> other = ?"
109,"Tensor<[1, 16, 160, 160]> input = ?","Tensor<[1, 16, 160, 160]> other = ?"
110,"Tensor<[1, 24, 80, 80]> input = ?","Tensor<[1, 24, 80, 80]> other = ?"
111,"Tensor<[1, 40, 40, 40]> input = ?","Tensor<[1, 40, 40, 40]> other = ?"
112,"Tensor<[1, 80, 20, 20]> input = ?","Tensor<[1, 80, 20, 20]> other = ?"
113,"Tensor<[1, 112, 20, 20]> input = ?","Tensor<[1, 112, 20, 20]> other = ?"
114,"Tensor<[1, 80, 10, 10]> input = ?","Tensor<[1, 80, 10, 10]> other = ?"
115,Tensor<[20]> input = ?,Tensor other = 0.5
116,Tensor<[10]> input = ?,Tensor other = 0.5
117,Tensor<[5]> input = ?,Tensor other = 0.5
118,Tensor<[3]> input = ?,Tensor other = 0.5
119,Tensor<[2]> input = ?,Tensor other = 0.5
120,Tensor<[1]> input = ?,Tensor other = 0.5
121,"Tensor<[3234, 2]> input = ?","Tensor<[3234, 2]> other = ?"
122,Tensor<[3234]> input = ?,Tensor<[3234]> other = ?
123,"Tensor<[3234, 1]> input = ?","Tensor<[3234, 1]> other = ?"
124,"Tensor<[1, 59]> input = ?",Tensor other = 2
125,"Tensor<[1, 59, 1024]> input = ?","Tensor<[1, 59, 1024]> other = ?"
126,"Tensor<[1, 16, 59, 59]> input = ?","Tensor<[1, 1, 59, 59]> other = ?"
127,"Tensor<[59, 1024]> input = ?","Tensor<[59, 1024]> other = ?"
128,"Tensor<[1, 1]> input = ?",Tensor other = 2
129,"Tensor<[1, 16, 1, 60]> input = ?","Tensor<[1, 1, 1, 60]> other = ?"
130,"Tensor<[1, 1024]> input = ?","Tensor<[1, 1024]> other = ?"
131,"Tensor<[1, 16, 1, s10 + 1]> input = ?","Tensor<[1, 1, 1, s10 + 1]> other = ?"
132,"Tensor<[1, 128, 28, 28]> input = ?","Tensor<[1, 128, 28, 28]> other = ?"
133,"Tensor<[1, 2048, 768]> input = ?","Tensor<[2048, 768]> other = ?"
134,"Tensor<[1, 8, 256, 2048]> input = ?","Tensor<[1, 1, 1, 2048]> other = ?"
135,"Tensor<[1, 256, 1280]> input = ?","Tensor<[1, 256, 1280]> other = ?"
136,"Tensor<[1, 2048, 768]> input = ?","Tensor<[1, 2048, 768]> other = ?"
137,"Tensor<[2048, 262]> input = ?",Tensor<[262]> other = ?
138,"Tensor<[1, 64, 56, 56]> input = ?","Tensor<[1, 64, 56, 56]> other = ?"
139,"Tensor<[1, 256, 14, 14]> input = ?","Tensor<[1, 256, 14, 14]> other = ?"
140,"Tensor<[1, 512, 7, 7]> input = ?","Tensor<[1, 512, 7, 7]> other = ?"
141,"Tensor<[1, 256, 56, 56]> input = ?","Tensor<[1, 256, 56, 56]> other = ?"
142,"Tensor<[1, 512, 28, 28]> input = ?","Tensor<[1, 512, 28, 28]> other = ?"
143,"Tensor<[1, 1024, 14, 14]> input = ?","Tensor<[1, 1024, 14, 14]> other = ?"
144,"Tensor<[1, 2048, 7, 7]> input = ?","Tensor<[1, 2048, 7, 7]> other = ?"
145,"Tensor<[1, 10]> input = ?",Tensor other = 0
146,"Tensor<[1, 10]> input = ?",Tensor other = 1
147,"Tensor<[1, 10, 768]> input = ?","Tensor<[1, 10, 768]> other = ?"
148,"Tensor<[1, 12, 10, 10]> input = ?","Tensor<[1, 1, 1, 10]> other = ?"
149,"Tensor<[1, 16384, 32]> input = ?","Tensor<[1, 16384, 32]> other = ?"
150,"Tensor<[1, 4096, 64]> input = ?","Tensor<[1, 4096, 64]> other = ?"
151,"Tensor<[1, 1024, 160]> input = ?","Tensor<[1, 1024, 160]> other = ?"
152,"Tensor<[1, 256, 256]> input = ?","Tensor<[1, 256, 256]> other = ?"
153,"Tensor<[1, 16384, 256]> input = ?",Tensor<[256]> other = ?
154,Tensor<[128]> input = ?,Tensor other = 0.5
155,"Tensor<[1, 256, 128, 128]> input = ?","Tensor<[1, 256, 128, 128]> other = ?"
156,"Tensor<[1, 4096, 256]> input = ?",Tensor<[256]> other = ?
157,"Tensor<[1, 1024, 256]> input = ?",Tensor<[256]> other = ?
158,"Tensor<[1, 256, 256]> input = ?",Tensor<[256]> other = ?
159,"Tensor<[1, 8, 768]> input = ?","Tensor<[1, 8, 768]> other = ?"
160,"Tensor<[1, 320, 64, 64]> input = ?","Tensor<[1, 320, 1, 1]> other = ?"
161,"Tensor<[1, 320, 64, 64]> input = ?","Tensor<[1, 320, 64, 64]> other = ?"
162,"Tensor<[1, 4096, 320]> input = ?","Tensor<[1, 4096, 320]> other = ?"
163,"Tensor<[1, 640, 32, 32]> input = ?","Tensor<[1, 640, 1, 1]> other = ?"
164,"Tensor<[1, 640, 32, 32]> input = ?","Tensor<[1, 640, 32, 32]> other = ?"
165,"Tensor<[1, 1024, 640]> input = ?","Tensor<[1, 1024, 640]> other = ?"
166,"Tensor<[1, 1280, 16, 16]> input = ?","Tensor<[1, 1280, 1, 1]> other = ?"
167,"Tensor<[1, 1280, 16, 16]> input = ?","Tensor<[1, 1280, 16, 16]> other = ?"
168,"Tensor<[1, 1280, 8, 8]> input = ?","Tensor<[1, 1280, 1, 1]> other = ?"
169,"Tensor<[1, 1280, 8, 8]> input = ?","Tensor<[1, 1280, 8, 8]> other = ?"
170,"Tensor<[1, 64, 1280]> input = ?","Tensor<[1, 64, 1280]> other = ?"
171,Tensor<[16]> input = ?,Tensor other = 0.0
172,Tensor<[32]> input = ?,Tensor other = 0.0
173,Tensor<[64]> input = ?,Tensor other = 0.0
174,Tensor<[]> input = ?,Tensor other = 1
175,Tensor<[12]> input = ?,Tensor other = 0.0
176,"Tensor<[1, 193, 768]> input = ?","Tensor<[1, 193, 768]> other = ?"
177,"Tensor<[1, 12, 201, 201]> input = ?","Tensor<[1, 1, 1, 201]> other = ?"
178,"Tensor<[1, 201, 768]> input = ?","Tensor<[1, 201, 768]> other = ?"
179,"Tensor<[1, 1500, 768]> input = ?","Tensor<[1500, 768]> other = ?"
180,"Tensor<[1, 1500, 768]> input = ?","Tensor<[1, 1500, 768]> other = ?"
181,"Tensor<[1, 1, 768]> input = ?","Tensor<[1, 768]> other = ?"
182,"Tensor<[1, 4, 768]> input = ?","Tensor<[4, 768]> other = ?"
183,"Tensor<[1, 4, 768]> input = ?","Tensor<[1, 4, 768]> other = ?"
184,"Tensor<[1, 19]> input = ?",Tensor other = 2
185,"Tensor<[1, 19, 1024]> input = ?","Tensor<[1, 19, 1024]> other = ?"
186,"Tensor<[1, 16, 19, 19]> input = ?","Tensor<[1, 1, 19, 19]> other = ?"
187,"Tensor<[1, 1, 1, 42]> input = ?",Tensor other = 0.5
188,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = 0.5
189,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = 1
190,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = 2
191,"Tensor<[1, 1, 1, 42]> input = ?",Tensor other = 1
192,"Tensor<[1, 1, 1, 42]> input = ?",Tensor other = 2
193,"Tensor<[1, 1, 1, 42]> input = ?",Tensor other = 1.0
194,"Tensor<[1, 1, 1, 42]> input = ?",Tensor other = -6.0
195,"Tensor<[1, 192, 32, 42]> input = ?","Tensor<[1, 192, 32, 42]> other = ?"
196,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = 1.0
197,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = -6.0
198,"Tensor<[1, 1445, 192]> input = ?","Tensor<[1, 1445, 192]> other = ?"
199,"Tensor<[1, 64, 256, 256]> input = ?","Tensor<[1, 64, 256, 256]> other = ?"
200,"Tensor<[1, 128, 128, 128]> input = ?","Tensor<[1, 128, 128, 128]> other = ?"
201,"Tensor<[1, 256, 64, 64]> input = ?","Tensor<[1, 256, 64, 64]> other = ?"
202,"Tensor<[1, 512, 32, 32]> input = ?","Tensor<[1, 512, 32, 32]> other = ?"
203,"Tensor<[1, 1024, 16, 16]> input = ?","Tensor<[1, 1024, 16, 16]> other = ?"
204,"Tensor<[1, 32, s0, s1]> input = ?","Tensor<[1, 32, s0, s1]> other = ?"
205,"Tensor<[1, 64, s1, s2]> input = ?","Tensor<[1, 64, s1, s2]> other = ?"
206,"Tensor<[1, 128, s1, s2]> input = ?","Tensor<[1, 128, s1, s2]> other = ?"
207,"Tensor<[1, 256, s1, s2]> input = ?","Tensor<[1, 256, s1, s2]> other = ?"
208,"Tensor<[1, 3, 64, 64, 2]> input = ?","Tensor<[1, 3, 64, 64, 2]> other = ?"
209,"Tensor<[1, 3, 32, 32, 2]> input = ?","Tensor<[1, 3, 32, 32, 2]> other = ?"
210,"Tensor<[1, 3, 16, 16, 2]> input = ?","Tensor<[1, 3, 16, 16, 2]> other = ?"
211,"Tensor<[1, 12, 128]> input = ?","Tensor<[1, 12, 128]> other = ?"
212,"Tensor<[1, 12, 12, 12]> input = ?","Tensor<[1, 1, 1, 12]> other = ?"
213,"Tensor<[1, 12, 768]> input = ?","Tensor<[1, 12, 768]> other = ?"
214,"Tensor<[1, 12, 3072]> input = ?","Tensor<[1, 12, 3072]> other = ?"
215,"Tensor<[1, 12, 3072]> input = ?",Tensor other = 1.0
216,"Tensor<[1, 9, 128]> input = ?","Tensor<[1, 9, 128]> other = ?"
217,"Tensor<[1, 16, 9, 9]> input = ?","Tensor<[1, 1, 1, 9]> other = ?"
218,"Tensor<[1, 9, 1024]> input = ?","Tensor<[1, 9, 1024]> other = ?"
219,"Tensor<[1, 9, 4096]> input = ?","Tensor<[1, 9, 4096]> other = ?"
220,"Tensor<[1, 9, 4096]> input = ?",Tensor other = 1.0
221,"Tensor<[1, 9, 128]> input = ?",Tensor other = 1.0
222,"Tensor<[1, 9, 2048]> input = ?","Tensor<[1, 9, 2048]> other = ?"
223,"Tensor<[1, 9, 8192]> input = ?","Tensor<[1, 9, 8192]> other = ?"
224,"Tensor<[1, 9, 8192]> input = ?",Tensor other = 1.0
225,"Tensor<[1, 64, 9, 9]> input = ?","Tensor<[1, 1, 1, 9]> other = ?"
226,"Tensor<[1, 9, 16384]> input = ?","Tensor<[1, 9, 16384]> other = ?"
227,"Tensor<[1, 9, 16384]> input = ?",Tensor other = 1.0
228,"Tensor<[1, 5, 16, 32]> input = ?","Tensor<[1, 5, 16, 32]> other = ?"
229,"Tensor<[1, 16, 5, 5]> input = ?","Tensor<[1, 1, 1, 5]> other = ?"
230,"Tensor<[1, 5, 4096]> input = ?","Tensor<[1, 5, 4096]> other = ?"
231,"Tensor<[1, 5, 4096]> input = ?",Tensor other = 1.0
232,"Tensor<[1, 5, 1024]> input = ?","Tensor<[1, 5, 1024]> other = ?"
233,"Tensor<[1, 1, 16, 32]> input = ?","Tensor<[1, 1, 16, 32]> other = ?"
234,"Tensor<[1, 16, 1, 6]> input = ?","Tensor<[1, 1, 1, 6]> other = ?"
235,"Tensor<[1, 1, 4096]> input = ?","Tensor<[1, 1, 4096]> other = ?"
236,"Tensor<[1, 1, 4096]> input = ?",Tensor other = 1.0
237,"Tensor<[1, 16, 768]> input = ?","Tensor<[1, 16, 768]> other = ?"
238,"Tensor<[1, 197, 768]> input = ?","Tensor<[1, 197, 768]> other = ?"
239,"Tensor<[1, 16, 112, 112]> input = ?","Tensor<[1, 16, 112, 112]> other = ?"
240,"Tensor<[1, 24, 56, 56]> input = ?","Tensor<[1, 24, 56, 56]> other = ?"
241,"Tensor<[1, 40, 28, 28]> input = ?","Tensor<[1, 40, 28, 28]> other = ?"
242,"Tensor<[1, 80, 14, 14]> input = ?","Tensor<[1, 80, 14, 14]> other = ?"
243,"Tensor<[1, 112, 14, 14]> input = ?","Tensor<[1, 112, 14, 14]> other = ?"
244,"Tensor<[1, 160, 7, 7]> input = ?","Tensor<[1, 160, 7, 7]> other = ?"
245,Tensor<[56]> input = ?,Tensor other = 0.0
246,Tensor<[28]> input = ?,Tensor other = 0.0
247,Tensor<[14]> input = ?,Tensor other = 0.0
248,Tensor<[7]> input = ?,Tensor other = 0.0
249,"Tensor<[1, 1, 224, 224]> input = ?",Tensor other = -0.030000000000000027
250,"Tensor<[1, 1, 224, 224]> input = ?",Tensor other = -0.08799999999999997
251,"Tensor<[1, 1, 224, 224]> input = ?",Tensor other = -0.18799999999999994
252,"Tensor<[1, 18, 56, 56]> input = ?","Tensor<[1, 18, 56, 56]> other = ?"
253,"Tensor<[1, 36, 28, 28]> input = ?","Tensor<[1, 36, 28, 28]> other = ?"
254,"Tensor<[1, 72, 14, 14]> input = ?","Tensor<[1, 72, 14, 14]> other = ?"
255,"Tensor<[1, 144, 7, 7]> input = ?","Tensor<[1, 144, 7, 7]> other = ?"
256,"Tensor<[1, 128, 56, 56]> input = ?","Tensor<[1, 128, 56, 56]> other = ?"
257,"Tensor<[1, 256, 28, 28]> input = ?","Tensor<[1, 256, 28, 28]> other = ?"
258,"Tensor<[1, 512, 14, 14]> input = ?","Tensor<[1, 512, 14, 14]> other = ?"
259,"Tensor<[1, 1024, 7, 7]> input = ?","Tensor<[1, 1024, 7, 7]> other = ?"
260,"Tensor<[1, 12, 197, 197]> input = ?","Tensor<[1, 12, 197, 197]> other = ?"
261,"Tensor<[1, 16, 197, 197]> input = ?","Tensor<[1, 16, 197, 197]> other = ?"
262,"Tensor<[1, 197, 1024]> input = ?","Tensor<[1, 197, 1024]> other = ?"
263,"Tensor<[1, 768, 384]> input = ?",Tensor<[384]> other = ?
264,"Tensor<[1, 196, 768]> input = ?","Tensor<[1, 196, 768]> other = ?"
265,"Tensor<[1, 32, 28, 28]> input = ?","Tensor<[1, 32, 28, 28]> other = ?"
266,"Tensor<[1, 64, 14, 14]> input = ?","Tensor<[1, 64, 14, 14]> other = ?"
267,"Tensor<[1, 96, 14, 14]> input = ?","Tensor<[1, 96, 14, 14]> other = ?"
268,"Tensor<[1, 24, 28, 28]> input = ?","Tensor<[1, 24, 28, 28]> other = ?"
269,"Tensor<[1, 40, 14, 14]> input = ?","Tensor<[1, 40, 14, 14]> other = ?"
270,"Tensor<[1, 48, 14, 14]> input = ?","Tensor<[1, 48, 14, 14]> other = ?"
271,"Tensor<[1, 96, 7, 7]> input = ?","Tensor<[1, 96, 7, 7]> other = ?"
272,"Tensor<[1, 896, 14, 14]> input = ?","Tensor<[1, 896, 14, 14]> other = ?"
273,"Tensor<[1, 72, 56, 56]> input = ?","Tensor<[1, 72, 56, 56]> other = ?"
274,"Tensor<[1, 168, 28, 28]> input = ?","Tensor<[1, 168, 28, 28]> other = ?"
275,"Tensor<[1, 408, 14, 14]> input = ?","Tensor<[1, 408, 14, 14]> other = ?"
276,"Tensor<[1, 912, 7, 7]> input = ?","Tensor<[1, 912, 7, 7]> other = ?"
277,"Tensor<[1, 336, 56, 56]> input = ?","Tensor<[1, 336, 56, 56]> other = ?"
278,"Tensor<[1, 672, 28, 28]> input = ?","Tensor<[1, 672, 28, 28]> other = ?"
279,"Tensor<[1, 1344, 14, 14]> input = ?","Tensor<[1, 1344, 14, 14]> other = ?"
280,"Tensor<[1, 2520, 7, 7]> input = ?","Tensor<[1, 2520, 7, 7]> other = ?"
281,"Tensor<[1, 96, 56, 56]> input = ?","Tensor<[1, 96, 56, 56]> other = ?"
282,"Tensor<[1, 192, 28, 28]> input = ?","Tensor<[1, 192, 28, 28]> other = ?"
283,"Tensor<[1, 432, 14, 14]> input = ?","Tensor<[1, 432, 14, 14]> other = ?"
284,"Tensor<[1, 1008, 7, 7]> input = ?","Tensor<[1, 1008, 7, 7]> other = ?"
285,"Tensor<[1, 32, 56, 56]> input = ?","Tensor<[1, 32, 56, 56]> other = ?"
286,"Tensor<[1, 64, 28, 28]> input = ?","Tensor<[1, 64, 28, 28]> other = ?"
287,"Tensor<[1, 160, 14, 14]> input = ?","Tensor<[1, 160, 14, 14]> other = ?"
288,"Tensor<[1, 400, 7, 7]> input = ?","Tensor<[1, 400, 7, 7]> other = ?"
289,"Tensor<[1, 288, 14, 14]> input = ?","Tensor<[1, 288, 14, 14]> other = ?"
290,"Tensor<[1, 672, 7, 7]> input = ?","Tensor<[1, 672, 7, 7]> other = ?"
291,"Tensor<[1, 80, 56, 56]> input = ?","Tensor<[1, 80, 56, 56]> other = ?"
292,"Tensor<[1, 240, 28, 28]> input = ?","Tensor<[1, 240, 28, 28]> other = ?"
293,"Tensor<[1, 720, 14, 14]> input = ?","Tensor<[1, 720, 14, 14]> other = ?"
294,"Tensor<[1, 1920, 7, 7]> input = ?","Tensor<[1, 1920, 7, 7]> other = ?"
295,"Tensor<[1, 528, 96, 96]> input = ?","Tensor<[1, 528, 96, 96]> other = ?"
296,"Tensor<[1, 1056, 48, 48]> input = ?","Tensor<[1, 1056, 48, 48]> other = ?"
297,"Tensor<[1, 2904, 24, 24]> input = ?","Tensor<[1, 2904, 24, 24]> other = ?"
298,"Tensor<[1, 7392, 12, 12]> input = ?","Tensor<[1, 7392, 12, 12]> other = ?"
299,"Tensor<[1, 224, 56, 56]> input = ?","Tensor<[1, 224, 56, 56]> other = ?"
300,"Tensor<[1, 448, 28, 28]> input = ?","Tensor<[1, 448, 28, 28]> other = ?"
301,"Tensor<[1, 1232, 14, 14]> input = ?","Tensor<[1, 1232, 14, 14]> other = ?"
302,"Tensor<[1, 3024, 7, 7]> input = ?","Tensor<[1, 3024, 7, 7]> other = ?"
303,"Tensor<[1, 48, 56, 56]> input = ?","Tensor<[1, 48, 56, 56]> other = ?"
304,"Tensor<[1, 120, 28, 28]> input = ?","Tensor<[1, 120, 28, 28]> other = ?"
305,"Tensor<[1, 336, 14, 14]> input = ?","Tensor<[1, 336, 14, 14]> other = ?"
306,"Tensor<[1, 888, 7, 7]> input = ?","Tensor<[1, 888, 7, 7]> other = ?"
307,"Tensor<[1, 232, 56, 56]> input = ?","Tensor<[1, 232, 56, 56]> other = ?"
308,"Tensor<[1, 696, 28, 28]> input = ?","Tensor<[1, 696, 28, 28]> other = ?"
309,"Tensor<[1, 1392, 14, 14]> input = ?","Tensor<[1, 1392, 14, 14]> other = ?"
310,"Tensor<[1, 3712, 7, 7]> input = ?","Tensor<[1, 3712, 7, 7]> other = ?"
311,"Tensor<[1, 216, 28, 28]> input = ?","Tensor<[1, 216, 28, 28]> other = ?"
312,"Tensor<[1, 576, 14, 14]> input = ?","Tensor<[1, 576, 14, 14]> other = ?"
313,"Tensor<[1, 1512, 7, 7]> input = ?","Tensor<[1, 1512, 7, 7]> other = ?"
314,"Tensor<[1, 104, 28, 28]> input = ?","Tensor<[1, 104, 28, 28]> other = ?"
315,"Tensor<[1, 208, 14, 14]> input = ?","Tensor<[1, 208, 14, 14]> other = ?"
