Variation #,Input
0,"Tensor<[1, 16, 160, 160]> input = ?"
1,"Tensor<[1, 240, 40, 40]> input = ?"
2,"Tensor<[1, 240, 20, 20]> input = ?"
3,"Tensor<[1, 200, 20, 20]> input = ?"
4,"Tensor<[1, 184, 20, 20]> input = ?"
5,"Tensor<[1, 480, 20, 20]> input = ?"
6,"Tensor<[1, 672, 20, 20]> input = ?"
7,"Tensor<[1, 672, 10, 10]> input = ?"
8,"Tensor<[1, 480, 10, 10]> input = ?"
9,"Tensor<[1, 16, 112, 112]> input = ?"
10,"Tensor<[1, 240, 28, 28]> input = ?"
11,"Tensor<[1, 240, 14, 14]> input = ?"
12,"Tensor<[1, 200, 14, 14]> input = ?"
13,"Tensor<[1, 184, 14, 14]> input = ?"
14,"Tensor<[1, 480, 14, 14]> input = ?"
15,"Tensor<[1, 672, 14, 14]> input = ?"
16,"Tensor<[1, 672, 7, 7]> input = ?"
17,"Tensor<[1, 960, 7, 7]> input = ?"
18,"Tensor<[1, 1280]> input = ?"
19,"Tensor<[1, 96, 28, 28]> input = ?"
20,"Tensor<[1, 96, 14, 14]> input = ?"
21,"Tensor<[1, 120, 14, 14]> input = ?"
22,"Tensor<[1, 144, 14, 14]> input = ?"
23,"Tensor<[1, 288, 14, 14]> input = ?"
24,"Tensor<[1, 288, 7, 7]> input = ?"
25,"Tensor<[1, 576, 7, 7]> input = ?"
26,"Tensor<[1, 1024]> input = ?"
