Variation #,Input,Mat2
33,"Tensor<[8, 300, 64]> input = ?","Tensor<[8, 64, 300]> mat2 = ?"
34,"Tensor<[8, 300, 300]> input = ?","Tensor<[8, 300, 64]> mat2 = ?"
35,"Tensor<[12, 7, 64]> input = ?","Tensor<[12, 64, 7]> mat2 = ?"
36,"Tensor<[12, 7, 7]> input = ?","Tensor<[12, 7, 64]> mat2 = ?"
37,"Tensor<[12, 45, 64]> input = ?","Tensor<[12, 64, 45]> mat2 = ?"
38,"Tensor<[12, 45, 45]> input = ?","Tensor<[12, 45, 64]> mat2 = ?"
39,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, 46]> mat2 = ?"
40,"Tensor<[12, 1, 46]> input = ?","Tensor<[12, 46, 64]> mat2 = ?"
41,"Tensor<[12, 1, 64]> input = ?","Tensor<[12, 64, s10 + 1]> mat2 = ?"
42,"Tensor<[12, 1, s10 + 1]> input = ?","Tensor<[12, s10 + 1, 64]> mat2 = ?"
43,"Tensor<[16, 59, 64]> input = ?","Tensor<[16, 64, 59]> mat2 = ?"
44,"Tensor<[16, 59, 59]> input = ?","Tensor<[16, 59, 64]> mat2 = ?"
45,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 60]> mat2 = ?"
46,"Tensor<[16, 1, 60]> input = ?","Tensor<[16, 60, 64]> mat2 = ?"
47,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, s10 + 1]> mat2 = ?"
48,"Tensor<[16, 1, s10 + 1]> input = ?","Tensor<[16, s10 + 1, 64]> mat2 = ?"
49,"Tensor<[8, 256, 32]> input = ?","Tensor<[8, 32, 2048]> mat2 = ?"
50,"Tensor<[8, 256, 2048]> input = ?","Tensor<[8, 2048, 160]> mat2 = ?"
51,"Tensor<[8, 256, 32]> input = ?","Tensor<[8, 32, 256]> mat2 = ?"
52,"Tensor<[8, 256, 256]> input = ?","Tensor<[8, 256, 160]> mat2 = ?"
53,"Tensor<[8, 2048, 32]> input = ?","Tensor<[8, 32, 256]> mat2 = ?"
54,"Tensor<[8, 2048, 256]> input = ?","Tensor<[8, 256, 96]> mat2 = ?"
55,"Tensor<[12, 10, 64]> input = ?","Tensor<[12, 64, 10]> mat2 = ?"
56,"Tensor<[12, 10, 10]> input = ?","Tensor<[12, 10, 64]> mat2 = ?"
