Variation #,Input,Size
0,"Tensor<[1, 256, 1024]> input = ?","List[int]<> size = [256, 1024]"
1,"Tensor<[256, 1024]> input = ?","List[int]<> size = [1, 256, 1024]"
2,"Tensor<[1, 256, 1024]> input = ?","List[int]<> size = [1, 256, 16, 64]"
3,"Tensor<[1, 16, 256, 64]> input = ?","List[int]<> size = [16, 256, 64]"
4,"Tensor<[1, 16, 64, 256]> input = ?","List[int]<> size = [16, 64, 256]"
5,"Tensor<[16, 256, 256]> input = ?","List[int]<> size = [1, 16, 256, 256]"
6,"Tensor<[1, 16, 256, 256]> input = ?","List[int]<> size = [16, 256, 256]"
7,"Tensor<[16, 256, 64]> input = ?","List[int]<> size = [1, 16, 256, 64]"
8,"Tensor<[1, 256, 16, 64]> input = ?","List[int]<> size = [1, 256, 1024]"
9,"Tensor<[256, 4096]> input = ?","List[int]<> size = [1, 256, 4096]"
10,"Tensor<[1, 256, 4096]> input = ?","List[int]<> size = [256, 4096]"
11,"Tensor<[256, 2]> input = ?","List[int]<> size = [1, 256, 2]"
12,"Tensor<[1, 16, 32]> input = ?","List[int] size = [16, 1, 32]"
13,"Tensor<[1, 32, 1536]> input = ?","List[int] size = [32, 1536]"
14,"Tensor<[32, 4608]> input = ?","List[int] size = [1, 32, 4608]"
15,"Tensor<[1, 32, 4608]> input = ?","List[int] size = [1, 32, 16, 3, 96]"
16,"Tensor<[1, 16, 32, 96]> input = ?","List[int] size = [16, 32, 96]"
17,"Tensor<[1, 16, 96, 32]> input = ?","List[int] size = [16, 96, 32]"
18,"Tensor<[16, 32, 32]> input = ?","List[int] size = [1, 16, 32, 32]"
19,"Tensor<[1, 16, 32, 32]> input = ?","List[int] size = [16, 32, 32]"
20,"Tensor<[16, 32, 96]> input = ?","List[int] size = [1, 16, 32, 96]"
21,"Tensor<[32, 1536]> input = ?","List[int] size = [1, 32, 1536]"
22,"Tensor<[32, 6144]> input = ?","List[int] size = [1, 32, 6144]"
23,"Tensor<[1, 32, 6144]> input = ?","List[int] size = [32, 6144]"
24,"Tensor<[32, 250880]> input = ?","List[int] size = [1, 32, 250880]"
25,"Tensor<[1, 768, 7, 7]> input = ?","List[int] size = [1, 768, 49]"
26,"Tensor<[1, 50, 768]> input = ?","List[int] size = [50, 768]"
27,"Tensor<[50, 768]> input = ?","List[int] size = [1, 50, 768]"
28,"Tensor<[1, 50, 768]> input = ?","List[int] size = [1, -1, 12, 64]"
29,"Tensor<[1, 50, 768]> input = ?","List[int] size = [1, 50, 12, 64]"
30,"Tensor<[1, 12, 50, 64]> input = ?","List[int] size = [12, -1, 64]"
31,"Tensor<[12, 50, 64]> input = ?","List[int] size = [1, 12, 50, 64]"
32,"Tensor<[50, 3072]> input = ?","List[int] size = [1, 50, 3072]"
33,"Tensor<[1, 50, 3072]> input = ?","List[int] size = [50, 3072]"
34,"Tensor<[2, 7]> input = ?","List[int] size = [-1, 7]"
35,"Tensor<[2, 7, 512]> input = ?","List[int] size = [14, 512]"
36,"Tensor<[14, 512]> input = ?","List[int] size = [2, 7, 512]"
37,"Tensor<[2, 7, 512]> input = ?","List[int] size = [2, -1, 8, 64]"
38,"Tensor<[2, 7, 512]> input = ?","List[int] size = [2, 7, 8, 64]"
39,"Tensor<[2, 8, 7, 64]> input = ?","List[int] size = [16, -1, 64]"
40,"Tensor<[16, 7, 7]> input = ?","List[int] size = [2, 8, 7, 7]"
41,"Tensor<[2, 8, 7, 7]> input = ?","List[int] size = [16, 7, 7]"
42,"Tensor<[16, 7, 64]> input = ?","List[int] size = [2, 8, 7, 64]"
43,"Tensor<[14, 2048]> input = ?","List[int] size = [2, 7, 2048]"
44,"Tensor<[2, 7, 2048]> input = ?","List[int] size = [14, 2048]"
45,Tensor<[64]> input = ?,"List[int] size = [1, -1, 1, 1]"
46,Tensor<[256]> input = ?,"List[int] size = [1, -1, 1, 1]"
47,Tensor<[128]> input = ?,"List[int] size = [1, -1, 1, 1]"
48,Tensor<[512]> input = ?,"List[int] size = [1, -1, 1, 1]"
49,Tensor<[1024]> input = ?,"List[int] size = [1, -1, 1, 1]"
50,Tensor<[2048]> input = ?,"List[int] size = [1, -1, 1, 1]"
51,"Tensor<[1, 23, 40, 64, 2]> input = ?","List[int] size = [1, 23, 40, 128]"
52,"Tensor<[1, 256, 23, 40]> input = ?","List[int] size = [1, 256, 920]"
53,"Tensor<[1, 23, 40]> input = ?","List[int] size = [1, 920]"
54,"Tensor<[920, 1, 256]> input = ?","List[int] size = [920, 256]"
55,"Tensor<[920, 256]> input = ?","List[int] size = [920, 1, 256]"
56,"Tensor<[920, 1, 256]> input = ?","List[int] size = [920, 8, 32]"
57,"Tensor<[1, 920]> input = ?","List[int] size = [1, 1, 1, 920]"
58,"Tensor<[1, 8, 1, 920]> input = ?","List[int] size = [8, 1, 920]"
59,"Tensor<[920, 8, 32]> input = ?","List[int] size = [920, 256]"
60,"Tensor<[920, 2048]> input = ?","List[int] size = [920, 1, 2048]"
61,"Tensor<[920, 1, 2048]> input = ?","List[int] size = [920, 2048]"
62,"Tensor<[100, 1, 256]> input = ?","List[int] size = [100, 256]"
63,"Tensor<[100, 256]> input = ?","List[int] size = [100, 1, 256]"
64,"Tensor<[100, 1, 256]> input = ?","List[int] size = [100, 8, 32]"
65,"Tensor<[100, 8, 32]> input = ?","List[int] size = [100, 256]"
66,"Tensor<[100, 2048]> input = ?","List[int] size = [100, 1, 2048]"
67,"Tensor<[100, 1, 2048]> input = ?","List[int] size = [100, 2048]"
68,"Tensor<[6, 1, 100, 256]> input = ?","List[int] size = [600, 256]"
69,"Tensor<[600, 92]> input = ?","List[int] size = [6, 1, 100, 92]"
70,"Tensor<[600, 256]> input = ?","List[int] size = [6, 1, 100, 256]"
71,"Tensor<[600, 4]> input = ?","List[int] size = [6, 1, 100, 4]"
72,"Tensor<[1, 25, 768]> input = ?","List[int] size = [25, 768]"
73,"Tensor<[25, 768]> input = ?","List[int] size = [1, 25, 768]"
74,"Tensor<[1, 25, 768]> input = ?","List[int] size = [1, 25, 12, 64]"
75,"Tensor<[1, 12, 25, 64]> input = ?","List[int] size = [12, 25, 64]"
76,"Tensor<[1, 12, 64, 25]> input = ?","List[int] size = [12, 64, 25]"
77,"Tensor<[12, 25, 25]> input = ?","List[int] size = [1, 12, 25, 25]"
78,"Tensor<[1, 12, 25, 25]> input = ?","List[int] size = [12, 25, 25]"
79,"Tensor<[12, 25, 64]> input = ?","List[int] size = [1, 12, 25, 64]"
80,"Tensor<[1, 25, 12, 64]> input = ?","List[int] size = [1, 25, 768]"
81,"Tensor<[25, 3072]> input = ?","List[int] size = [1, 25, 3072]"
82,"Tensor<[1, 25, 3072]> input = ?","List[int] size = [25, 3072]"
83,"Tensor<[25, 2]> input = ?","List[int] size = [1, 25, 2]"
84,"Tensor<[1, 25]> input = ?","List[int] size = [1, 25]"
85,"Tensor<[1, 1]> input = ?",List[int] size = [1]
86,"Tensor<[1, 15]> input = ?","List[int] size = [-1, 15]"
87,"Tensor<[1, 15, 512]> input = ?","List[int] size = [15, 512]"
88,"Tensor<[15, 384]> input = ?","List[int] size = [1, 15, 384]"
89,"Tensor<[1, 15, 384]> input = ?","List[int] size = [1, -1, 6, 64]"
90,"Tensor<[1, 6, 15, 64]> input = ?","List[int] size = [6, 15, 64]"
91,"Tensor<[1, 6, 64, 15]> input = ?","List[int] size = [6, 64, 15]"
92,"Tensor<[6, 15, 15]> input = ?","List[int] size = [1, 6, 15, 15]"
93,"Tensor<[1, 6, 15, 15]> input = ?","List[int] size = [6, 15, 15]"
94,"Tensor<[6, 15, 64]> input = ?","List[int] size = [1, 6, 15, 64]"
95,"Tensor<[1, 15, 6, 64]> input = ?","List[int] size = [1, -1, 384]"
96,"Tensor<[1, 15, 384]> input = ?","List[int] size = [15, 384]"
97,"Tensor<[15, 512]> input = ?","List[int] size = [1, 15, 512]"
98,"Tensor<[15, 1024]> input = ?","List[int] size = [1, 15, 1024]"
99,"Tensor<[1, 15, 1024]> input = ?","List[int] size = [15, 1024]"
100,"Tensor<[1, 1]> input = ?","List[int] size = [-1, 1]"
101,"Tensor<[1, 1, 512]> input = ?","List[int] size = [1, 512]"
102,"Tensor<[1, 384]> input = ?","List[int] size = [1, 1, 384]"
103,"Tensor<[1, 1, 384]> input = ?","List[int] size = [1, -1, 6, 64]"
104,"Tensor<[1, 6, 1, 64]> input = ?","List[int] size = [6, 1, 64]"
105,"Tensor<[1, 6, 64, 1]> input = ?","List[int] size = [6, 64, 1]"
106,"Tensor<[6, 1, 1]> input = ?","List[int] size = [1, 6, 1, 1]"
107,"Tensor<[1, 6, 1, 1]> input = ?","List[int] size = [6, 1, 1]"
108,"Tensor<[6, 1, 64]> input = ?","List[int] size = [1, 6, 1, 64]"
109,"Tensor<[1, 1, 6, 64]> input = ?","List[int] size = [1, -1, 384]"
110,"Tensor<[1, 1, 384]> input = ?","List[int] size = [1, 384]"
