Variation #,Input,Size
111,"Tensor<[1, 512]> input = ?","List[int] size = [1, 1, 512]"
112,"Tensor<[6, 1, 15]> input = ?","List[int] size = [1, 6, 1, 15]"
113,"Tensor<[1, 6, 1, 15]> input = ?","List[int] size = [6, 1, 15]"
114,"Tensor<[1, 1024]> input = ?","List[int] size = [1, 1, 1024]"
115,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [1, 1024]"
116,"Tensor<[1, 32128]> input = ?","List[int] size = [1, 1, 32128]"
117,"Tensor<[1, 6, 64, 2]> input = ?","List[int] size = [6, 64, 2]"
118,"Tensor<[6, 1, 2]> input = ?","List[int] size = [1, 6, 1, 2]"
119,"Tensor<[1, 6, 1, 2]> input = ?","List[int] size = [6, 1, 2]"
120,"Tensor<[1, 6, 2, 64]> input = ?","List[int] size = [6, 2, 64]"
121,"Tensor<[1, 6, 64, s0 + 1]> input = ?","List[int] size = [6, 64, <s0 + 1>]"
122,"Tensor<[6, 1, s0 + 1]> input = ?","List[int] size = [1, 6, 1, <s0 + 1>]"
123,"Tensor<[1, 6, 1, s0 + 1]> input = ?","List[int] size = [6, 1, <s0 + 1>]"
124,"Tensor<[1, 6, s0 + 1, 64]> input = ?","List[int] size = [6, <s0 + 1>, 64]"
125,"Tensor<[1, 6, 64, 17]> input = ?","List[int] size = [6, 64, 17]"
126,"Tensor<[6, 1, 17]> input = ?","List[int] size = [1, 6, 1, 17]"
127,"Tensor<[1, 6, 1, 17]> input = ?","List[int] size = [6, 1, 17]"
128,"Tensor<[1, 6, 17, 64]> input = ?","List[int] size = [6, 17, 64]"
129,"Tensor<[1, 7, 4544]> input = ?","List[int] size = [7, 4544]"
130,"Tensor<[7, 4672]> input = ?","List[int] size = [1, 7, 4672]"
131,"Tensor<[1, 7, 4672]> input = ?","List[int] size = [1, 7, 73, 64]"
132,"Tensor<[1, 71, 7, 64]> input = ?","List[int] size = [1, 71, 7, 64]"
133,"Tensor<[1, 1, 7, 64]> input = ?","List[int] size = [1, 1, 7, 64]"
134,"Tensor<[1, 71, 7, 64]> input = ?","List[int] size = [71, 7, 64]"
135,"Tensor<[1, 71, 64, 7]> input = ?","List[int] size = [71, 64, 7]"
136,"Tensor<[71, 7, 7]> input = ?","List[int] size = [1, 71, 7, 7]"
137,"Tensor<[1, 71, 7, 7]> input = ?","List[int] size = [71, 7, 7]"
138,"Tensor<[71, 7, 64]> input = ?","List[int] size = [1, 71, 7, 64]"
139,"Tensor<[7, 4544]> input = ?","List[int] size = [1, 7, 4544]"
140,"Tensor<[7, 18176]> input = ?","List[int] size = [1, 7, 18176]"
141,"Tensor<[1, 7, 18176]> input = ?","List[int] size = [7, 18176]"
142,"Tensor<[7, 65024]> input = ?","List[int] size = [1, 7, 65024]"
143,"Tensor<[1, 64, 120, 160]> input = ?","List[int] size = [1, 64, 19200]"
144,"Tensor<[1, 19200, 64]> input = ?","List[int] size = [19200, 64]"
145,"Tensor<[19200, 64]> input = ?","List[int] size = [1, 19200, 64]"
146,"Tensor<[1, 19200, 64]> input = ?","List[int] size = [1, 19200, 1, 64]"
147,"Tensor<[1, 64, 19200]> input = ?","List[int] size = [1, 64, 120, 160]"
148,"Tensor<[1, 64, 15, 20]> input = ?","List[int] size = [1, 64, 300]"
149,"Tensor<[1, 300, 64]> input = ?","List[int] size = [300, 64]"
150,"Tensor<[300, 64]> input = ?","List[int] size = [1, 300, 64]"
151,"Tensor<[1, 300, 64]> input = ?","List[int] size = [1, 300, 1, 64]"
152,"Tensor<[1, 1, 19200, 64]> input = ?","List[int] size = [1, 19200, 64]"
153,"Tensor<[1, 1, 64, 300]> input = ?","List[int] size = [1, 64, 300]"
154,"Tensor<[1, 19200, 300]> input = ?","List[int] size = [1, 1, 19200, 300]"
155,"Tensor<[1, 1, 19200, 300]> input = ?","List[int] size = [1, 19200, 300]"
156,"Tensor<[1, 1, 300, 64]> input = ?","List[int] size = [1, 300, 64]"
157,"Tensor<[1, 19200, 64]> input = ?","List[int] size = [1, 1, 19200, 64]"
158,"Tensor<[1, 19200, 1, 64]> input = ?","List[int] size = [1, 19200, 64]"
159,"Tensor<[19200, 256]> input = ?","List[int] size = [1, 19200, 256]"
160,"Tensor<[1, 256, 19200]> input = ?","List[int] size = [1, 256, 120, 160]"
161,"Tensor<[1, 256, 120, 160]> input = ?","List[int] size = [1, 256, 19200]"
162,"Tensor<[1, 19200, 256]> input = ?","List[int] size = [19200, 256]"
163,"Tensor<[1, 19200, 64]> input = ?","List[int] size = [1, 120, 160, -1]"
164,"Tensor<[1, 128, 60, 80]> input = ?","List[int] size = [1, 128, 4800]"
165,"Tensor<[1, 4800, 128]> input = ?","List[int] size = [4800, 128]"
166,"Tensor<[4800, 128]> input = ?","List[int] size = [1, 4800, 128]"
167,"Tensor<[1, 4800, 128]> input = ?","List[int] size = [1, 4800, 2, 64]"
168,"Tensor<[1, 128, 4800]> input = ?","List[int] size = [1, 128, 60, 80]"
169,"Tensor<[1, 128, 15, 20]> input = ?","List[int] size = [1, 128, 300]"
170,"Tensor<[1, 300, 128]> input = ?","List[int] size = [300, 128]"
171,"Tensor<[300, 128]> input = ?","List[int] size = [1, 300, 128]"
172,"Tensor<[1, 300, 128]> input = ?","List[int] size = [1, 300, 2, 64]"
173,"Tensor<[1, 2, 4800, 64]> input = ?","List[int] size = [2, 4800, 64]"
174,"Tensor<[1, 2, 64, 300]> input = ?","List[int] size = [2, 64, 300]"
175,"Tensor<[2, 4800, 300]> input = ?","List[int] size = [1, 2, 4800, 300]"
176,"Tensor<[1, 2, 4800, 300]> input = ?","List[int] size = [2, 4800, 300]"
177,"Tensor<[1, 2, 300, 64]> input = ?","List[int] size = [2, 300, 64]"
178,"Tensor<[2, 4800, 64]> input = ?","List[int] size = [1, 2, 4800, 64]"
179,"Tensor<[1, 4800, 2, 64]> input = ?","List[int] size = [1, 4800, 128]"
180,"Tensor<[4800, 512]> input = ?","List[int] size = [1, 4800, 512]"
181,"Tensor<[1, 512, 4800]> input = ?","List[int] size = [1, 512, 60, 80]"
182,"Tensor<[1, 512, 60, 80]> input = ?","List[int] size = [1, 512, 4800]"
183,"Tensor<[1, 4800, 512]> input = ?","List[int] size = [4800, 512]"
184,"Tensor<[1, 4800, 128]> input = ?","List[int] size = [1, 60, 80, -1]"
185,"Tensor<[1, 320, 30, 40]> input = ?","List[int] size = [1, 320, 1200]"
186,"Tensor<[1, 1200, 320]> input = ?","List[int] size = [1200, 320]"
187,"Tensor<[1200, 320]> input = ?","List[int] size = [1, 1200, 320]"
188,"Tensor<[1, 1200, 320]> input = ?","List[int] size = [1, 1200, 5, 64]"
189,"Tensor<[1, 320, 1200]> input = ?","List[int] size = [1, 320, 30, 40]"
190,"Tensor<[1, 320, 15, 20]> input = ?","List[int] size = [1, 320, 300]"
191,"Tensor<[1, 300, 320]> input = ?","List[int] size = [300, 320]"
192,"Tensor<[300, 320]> input = ?","List[int] size = [1, 300, 320]"
193,"Tensor<[1, 300, 320]> input = ?","List[int] size = [1, 300, 5, 64]"
194,"Tensor<[1, 5, 1200, 64]> input = ?","List[int] size = [5, 1200, 64]"
195,"Tensor<[1, 5, 64, 300]> input = ?","List[int] size = [5, 64, 300]"
196,"Tensor<[5, 1200, 300]> input = ?","List[int] size = [1, 5, 1200, 300]"
197,"Tensor<[1, 5, 1200, 300]> input = ?","List[int] size = [5, 1200, 300]"
198,"Tensor<[1, 5, 300, 64]> input = ?","List[int] size = [5, 300, 64]"
199,"Tensor<[5, 1200, 64]> input = ?","List[int] size = [1, 5, 1200, 64]"
200,"Tensor<[1, 1200, 5, 64]> input = ?","List[int] size = [1, 1200, 320]"
201,"Tensor<[1200, 1280]> input = ?","List[int] size = [1, 1200, 1280]"
202,"Tensor<[1, 1280, 1200]> input = ?","List[int] size = [1, 1280, 30, 40]"
203,"Tensor<[1, 1280, 30, 40]> input = ?","List[int] size = [1, 1280, 1200]"
204,"Tensor<[1, 1200, 1280]> input = ?","List[int] size = [1200, 1280]"
205,"Tensor<[1, 1200, 320]> input = ?","List[int] size = [1, 30, 40, -1]"
206,"Tensor<[1, 512, 15, 20]> input = ?","List[int] size = [1, 512, 300]"
207,"Tensor<[1, 300, 512]> input = ?","List[int] size = [300, 512]"
208,"Tensor<[300, 512]> input = ?","List[int] size = [1, 300, 512]"
209,"Tensor<[1, 300, 512]> input = ?","List[int] size = [1, 300, 8, 64]"
210,"Tensor<[1, 8, 300, 64]> input = ?","List[int] size = [8, 300, 64]"
211,"Tensor<[1, 8, 64, 300]> input = ?","List[int] size = [8, 64, 300]"
212,"Tensor<[8, 300, 300]> input = ?","List[int] size = [1, 8, 300, 300]"
213,"Tensor<[1, 8, 300, 300]> input = ?","List[int] size = [8, 300, 300]"
214,"Tensor<[8, 300, 64]> input = ?","List[int] size = [1, 8, 300, 64]"
215,"Tensor<[1, 300, 8, 64]> input = ?","List[int] size = [1, 300, 512]"
216,"Tensor<[300, 2048]> input = ?","List[int] size = [1, 300, 2048]"
217,"Tensor<[1, 2048, 300]> input = ?","List[int] size = [1, 2048, 15, 20]"
218,"Tensor<[1, 2048, 15, 20]> input = ?","List[int] size = [1, 2048, 300]"
219,"Tensor<[1, 300, 2048]> input = ?","List[int] size = [300, 2048]"
220,"Tensor<[1, 300, 512]> input = ?","List[int] size = [1, 15, 20, -1]"
221,"Tensor<[1, 7]> input = ?","List[int] size = [-1, 7]"
222,"Tensor<[1, 7]> input = ?","List[int] size = [1, -1]"
223,"Tensor<[1, 7, 768]> input = ?","List[int] size = [-1, 768]"
224,"Tensor<[7, 2304]> input = ?","List[int] size = [1, 7, 2304]"
225,"Tensor<[1, 7, 768]> input = ?","List[int] size = [1, 7, 12, 64]"
226,"Tensor<[1, 12, 7, 64]> input = ?","List[int] size = [12, 7, 64]"
227,"Tensor<[1, 12, 64, 7]> input = ?","List[int] size = [12, 64, 7]"
228,"Tensor<[12, 7, 7]> input = ?","List[int] size = [1, 12, 7, 7]"
229,"Tensor<[1, 12, 7, 7]> input = ?","List[int] size = [12, 7, 7]"
230,"Tensor<[12, 7, 64]> input = ?","List[int] size = [1, 12, 7, 64]"
231,"Tensor<[1, 7, 12, 64]> input = ?","List[int] size = [1, 7, 768]"
232,"Tensor<[7, 768]> input = ?","List[int] size = [1, 7, 768]"
233,"Tensor<[7, 3072]> input = ?","List[int] size = [1, 7, 3072]"
234,"Tensor<[1, 7, 3072]> input = ?","List[int] size = [-1, 3072]"
235,"Tensor<[1, 7, 768]> input = ?","List[int] size = [-1, 7, 768]"
236,"Tensor<[1, 7, 768]> input = ?","List[int] size = [7, 768]"
237,"Tensor<[7, 2]> input = ?","List[int] size = [1, 7, 2]"
238,"Tensor<[1, 1, 45]> input = ?","List[int] size = [1, 45]"
239,"Tensor<[1, 45]> input = ?","List[int] size = [-1, 45]"
240,"Tensor<[1, 45, 768]> input = ?","List[int] size = [45, 768]"
241,"Tensor<[45, 768]> input = ?","List[int] size = [1, 45, 768]"
242,"Tensor<[1, 45, 768]> input = ?","List[int] size = [1, 45, 12, 64]"
243,"Tensor<[1, 12, 45, 64]> input = ?","List[int] size = [12, 45, 64]"
244,"Tensor<[1, 12, 64, 45]> input = ?","List[int] size = [12, 64, 45]"
245,"Tensor<[12, 45, 45]> input = ?","List[int] size = [1, 12, 45, 45]"
246,"Tensor<[1, 12, 45, 45]> input = ?","List[int] size = [12, 45, 45]"
247,"Tensor<[12, 45, 64]> input = ?","List[int] size = [1, 12, 45, 64]"
248,"Tensor<[1, 45, 12, 64]> input = ?","List[int] size = [1, 45, 768]"
249,"Tensor<[45, 3072]> input = ?","List[int] size = [1, 45, 3072]"
250,"Tensor<[1, 45, 3072]> input = ?","List[int] size = [45, 3072]"
251,"Tensor<[1, 45, 768]> input = ?","List[int] size = [-1, 45, 768]"
252,"Tensor<[45, 50257]> input = ?","List[int] size = [1, 45, 50257]"
253,"Tensor<[1, 1, 768]> input = ?","List[int] size = [1, 768]"
254,"Tensor<[1, 768]> input = ?","List[int] size = [1, 1, 768]"
255,"Tensor<[1, 1, 768]> input = ?","List[int] size = [1, 1, 12, 64]"
256,"Tensor<[1, 12, 1, 64]> input = ?","List[int] size = [12, 1, 64]"
257,"Tensor<[1, 12, 64, 46]> input = ?","List[int] size = [12, 64, 46]"
258,"Tensor<[12, 1, 46]> input = ?","List[int] size = [1, 12, 1, 46]"
259,"Tensor<[1, 12, 1, 46]> input = ?","List[int] size = [12, 1, 46]"
260,"Tensor<[1, 12, 46, 64]> input = ?","List[int] size = [12, 46, 64]"
261,"Tensor<[12, 1, 64]> input = ?","List[int] size = [1, 12, 1, 64]"
262,"Tensor<[1, 1, 12, 64]> input = ?","List[int] size = [1, 1, 768]"
263,"Tensor<[1, 3072]> input = ?","List[int] size = [1, 1, 3072]"
264,"Tensor<[1, 1, 3072]> input = ?","List[int] size = [1, 3072]"
265,"Tensor<[1, 1, 768]> input = ?","List[int] size = [-1, 1, 768]"
266,"Tensor<[1, 50257]> input = ?","List[int] size = [1, 1, 50257]"
267,"Tensor<[1, 12, 64, s10 + 1]> input = ?","List[int] size = [12, 64, <s10 + 1>]"
268,"Tensor<[12, 1, s10 + 1]> input = ?","List[int] size = [1, 12, 1, <s10 + 1>]"
269,"Tensor<[1, 12, 1, s10 + 1]> input = ?","List[int] size = [12, 1, <s10 + 1>]"
270,"Tensor<[1, 12, s10 + 1, 64]> input = ?","List[int] size = [12, <s10 + 1>, 64]"
271,"Tensor<[1, 1024, 1, 1]> input = ?","List[int] size = [1, -1]"
272,"Tensor<[1, 3, 256, 256]> input = ?","List[int] size = [1, 3, 16, 16, 16, 16]"
273,"Tensor<[1, 256, 768]> input = ?","List[int] size = [256, 768]"
274,"Tensor<[256, 512]> input = ?","List[int] size = [1, 256, 512]"
275,"Tensor<[1, 256, 512]> input = ?","List[int] size = [256, 512]"
276,"Tensor<[256, 256]> input = ?","List[int] size = [1, 256, 256]"
277,"Tensor<[1, 256, 256]> input = ?","List[int] size = [256, 256]"
278,"Tensor<[1, 256, 512]> input = ?","List[int] size = [1, 256, 512]"
279,"Tensor<[1, 512]> input = ?","List[int] size = [1, 512]"
280,"Tensor<[1, 64, 12, 12]> input = ?","List[int] size = [1, 9216]"
281,"Tensor<[1, 10]> input = ?",List[int] size = [10]
282,"Tensor<[1, 128]> input = ?",List[int] size = [128]
283,"Tensor<[1, 9216]> input = ?","List[int] size = [1, 64, 12, 12]"
284,"Tensor<[1, 24, 20, 20]> input = ?","List[int] size = [1, -1, 4, 20, 20]"
285,"Tensor<[1, 24, 10, 10]> input = ?","List[int] size = [1, -1, 4, 10, 10]"
286,"Tensor<[1, 24, 5, 5]> input = ?","List[int] size = [1, -1, 4, 5, 5]"
287,"Tensor<[1, 24, 3, 3]> input = ?","List[int] size = [1, -1, 4, 3, 3]"
288,"Tensor<[1, 24, 2, 2]> input = ?","List[int] size = [1, -1, 4, 2, 2]"
289,"Tensor<[1, 24, 1, 1]> input = ?","List[int] size = [1, -1, 4, 1, 1]"
290,"Tensor<[1, 1, 1, 6, 4]> input = ?","List[int] size = [1, -1, 4]"
291,"Tensor<[1, 546, 20, 20]> input = ?","List[int] size = [1, -1, 91, 20, 20]"
292,"Tensor<[1, 546, 10, 10]> input = ?","List[int] size = [1, -1, 91, 10, 10]"
293,"Tensor<[1, 546, 5, 5]> input = ?","List[int] size = [1, -1, 91, 5, 5]"
294,"Tensor<[1, 546, 3, 3]> input = ?","List[int] size = [1, -1, 91, 3, 3]"
295,"Tensor<[1, 546, 2, 2]> input = ?","List[int] size = [1, -1, 91, 2, 2]"
296,"Tensor<[1, 546, 1, 1]> input = ?","List[int] size = [1, -1, 91, 1, 1]"
297,"Tensor<[1, 1, 1, 6, 91]> input = ?","List[int] size = [1, -1, 91]"
298,Tensor<[20]> input = ?,"List[int] size = [-1, 1]"
299,Tensor<[20]> input = ?,"List[int] size = [1, -1]"
300,"Tensor<[400, 12]> input = ?","List[int] size = [-1, 2]"
301,Tensor<[10]> input = ?,"List[int] size = [-1, 1]"
302,Tensor<[10]> input = ?,"List[int] size = [1, -1]"
303,"Tensor<[100, 12]> input = ?","List[int] size = [-1, 2]"
304,Tensor<[5]> input = ?,"List[int] size = [-1, 1]"
305,Tensor<[5]> input = ?,"List[int] size = [1, -1]"
306,"Tensor<[25, 12]> input = ?","List[int] size = [-1, 2]"
307,Tensor<[3]> input = ?,"List[int] size = [-1, 1]"
308,Tensor<[3]> input = ?,"List[int] size = [1, -1]"
309,"Tensor<[9, 12]> input = ?","List[int] size = [-1, 2]"
310,Tensor<[2]> input = ?,"List[int] size = [-1, 1]"
311,Tensor<[2]> input = ?,"List[int] size = [1, -1]"
312,"Tensor<[4, 12]> input = ?","List[int] size = [-1, 2]"
313,Tensor<[1]> input = ?,"List[int] size = [-1, 1]"
314,Tensor<[1]> input = ?,"List[int] size = [1, -1]"
315,"Tensor<[1, 1]> input = ?",List[int] size = [-1]
316,"Tensor<[1, 12]> input = ?","List[int] size = [-1, 2]"
317,"Tensor<[3234, 1, 4]> input = ?","List[int] size = [3234, 4]"
318,"Tensor<[3234, 2, 2]> input = ?","List[int] size = [3234, 4]"
319,"Tensor<[1, 59]> input = ?","List[int] size = [-1, 59]"
320,"Tensor<[1, 59, 512]> input = ?","List[int] size = [59, 512]"
321,"Tensor<[59, 1024]> input = ?","List[int] size = [1, 59, 1024]"
322,"Tensor<[1, 59, 1024]> input = ?","List[int] size = [59, 1024]"
323,"Tensor<[1, 59, 1024]> input = ?","List[int] size = [1, -1, 16, 64]"
324,"Tensor<[1, 59, 1024]> input = ?","List[int] size = [1, 59, 16, 64]"
325,"Tensor<[1, 16, 59, 64]> input = ?","List[int] size = [16, -1, 64]"
326,"Tensor<[16, 59, 59]> input = ?","List[int] size = [1, 16, 59, 59]"
327,"Tensor<[1, 16, 59, 59]> input = ?","List[int] size = [16, 59, 59]"
328,"Tensor<[16, 59, 64]> input = ?","List[int] size = [1, 16, 59, 64]"
329,"Tensor<[1, 59, 1024]> input = ?","List[int] size = [-1, 1024]"
330,"Tensor<[59, 512]> input = ?","List[int] size = [1, 59, 512]"
331,"Tensor<[59, 50272]> input = ?","List[int] size = [1, 59, 50272]"
332,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [1, -1, 16, 64]"
333,"Tensor<[1, 1, 1024]> input = ?","List[int] size = [1, 1, 16, 64]"
334,"Tensor<[1, 16, 1, 64]> input = ?","List[int] size = [16, -1, 64]"
335,"Tensor<[1, 16, 60, 64]> input = ?","List[int] size = [16, -1, 64]"
336,"Tensor<[16, 1, 60]> input = ?","List[int] size = [1, 16, 1, 60]"
337,"Tensor<[1, 16, 1, 60]> input = ?","List[int] size = [16, 1, 60]"
338,"Tensor<[16, 1, 64]> input = ?","List[int] size = [1, 16, 1, 64]"
