Variation #,Input,Other
67,"Tensor<[1, 1, 256]> input = ?",Tensor other = 0.5
68,"Tensor<[1, 512]> input = ?","Tensor<[1, 512]> other = ?"
69,"Tensor<[1, s0, 256]> input = ?",Tensor other = 0.5
70,"Tensor<[96, 80]> input = ?",Tensor<[80]> other = ?
71,"Tensor<[1, 256, 384]> input = ?",Tensor other = 3
72,"Tensor<[1, 128, 1536]> input = ?",Tensor other = 3
73,"Tensor<[1, 64, 6144]> input = ?",Tensor other = 3
74,"Tensor<[1, 32, 24576]> input = ?",Tensor other = 3
75,"Tensor<[1, 512, 38, 38]> input = ?","Tensor<[1, 512, 38, 38]> other = ?"
76,Tensor<[38]> input = ?,Tensor other = 37.5
77,Tensor<[19]> input = ?,Tensor other = 18.75
78,Tensor<[10]> input = ?,Tensor other = 9.375
79,Tensor<[5]> input = ?,Tensor other = 4.6875
80,Tensor<[3]> input = ?,Tensor other = 3.0
81,Tensor<[1]> input = ?,Tensor other = 1.0
82,"Tensor<[8732, 1]> input = ?",Tensor other = 10.0
83,"Tensor<[8732, 1]> input = ?",Tensor other = 5.0
84,"Tensor<[64, 4, 64, 32]> input = ?","Tensor<[64, 4, 64, 32]> other = ?"
85,"Tensor<[16, 8, 64, 32]> input = ?","Tensor<[16, 8, 64, 32]> other = ?"
86,"Tensor<[4, 16, 64, 32]> input = ?","Tensor<[4, 16, 64, 32]> other = ?"
87,"Tensor<[1, 32, 64, 32]> input = ?","Tensor<[1, 32, 64, 32]> other = ?"
88,"Tensor<[64, 3, 64, 32]> input = ?","Tensor<[64, 3, 64, 32]> other = ?"
89,"Tensor<[16, 6, 64, 32]> input = ?","Tensor<[16, 6, 64, 32]> other = ?"
90,"Tensor<[4, 12, 64, 32]> input = ?","Tensor<[4, 12, 64, 32]> other = ?"
91,"Tensor<[1, 24, 64, 32]> input = ?","Tensor<[1, 24, 64, 32]> other = ?"
92,"Tensor<[10, 10]> input = ?",Tensor other = 8
93,"Tensor<[10, 10]> input = ?",Tensor other = 2.772588722239781
94,"Tensor<[1, 12, 9, 9]> input = ?",Tensor other = 8.0
95,"Tensor<[1, 12, 14, 14]> input = ?",Tensor other = 8.0
