Variation #,Input
0,Tensor<[30]> input = ?
1,Tensor<[40]> input = ?
2,Tensor<[60]> input = ?
3,Tensor<[80]> input = ?
4,Tensor<[120]> input = ?
5,Tensor<[160]> input = ?
6,Tensor<[240]> input = ?
7,Tensor<[320]> input = ?
8,Tensor<[480]> input = ?
9,Tensor<[640]> input = ?
10,Tensor<[128]> input = ?
11,Tensor<[800]> input = ?
12,Tensor<[1066]> input = ?
13,Tensor<[300]> input = ?
