Variation #,Input
192,"Tensor<[1, 1184, 14, 14]> input = ?"
193,"Tensor<[1, 1216, 14, 14]> input = ?"
194,"Tensor<[1, 1280, 14, 14]> input = ?"
195,"Tensor<[1, 1088, 7, 7]> input = ?"
196,"Tensor<[1, 1120, 7, 7]> input = ?"
197,"Tensor<[1, 1184, 7, 7]> input = ?"
198,"Tensor<[1, 1216, 7, 7]> input = ?"
199,"Tensor<[1, 1280, 7, 7]> input = ?"
200,"Tensor<[1, 1312, 7, 7]> input = ?"
201,"Tensor<[1, 1376, 7, 7]> input = ?"
202,"Tensor<[1, 1408, 7, 7]> input = ?"
203,"Tensor<[1, 1472, 7, 7]> input = ?"
204,"Tensor<[1, 1504, 7, 7]> input = ?"
205,"Tensor<[1, 1568, 7, 7]> input = ?"
206,"Tensor<[1, 1600, 7, 7]> input = ?"
207,"Tensor<[1, 1664, 7, 7]> input = ?"
208,"Tensor<[1, 1312, 14, 14]> input = ?"
209,"Tensor<[1, 1376, 14, 14]> input = ?"
210,"Tensor<[1, 1408, 14, 14]> input = ?"
211,"Tensor<[1, 1472, 14, 14]> input = ?"
212,"Tensor<[1, 1504, 14, 14]> input = ?"
213,"Tensor<[1, 1568, 14, 14]> input = ?"
214,"Tensor<[1, 1600, 14, 14]> input = ?"
215,"Tensor<[1, 1664, 14, 14]> input = ?"
216,"Tensor<[1, 1696, 14, 14]> input = ?"
217,"Tensor<[1, 1760, 14, 14]> input = ?"
218,"Tensor<[1, 1792, 14, 14]> input = ?"
219,"Tensor<[1, 1696, 7, 7]> input = ?"
220,"Tensor<[1, 1760, 7, 7]> input = ?"
221,"Tensor<[1, 1792, 7, 7]> input = ?"
222,"Tensor<[1, 1856, 7, 7]> input = ?"
223,"Tensor<[1, 1888, 7, 7]> input = ?"
224,"Tensor<[1, 16, 224, 224]> input = ?"
225,"Tensor<[1, 224, 7, 7]> input = ?"
226,"Tensor<[1, 16, 112, 112]> input = ?"
227,"Tensor<[1, 8, 112, 112]> input = ?"
228,"Tensor<[1, 24, 112, 112]> input = ?"
229,"Tensor<[1, 36, 56, 56]> input = ?"
230,"Tensor<[1, 20, 1, 1]> input = ?"
231,"Tensor<[1, 60, 28, 28]> input = ?"
232,"Tensor<[1, 120, 28, 28]> input = ?"
233,"Tensor<[1, 100, 14, 14]> input = ?"
234,"Tensor<[1, 92, 14, 14]> input = ?"
235,"Tensor<[1, 240, 14, 14]> input = ?"
236,"Tensor<[1, 336, 14, 14]> input = ?"
237,"Tensor<[1, 480, 7, 7]> input = ?"
238,"Tensor<[1, 240, 1, 1]> input = ?"
239,"Tensor<[1, 1280, 1, 1]> input = ?"
240,"Tensor<[1, 64, 28, 28]> input = ?"
241,"Tensor<[1, 96, 28, 28]> input = ?"
242,"Tensor<[1, 32, 28, 28]> input = ?"
243,"Tensor<[1, 96, 14, 14]> input = ?"
244,"Tensor<[1, 208, 14, 14]> input = ?"
245,"Tensor<[1, 48, 14, 14]> input = ?"
246,"Tensor<[1, 64, 14, 14]> input = ?"
247,"Tensor<[1, 160, 14, 14]> input = ?"
248,"Tensor<[1, 112, 14, 14]> input = ?"
249,"Tensor<[1, 224, 14, 14]> input = ?"
250,"Tensor<[1, 24, 14, 14]> input = ?"
251,"Tensor<[1, 144, 14, 14]> input = ?"
252,"Tensor<[1, 32, 14, 14]> input = ?"
253,"Tensor<[1, 256, 7, 7]> input = ?"
254,"Tensor<[1, 160, 7, 7]> input = ?"
255,"Tensor<[1, 320, 7, 7]> input = ?"
256,"Tensor<[1, 32, 7, 7]> input = ?"
257,"Tensor<[1, 384, 7, 7]> input = ?"
258,"Tensor<[1, 48, 7, 7]> input = ?"
259,"Tensor<[1, 18, 56, 56]> input = ?"
260,"Tensor<[1, 36, 28, 28]> input = ?"
261,"Tensor<[1, 72, 14, 14]> input = ?"
262,"Tensor<[1, 18, 28, 28]> input = ?"
263,"Tensor<[1, 144, 7, 7]> input = ?"
264,"Tensor<[1, 18, 14, 14]> input = ?"
265,"Tensor<[1, 36, 14, 14]> input = ?"
266,"Tensor<[1, 32, 56, 56]> input = ?"
267,"Tensor<[1, 32, 149, 149]> input = ?"
268,"Tensor<[1, 32, 147, 147]> input = ?"
269,"Tensor<[1, 64, 147, 147]> input = ?"
270,"Tensor<[1, 96, 73, 73]> input = ?"
271,"Tensor<[1, 64, 73, 73]> input = ?"
272,"Tensor<[1, 96, 71, 71]> input = ?"
273,"Tensor<[1, 192, 35, 35]> input = ?"
274,"Tensor<[1, 96, 35, 35]> input = ?"
275,"Tensor<[1, 64, 35, 35]> input = ?"
276,"Tensor<[1, 384, 17, 17]> input = ?"
277,"Tensor<[1, 224, 35, 35]> input = ?"
278,"Tensor<[1, 256, 17, 17]> input = ?"
279,"Tensor<[1, 192, 17, 17]> input = ?"
280,"Tensor<[1, 224, 17, 17]> input = ?"
281,"Tensor<[1, 128, 17, 17]> input = ?"
282,"Tensor<[1, 192, 8, 8]> input = ?"
283,"Tensor<[1, 320, 17, 17]> input = ?"
284,"Tensor<[1, 320, 8, 8]> input = ?"
285,"Tensor<[1, 256, 8, 8]> input = ?"
286,"Tensor<[1, 384, 8, 8]> input = ?"
287,"Tensor<[1, 448, 8, 8]> input = ?"
288,"Tensor<[1, 512, 8, 8]> input = ?"
289,"Tensor<[1, 72, 56, 56]> input = ?"
290,"Tensor<[1, 72, 28, 28]> input = ?"
291,"Tensor<[1, 16, 56, 56]> input = ?"
292,"Tensor<[1, 8, 1, 1]> input = ?"
293,"Tensor<[1, 88, 28, 28]> input = ?"
294,"Tensor<[1, 64, 1, 1]> input = ?"
295,"Tensor<[1, 40, 1, 1]> input = ?"
296,"Tensor<[1, 72, 1, 1]> input = ?"
297,"Tensor<[1, 144, 1, 1]> input = ?"
298,"Tensor<[1, 256, 112, 112]> input = ?"
299,"Tensor<[1, 512, 56, 56]> input = ?"
300,"Tensor<[1, 896, 28, 28]> input = ?"
301,"Tensor<[1, 2048, 14, 14]> input = ?"
302,"Tensor<[1, 72, 112, 112]> input = ?"
303,"Tensor<[1, 168, 56, 56]> input = ?"
304,"Tensor<[1, 168, 28, 28]> input = ?"
305,"Tensor<[1, 408, 28, 28]> input = ?"
306,"Tensor<[1, 408, 14, 14]> input = ?"
307,"Tensor<[1, 912, 7, 7]> input = ?"
308,"Tensor<[1, 336, 112, 112]> input = ?"
309,"Tensor<[1, 672, 56, 56]> input = ?"
310,"Tensor<[1, 1344, 28, 28]> input = ?"
311,"Tensor<[1, 2520, 14, 14]> input = ?"
312,"Tensor<[1, 2520, 7, 7]> input = ?"
313,"Tensor<[1, 1008, 7, 7]> input = ?"
314,"Tensor<[1, 400, 14, 14]> input = ?"
315,"Tensor<[1, 400, 7, 7]> input = ?"
316,"Tensor<[1, 80, 112, 112]> input = ?"
317,"Tensor<[1, 80, 56, 56]> input = ?"
318,"Tensor<[1, 32, 192, 192]> input = ?"
319,"Tensor<[1, 528, 192, 192]> input = ?"
320,"Tensor<[1, 528, 96, 96]> input = ?"
321,"Tensor<[1, 132, 1, 1]> input = ?"
322,"Tensor<[1, 1056, 96, 96]> input = ?"
323,"Tensor<[1, 1056, 48, 48]> input = ?"
324,"Tensor<[1, 264, 1, 1]> input = ?"
325,"Tensor<[1, 2904, 48, 48]> input = ?"
326,"Tensor<[1, 2904, 24, 24]> input = ?"
327,"Tensor<[1, 726, 1, 1]> input = ?"
328,"Tensor<[1, 7392, 24, 24]> input = ?"
329,"Tensor<[1, 7392, 12, 12]> input = ?"
330,"Tensor<[1, 224, 112, 112]> input = ?"
331,"Tensor<[1, 56, 1, 1]> input = ?"
332,"Tensor<[1, 448, 56, 56]> input = ?"
333,"Tensor<[1, 112, 1, 1]> input = ?"
334,"Tensor<[1, 1232, 28, 28]> input = ?"
335,"Tensor<[1, 1232, 14, 14]> input = ?"
336,"Tensor<[1, 308, 1, 1]> input = ?"
337,"Tensor<[1, 3024, 14, 14]> input = ?"
338,"Tensor<[1, 3024, 7, 7]> input = ?"
339,"Tensor<[1, 48, 112, 112]> input = ?"
340,"Tensor<[1, 48, 56, 56]> input = ?"
341,"Tensor<[1, 12, 1, 1]> input = ?"
342,"Tensor<[1, 120, 56, 56]> input = ?"
343,"Tensor<[1, 30, 1, 1]> input = ?"
344,"Tensor<[1, 84, 1, 1]> input = ?"
345,"Tensor<[1, 888, 14, 14]> input = ?"
346,"Tensor<[1, 888, 7, 7]> input = ?"
347,"Tensor<[1, 222, 1, 1]> input = ?"
348,"Tensor<[1, 232, 112, 112]> input = ?"
349,"Tensor<[1, 232, 56, 56]> input = ?"
350,"Tensor<[1, 58, 1, 1]> input = ?"
351,"Tensor<[1, 696, 56, 56]> input = ?"
352,"Tensor<[1, 696, 28, 28]> input = ?"
353,"Tensor<[1, 174, 1, 1]> input = ?"
354,"Tensor<[1, 1392, 28, 28]> input = ?"
355,"Tensor<[1, 348, 1, 1]> input = ?"
356,"Tensor<[1, 3712, 14, 14]> input = ?"
357,"Tensor<[1, 3712, 7, 7]> input = ?"
358,"Tensor<[1, 18, 1, 1]> input = ?"
359,"Tensor<[1, 216, 56, 56]> input = ?"
360,"Tensor<[1, 216, 28, 28]> input = ?"
361,"Tensor<[1, 54, 1, 1]> input = ?"
362,"Tensor<[1, 1512, 14, 14]> input = ?"
363,"Tensor<[1, 1512, 7, 7]> input = ?"
364,"Tensor<[1, 104, 56, 56]> input = ?"
365,"Tensor<[1, 104, 28, 28]> input = ?"
366,"Tensor<[1, 26, 1, 1]> input = ?"
367,"Tensor<[1, 208, 28, 28]> input = ?"
368,"Tensor<[1, 52, 1, 1]> input = ?"
369,"Tensor<[1, 440, 14, 14]> input = ?"
370,"Tensor<[1, 440, 7, 7]> input = ?"
371,"Tensor<[1, 110, 1, 1]> input = ?"
372,"Tensor<[1, 144, 28, 28]> input = ?"
373,"Tensor<[1, 16, 1, 1]> input = ?"
374,"Tensor<[1, 36, 1, 1]> input = ?"
375,"Tensor<[1, 80, 1, 1]> input = ?"
376,"Tensor<[1, 784, 14, 14]> input = ?"
377,"Tensor<[1, 784, 7, 7]> input = ?"
378,"Tensor<[1, 196, 1, 1]> input = ?"
379,"Tensor<[1, 224, 1, 1]> input = ?"
380,"Tensor<[1, 1024, 28, 28]> input = ?"
381,"Tensor<[1, 64, 400, 544]> input = ?"
382,"Tensor<[1, 64, 200, 272]> input = ?"
383,"Tensor<[1, 256, 200, 272]> input = ?"
384,"Tensor<[1, 128, 200, 272]> input = ?"
385,"Tensor<[1, 128, 100, 136]> input = ?"
386,"Tensor<[1, 512, 100, 136]> input = ?"
387,"Tensor<[1, 256, 100, 136]> input = ?"
388,"Tensor<[1, 256, 50, 68]> input = ?"
389,"Tensor<[1, 1024, 50, 68]> input = ?"
390,"Tensor<[1, 512, 50, 68]> input = ?"
391,"Tensor<[1, 512, 25, 34]> input = ?"
392,"Tensor<[1, 2048, 25, 34]> input = ?"
393,"Tensor<[1, 256, 13, 17]> input = ?"
394,"Tensor<[1, 256, 25, 34]> input = ?"
395,"Tensor<[1, 256, 7, 9]> input = ?"
396,"Tensor<[1, 1, 256]> input = ?"
397,"Tensor<[1, 1, 768]> input = ?"
398,"Tensor<[1, s0, 256]> input = ?"
399,"Tensor<[1, s0, 768]> input = ?"
400,"Tensor<[1, 64, 300, 300]> input = ?"
401,"Tensor<[1, 128, 150, 150]> input = ?"
402,"Tensor<[1, 256, 75, 75]> input = ?"
403,"Tensor<[1, 512, 38, 38]> input = ?"
404,"Tensor<[1, 512, 19, 19]> input = ?"
405,"Tensor<[1, 1024, 19, 19]> input = ?"
406,"Tensor<[1, 256, 19, 19]> input = ?"
407,"Tensor<[1, 512, 10, 10]> input = ?"
408,"Tensor<[1, 128, 10, 10]> input = ?"
409,"Tensor<[1, 256, 5, 5]> input = ?"
410,"Tensor<[1, 128, 5, 5]> input = ?"
411,"Tensor<[1, 256, 3, 3]> input = ?"
412,"Tensor<[1, 128, 3, 3]> input = ?"
413,"Tensor<[1, 256, 1, 1]> input = ?"
414,"Tensor<[1, 15, 15, 512]> input = ?"
415,"Tensor<[1, 10, 3072]> input = ?"
416,"Tensor<[1, 1, 3072]> input = ?"
417,"Tensor<[1, 10, 4096]> input = ?"
418,"Tensor<[1, 1, 4096]> input = ?"
419,"Tensor<[1, 10, 2048]> input = ?"
420,"Tensor<[1, 1, 2048]> input = ?"
421,"Tensor<[1, 32, 150, 150]> input = ?"
422,"Tensor<[1, 64, 150, 150]> input = ?"
423,"Tensor<[1, 128, 75, 75]> input = ?"
424,"Tensor<[1, 256, 38, 38]> input = ?"
425,"Tensor<[1, 728, 38, 38]> input = ?"
426,"Tensor<[1, 728, 19, 19]> input = ?"
427,"Tensor<[1, 1024, 10, 10]> input = ?"
428,"Tensor<[1, 1536, 10, 10]> input = ?"
429,"Tensor<[1, 2048, 10, 10]> input = ?"
