Variation #,Input
0,"Tensor<[1, 16, 28, 28]> input = ?"
1,"Tensor<[1, 4, 14, 14]> input = ?"
2,"Tensor<[1, 16, 14, 14]> input = ?"
3,"Tensor<[1, 128]> input = ?"
4,"Tensor<[1, 64]> input = ?"
5,"Tensor<[1, 12]> input = ?"
6,"Tensor<[1, 64, 360, 640]> input = ?"
7,"Tensor<[1, 64, 180, 320]> input = ?"
8,"Tensor<[1, 256, 180, 320]> input = ?"
9,"Tensor<[1, 128, 180, 320]> input = ?"
10,"Tensor<[1, 128, 90, 160]> input = ?"
11,"Tensor<[1, 512, 90, 160]> input = ?"
12,"Tensor<[1, 256, 90, 160]> input = ?"
13,"Tensor<[1, 256, 45, 80]> input = ?"
14,"Tensor<[1, 1024, 45, 80]> input = ?"
15,"Tensor<[1, 512, 45, 80]> input = ?"
16,"Tensor<[1, 512, 23, 40]> input = ?"
17,"Tensor<[1, 2048, 23, 40]> input = ?"
18,"Tensor<[920, 1, 2048]> input = ?"
19,"Tensor<[100, 1, 2048]> input = ?"
20,"Tensor<[6, 1, 100, 256]> input = ?"
21,"Tensor<[1, 64, 30, 40]> input = ?"
22,"Tensor<[1, 32, 30, 40]> input = ?"
23,"Tensor<[1, 64, 60, 80]> input = ?"
24,"Tensor<[1, 32, 60, 80]> input = ?"
25,"Tensor<[1, 64, 120, 160]> input = ?"
26,"Tensor<[1, 32, 120, 160]> input = ?"
27,"Tensor<[1, 64, 480, 640]> input = ?"
28,"Tensor<[1, 32, 26, 26]> input = ?"
29,"Tensor<[1, 64, 24, 24]> input = ?"
30,"Tensor<[1, 16, 160, 160]> input = ?"
31,"Tensor<[1, 64, 160, 160]> input = ?"
32,"Tensor<[1, 64, 80, 80]> input = ?"
33,"Tensor<[1, 72, 80, 80]> input = ?"
34,"Tensor<[1, 72, 40, 40]> input = ?"
35,"Tensor<[1, 24, 1, 1]> input = ?"
36,"Tensor<[1, 120, 40, 40]> input = ?"
37,"Tensor<[1, 32, 1, 1]> input = ?"
38,"Tensor<[1, 120, 1, 1]> input = ?"
39,"Tensor<[1, 168, 1, 1]> input = ?"
40,"Tensor<[59, 4096]> input = ?"
41,"Tensor<[1, 4096]> input = ?"
42,"Tensor<[1, 32, 112, 112]> input = ?"
43,"Tensor<[1, 64, 112, 112]> input = ?"
44,"Tensor<[1, 64, 56, 56]> input = ?"
45,"Tensor<[1, 128, 56, 56]> input = ?"
46,"Tensor<[1, 128, 28, 28]> input = ?"
47,"Tensor<[1, 256, 28, 28]> input = ?"
48,"Tensor<[1, 512, 28, 28]> input = ?"
49,"Tensor<[1, 256, 14, 14]> input = ?"
50,"Tensor<[1, 512, 7, 7]> input = ?"
51,"Tensor<[1, 256, 56, 56]> input = ?"
52,"Tensor<[1, 1024, 14, 14]> input = ?"
53,"Tensor<[1, 512, 14, 14]> input = ?"
54,"Tensor<[1, 2048, 7, 7]> input = ?"
55,"Tensor<[1, 256, 128, 128]> input = ?"
56,"Tensor<[1, 32, 256, 256]> input = ?"
57,"Tensor<[1, 64, 128, 128]> input = ?"
58,"Tensor<[1, 128, 64, 64]> input = ?"
59,"Tensor<[1, 256, 32, 32]> input = ?"
60,"Tensor<[1, 512, 16, 16]> input = ?"
61,"Tensor<[1, 64, 224, 224]> input = ?"
62,"Tensor<[1, 128, 112, 112]> input = ?"
63,"Tensor<[1, 100, 192]> input = ?"
64,"Tensor<[1, 96, 56, 56]> input = ?"
65,"Tensor<[1, 160, 56, 56]> input = ?"
66,"Tensor<[1, 192, 56, 56]> input = ?"
67,"Tensor<[1, 224, 56, 56]> input = ?"
68,"Tensor<[1, 160, 28, 28]> input = ?"
69,"Tensor<[1, 192, 28, 28]> input = ?"
70,"Tensor<[1, 224, 28, 28]> input = ?"
71,"Tensor<[1, 288, 28, 28]> input = ?"
72,"Tensor<[1, 320, 28, 28]> input = ?"
73,"Tensor<[1, 352, 28, 28]> input = ?"
74,"Tensor<[1, 384, 28, 28]> input = ?"
75,"Tensor<[1, 416, 28, 28]> input = ?"
76,"Tensor<[1, 448, 28, 28]> input = ?"
77,"Tensor<[1, 480, 28, 28]> input = ?"
78,"Tensor<[1, 128, 14, 14]> input = ?"
79,"Tensor<[1, 288, 14, 14]> input = ?"
80,"Tensor<[1, 320, 14, 14]> input = ?"
81,"Tensor<[1, 352, 14, 14]> input = ?"
82,"Tensor<[1, 384, 14, 14]> input = ?"
83,"Tensor<[1, 416, 14, 14]> input = ?"
84,"Tensor<[1, 448, 14, 14]> input = ?"
85,"Tensor<[1, 480, 14, 14]> input = ?"
86,"Tensor<[1, 544, 14, 14]> input = ?"
87,"Tensor<[1, 576, 14, 14]> input = ?"
88,"Tensor<[1, 608, 14, 14]> input = ?"
89,"Tensor<[1, 640, 14, 14]> input = ?"
90,"Tensor<[1, 672, 14, 14]> input = ?"
91,"Tensor<[1, 704, 14, 14]> input = ?"
92,"Tensor<[1, 736, 14, 14]> input = ?"
93,"Tensor<[1, 768, 14, 14]> input = ?"
94,"Tensor<[1, 800, 14, 14]> input = ?"
95,"Tensor<[1, 832, 14, 14]> input = ?"
96,"Tensor<[1, 864, 14, 14]> input = ?"
97,"Tensor<[1, 896, 14, 14]> input = ?"
98,"Tensor<[1, 928, 14, 14]> input = ?"
99,"Tensor<[1, 960, 14, 14]> input = ?"
100,"Tensor<[1, 992, 14, 14]> input = ?"
101,"Tensor<[1, 128, 7, 7]> input = ?"
102,"Tensor<[1, 544, 7, 7]> input = ?"
103,"Tensor<[1, 576, 7, 7]> input = ?"
104,"Tensor<[1, 608, 7, 7]> input = ?"
105,"Tensor<[1, 640, 7, 7]> input = ?"
106,"Tensor<[1, 672, 7, 7]> input = ?"
107,"Tensor<[1, 704, 7, 7]> input = ?"
108,"Tensor<[1, 736, 7, 7]> input = ?"
109,"Tensor<[1, 768, 7, 7]> input = ?"
110,"Tensor<[1, 800, 7, 7]> input = ?"
111,"Tensor<[1, 832, 7, 7]> input = ?"
112,"Tensor<[1, 864, 7, 7]> input = ?"
113,"Tensor<[1, 896, 7, 7]> input = ?"
114,"Tensor<[1, 928, 7, 7]> input = ?"
115,"Tensor<[1, 960, 7, 7]> input = ?"
116,"Tensor<[1, 992, 7, 7]> input = ?"
117,"Tensor<[1, 1024, 7, 7]> input = ?"
118,"Tensor<[1, 96, 112, 112]> input = ?"
119,"Tensor<[1, 144, 56, 56]> input = ?"
120,"Tensor<[1, 240, 56, 56]> input = ?"
121,"Tensor<[1, 288, 56, 56]> input = ?"
122,"Tensor<[1, 336, 56, 56]> input = ?"
123,"Tensor<[1, 384, 56, 56]> input = ?"
124,"Tensor<[1, 240, 28, 28]> input = ?"
125,"Tensor<[1, 336, 28, 28]> input = ?"
126,"Tensor<[1, 432, 28, 28]> input = ?"
127,"Tensor<[1, 528, 28, 28]> input = ?"
128,"Tensor<[1, 576, 28, 28]> input = ?"
129,"Tensor<[1, 624, 28, 28]> input = ?"
130,"Tensor<[1, 672, 28, 28]> input = ?"
131,"Tensor<[1, 720, 28, 28]> input = ?"
132,"Tensor<[1, 768, 28, 28]> input = ?"
133,"Tensor<[1, 192, 14, 14]> input = ?"
134,"Tensor<[1, 432, 14, 14]> input = ?"
135,"Tensor<[1, 528, 14, 14]> input = ?"
136,"Tensor<[1, 624, 14, 14]> input = ?"
137,"Tensor<[1, 720, 14, 14]> input = ?"
138,"Tensor<[1, 816, 14, 14]> input = ?"
139,"Tensor<[1, 912, 14, 14]> input = ?"
140,"Tensor<[1, 1008, 14, 14]> input = ?"
141,"Tensor<[1, 1056, 14, 14]> input = ?"
142,"Tensor<[1, 1104, 14, 14]> input = ?"
143,"Tensor<[1, 1152, 14, 14]> input = ?"
144,"Tensor<[1, 1200, 14, 14]> input = ?"
145,"Tensor<[1, 1248, 14, 14]> input = ?"
146,"Tensor<[1, 1296, 14, 14]> input = ?"
147,"Tensor<[1, 1344, 14, 14]> input = ?"
148,"Tensor<[1, 1392, 14, 14]> input = ?"
149,"Tensor<[1, 1440, 14, 14]> input = ?"
150,"Tensor<[1, 1488, 14, 14]> input = ?"
151,"Tensor<[1, 1536, 14, 14]> input = ?"
152,"Tensor<[1, 1584, 14, 14]> input = ?"
153,"Tensor<[1, 1632, 14, 14]> input = ?"
154,"Tensor<[1, 1680, 14, 14]> input = ?"
155,"Tensor<[1, 1728, 14, 14]> input = ?"
156,"Tensor<[1, 1776, 14, 14]> input = ?"
157,"Tensor<[1, 1824, 14, 14]> input = ?"
158,"Tensor<[1, 1872, 14, 14]> input = ?"
159,"Tensor<[1, 1920, 14, 14]> input = ?"
160,"Tensor<[1, 1968, 14, 14]> input = ?"
161,"Tensor<[1, 2016, 14, 14]> input = ?"
162,"Tensor<[1, 2064, 14, 14]> input = ?"
163,"Tensor<[1, 2112, 14, 14]> input = ?"
164,"Tensor<[1, 1056, 7, 7]> input = ?"
165,"Tensor<[1, 192, 7, 7]> input = ?"
166,"Tensor<[1, 1104, 7, 7]> input = ?"
167,"Tensor<[1, 1152, 7, 7]> input = ?"
168,"Tensor<[1, 1200, 7, 7]> input = ?"
169,"Tensor<[1, 1248, 7, 7]> input = ?"
170,"Tensor<[1, 1296, 7, 7]> input = ?"
171,"Tensor<[1, 1344, 7, 7]> input = ?"
172,"Tensor<[1, 1392, 7, 7]> input = ?"
173,"Tensor<[1, 1440, 7, 7]> input = ?"
174,"Tensor<[1, 1488, 7, 7]> input = ?"
175,"Tensor<[1, 1536, 7, 7]> input = ?"
176,"Tensor<[1, 1584, 7, 7]> input = ?"
177,"Tensor<[1, 1632, 7, 7]> input = ?"
178,"Tensor<[1, 1680, 7, 7]> input = ?"
179,"Tensor<[1, 1728, 7, 7]> input = ?"
180,"Tensor<[1, 1776, 7, 7]> input = ?"
181,"Tensor<[1, 1824, 7, 7]> input = ?"
182,"Tensor<[1, 1872, 7, 7]> input = ?"
183,"Tensor<[1, 1920, 7, 7]> input = ?"
184,"Tensor<[1, 1968, 7, 7]> input = ?"
185,"Tensor<[1, 2016, 7, 7]> input = ?"
186,"Tensor<[1, 2064, 7, 7]> input = ?"
187,"Tensor<[1, 2112, 7, 7]> input = ?"
188,"Tensor<[1, 2160, 7, 7]> input = ?"
189,"Tensor<[1, 2208, 7, 7]> input = ?"
190,"Tensor<[1, 1088, 14, 14]> input = ?"
191,"Tensor<[1, 1120, 14, 14]> input = ?"
