Variation #,Input,Other
0,"Tensor<[1, 1, 1, 256]> input = ?",Tensor<> other = -3.3895313892515355e+38
1,"Tensor<[1, 32]> input = ?","Tensor<[1, 32]> other = ?"
2,"Tensor<[16, 1]> input = ?","Tensor<[1, 1, 32]> other = ?"
3,"Tensor<[1, 32, 6144]> input = ?",Tensor other = 0.5
4,"Tensor<[1, 32, 6144]> input = ?",Tensor other = 0.79788456
5,"Tensor<[1, 32, 6144]> input = ?",Tensor other = 0.044715
6,"Tensor<[1, 32, 6144]> input = ?","Tensor<[1, 32, 6144]> other = ?"
7,"Tensor<[1, 50, 768]> input = ?",Tensor other = 0.125
8,"Tensor<[1, 50, 3072]> input = ?",Tensor other = 1.702
9,"Tensor<[1, 50, 3072]> input = ?","Tensor<[1, 50, 3072]> other = ?"
10,"Tensor<[2, 7, 512]> input = ?",Tensor other = 0.125
11,"Tensor<[2, 7, 2048]> input = ?",Tensor other = 1.702
12,"Tensor<[2, 7, 2048]> input = ?","Tensor<[2, 7, 2048]> other = ?"
13,"Tensor<[2, 1]> input = ?",Tensor<[]> other = ?
14,"Tensor<[1, 64, 1, 1]> input = ?","Tensor<[1, 64, 1, 1]> other = ?"
15,"Tensor<[1, 64, 360, 640]> input = ?","Tensor<[1, 64, 1, 1]> other = ?"
16,"Tensor<[1, 64, 180, 320]> input = ?","Tensor<[1, 64, 1, 1]> other = ?"
17,"Tensor<[1, 256, 1, 1]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
18,"Tensor<[1, 256, 180, 320]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
19,"Tensor<[1, 128, 1, 1]> input = ?","Tensor<[1, 128, 1, 1]> other = ?"
20,"Tensor<[1, 128, 180, 320]> input = ?","Tensor<[1, 128, 1, 1]> other = ?"
21,"Tensor<[1, 128, 90, 160]> input = ?","Tensor<[1, 128, 1, 1]> other = ?"
22,"Tensor<[1, 512, 1, 1]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
23,"Tensor<[1, 512, 90, 160]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
24,"Tensor<[1, 256, 90, 160]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
25,"Tensor<[1, 256, 45, 80]> input = ?","Tensor<[1, 256, 1, 1]> other = ?"
26,"Tensor<[1, 1024, 1, 1]> input = ?","Tensor<[1, 1024, 1, 1]> other = ?"
27,"Tensor<[1, 1024, 45, 80]> input = ?","Tensor<[1, 1024, 1, 1]> other = ?"
28,"Tensor<[1, 512, 45, 80]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
29,"Tensor<[1, 512, 23, 40]> input = ?","Tensor<[1, 512, 1, 1]> other = ?"
30,"Tensor<[1, 2048, 1, 1]> input = ?","Tensor<[1, 2048, 1, 1]> other = ?"
31,"Tensor<[1, 2048, 23, 40]> input = ?","Tensor<[1, 2048, 1, 1]> other = ?"
32,Tensor<[23]> input = ?,Tensor other = 31.304347826086957
33,Tensor<[40]> input = ?,Tensor other = 32.0
34,"Tensor<[1, 23, 40]> input = ?",Tensor other = 6.283185307179586
35,Tensor<[128]> input = ?,Tensor other = 2
36,"Tensor<[1, 1, 1, 25]> input = ?",Tensor other = -3.4028234663852886e+38
37,"Tensor<[1, 1, 1, 15]> input = ?",Tensor other = -3.4028234663852886e+38
38,"Tensor<[1, 15, 512]> input = ?","Tensor<[1, 15, 1]> other = ?"
39,Tensor<[512]> input = ?,"Tensor<[1, 15, 512]> other = ?"
40,"Tensor<[15, 15]> input = ?",Tensor other = 16
41,"Tensor<[15, 15]> input = ?",Tensor other = 8
42,"Tensor<[1, 15, 1024]> input = ?",Tensor other = 0.5
