Variation #,Input,Pin Memory,Dtype,Device
0,"Tensor<[100, 1, 256]> input = ?",Optional[bool] pin_memory = False,,
1,"Tensor<[1, 920]> input = ?",Optional[bool] pin_memory = False,Optional[int] dtype = torch.float32,
2,"Tensor<[1, 1]> input = ?",Optional[bool] pin_memory = False,,
3,"Tensor<[2, 2]> input = ?",Optional[bool] pin_memory = False,,
4,"Tensor<[s0 + 1, s0 + 1]> input = ?",Optional[bool] pin_memory = False,,
5,"Tensor<[17, 17]> input = ?",Optional[bool] pin_memory = False,,
6,"Tensor<[7, 7]> input = ?",,Optional[int] dtype = torch.bfloat16,
7,Tensor<[13685]> input = ?,Optional[bool] pin_memory = False,Optional[int] dtype = torch.bool,
8,"Tensor<[1, 8]> input = ?",Optional[bool] pin_memory = False,Optional[int] dtype = torch.int64,Optional[Device] device = cpu
