Variation #,Input,Dim0,Dim1
83,"Tensor<[1, 9, 8, 160]> input = ?",int dim0 = 1,int dim1 = 2
84,"Tensor<[1, 64, 8, 160]> input = ?",int dim0 = 1,int dim1 = 2
85,"Tensor<[1, 8, 64, 160]> input = ?",int dim0 = 1,int dim1 = 2
86,"Tensor<[1, 144, 768]> input = ?",int dim0 = 1,int dim1 = 2
87,"Tensor<[1, 768, 192]> input = ?",int dim0 = 1,int dim1 = 2
88,"Tensor<[1, 12, 201, 64]> input = ?",int dim0 = -1,int dim1 = -2
89,"Tensor<[1, 1500, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
90,"Tensor<[1, 12, 1500, 64]> input = ?",int dim0 = 1,int dim1 = 2
91,"Tensor<[1, 1, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
92,"Tensor<[1, 12, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
93,"Tensor<[1, 4, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
94,"Tensor<[1, 12, 4, 64]> input = ?",int dim0 = 1,int dim1 = 2
95,"Tensor<[1, 19, 16, 64]> input = ?",int dim0 = 1,int dim1 = 2
96,"Tensor<[16, 19, 64]> input = ?",int dim0 = 1,int dim1 = 2
97,"Tensor<[1, 16, 19, 64]> input = ?",int dim0 = 1,int dim1 = 2
98,"Tensor<[1, 192, 1344]> input = ?",int dim0 = 1,int dim1 = 2
99,"Tensor<[1, 4150, 192]> input = ?",int dim0 = 1,int dim1 = 2
100,"Tensor<[1, 3, 1445, 64]> input = ?",int dim0 = -1,int dim1 = -2
101,"Tensor<[1, 12, 12, 64]> input = ?",int dim0 = -1,int dim1 = -2
102,"Tensor<[1, 12, 12, 64]> input = ?",int dim0 = 2,int dim1 = 1
103,"Tensor<[1, 16, 9, 64]> input = ?",int dim0 = -1,int dim1 = -2
104,"Tensor<[1, 16, 9, 64]> input = ?",int dim0 = 2,int dim1 = 1
105,"Tensor<[1, 16, 9, 128]> input = ?",int dim0 = -1,int dim1 = -2
106,"Tensor<[1, 16, 9, 128]> input = ?",int dim0 = 2,int dim1 = 1
107,"Tensor<[1, 64, 9, 64]> input = ?",int dim0 = -1,int dim1 = -2
108,"Tensor<[1, 64, 9, 64]> input = ?",int dim0 = 2,int dim1 = 1
109,"Tensor<[1, 16, 5, 64]> input = ?",int dim0 = -1,int dim1 = -2
110,"Tensor<[1, 16, 6, 64]> input = ?",int dim0 = -1,int dim1 = -2
111,"Tensor<[1, 16, s10 + 1, 64]> input = ?",int dim0 = -1,int dim1 = -2
112,"Tensor<[1, 16, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
113,"Tensor<[1, 12, 16, 64]> input = ?",int dim0 = 2,int dim1 = 3
114,"Tensor<[1, 12, 16, 64]> input = ?",int dim0 = 1,int dim1 = 2
115,"Tensor<[1, 768, 196]> input = ?",int dim0 = 1,int dim1 = 2
116,"Tensor<[1, 12, 197, 64]> input = ?",int dim0 = -1,int dim1 = -2
117,"Tensor<[1, 1024, 196]> input = ?",int dim0 = 1,int dim1 = 2
118,"Tensor<[1, 16, 197, 64]> input = ?",int dim0 = -1,int dim1 = -2
119,"Tensor<[1, 196, 768]> input = ?",int dim0 = 1,int dim1 = 2
120,"Tensor<[1, 24, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
121,"Tensor<[12, 24, 64]> input = ?",int dim0 = 1,int dim1 = 2
122,"Tensor<[12, 24, 64]> input = ?",int dim0 = 0,int dim1 = 1
123,"Tensor<[24, 24, 64]> input = ?",int dim0 = -2,int dim1 = -1
124,"Tensor<[24, 12, 24]> input = ?",int dim0 = 0,int dim1 = 1
125,"Tensor<[1, 12, 24, 64]> input = ?",int dim0 = 1,int dim1 = 2
126,"Tensor<[12, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
127,"Tensor<[12, 2, 64]> input = ?",int dim0 = 1,int dim1 = 2
128,"Tensor<[12, s0 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
129,"Tensor<[12, s2 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
130,"Tensor<[12, s4 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
131,"Tensor<[12, s6 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
132,"Tensor<[12, s8 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
133,"Tensor<[12, s10 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
134,"Tensor<[1, 96, 80]> input = ?",int dim0 = 1,int dim1 = 2
135,"Tensor<[1, 80, 96]> input = ?",int dim0 = 1,int dim1 = 2
136,"Tensor<[1, 96, 80]> input = ?",int dim0 = 2,int dim1 = 1
137,"Tensor<[1, 24576]> input = ?",int dim0 = 1,int dim1 = 0
138,"Tensor<[64, 4, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
139,"Tensor<[64, 4, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
140,"Tensor<[16, 8, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
141,"Tensor<[16, 8, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
142,"Tensor<[4, 16, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
143,"Tensor<[4, 16, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
144,"Tensor<[1, 32, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
145,"Tensor<[1, 32, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
146,"Tensor<[64, 3, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
147,"Tensor<[64, 3, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
148,"Tensor<[16, 6, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
149,"Tensor<[16, 6, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
150,"Tensor<[4, 12, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
151,"Tensor<[4, 12, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
152,"Tensor<[1, 24, 49, 32]> input = ?",int dim0 = -2,int dim1 = -1
153,"Tensor<[1, 24, 49, 32]> input = ?",int dim0 = 1,int dim1 = 2
154,"Tensor<[64, 4, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
155,"Tensor<[64, 4, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
156,"Tensor<[16, 8, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
157,"Tensor<[16, 8, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
158,"Tensor<[4, 16, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
159,"Tensor<[4, 16, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
160,"Tensor<[1, 32, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
161,"Tensor<[1, 32, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
162,"Tensor<[64, 3, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
163,"Tensor<[64, 3, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
164,"Tensor<[16, 6, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
165,"Tensor<[16, 6, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
166,"Tensor<[4, 12, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
167,"Tensor<[4, 12, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
168,"Tensor<[1, 24, 64, 32]> input = ?",int dim0 = -2,int dim1 = -1
169,"Tensor<[1, 24, 64, 32]> input = ?",int dim0 = 1,int dim1 = 2
170,"Tensor<[1, 10, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
171,"Tensor<[1, 12, 10, 64]> input = ?",int dim0 = 3,int dim1 = 2
172,"Tensor<[1, 12, 10, 64]> input = ?",int dim0 = 1,int dim1 = 2
173,"Tensor<[1, 12, 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
174,"Tensor<[1, 12, 2, 64]> input = ?",int dim0 = 3,int dim1 = 2
175,"Tensor<[1, 12, s0 + 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
176,"Tensor<[1, 10, 16, 64]> input = ?",int dim0 = 1,int dim1 = 2
177,"Tensor<[1, 16, 10, 64]> input = ?",int dim0 = 3,int dim1 = 2
178,"Tensor<[1, 16, 10, 64]> input = ?",int dim0 = 1,int dim1 = 2
179,"Tensor<[1, 16, 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
180,"Tensor<[1, 16, 2, 64]> input = ?",int dim0 = 3,int dim1 = 2
181,"Tensor<[1, 16, s0 + 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
182,"Tensor<[1, 10, 8, 64]> input = ?",int dim0 = 1,int dim1 = 2
183,"Tensor<[1, 8, 10, 64]> input = ?",int dim0 = 3,int dim1 = 2
184,"Tensor<[1, 8, 10, 64]> input = ?",int dim0 = 1,int dim1 = 2
185,"Tensor<[1, 1, 8, 64]> input = ?",int dim0 = 1,int dim1 = 2
186,"Tensor<[1, 8, 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
187,"Tensor<[1, 8, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
188,"Tensor<[1, 8, 2, 64]> input = ?",int dim0 = 3,int dim1 = 2
189,"Tensor<[1, 8, s0 + 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
190,"Tensor<[1, 12, 9, 64]> input = ?",int dim0 = -1,int dim1 = -2
191,"Tensor<[1, 12, 9, 64]> input = ?",int dim0 = 2,int dim1 = 1
192,"Tensor<[1, 12, 14, 64]> input = ?",int dim0 = -1,int dim1 = -2
193,"Tensor<[1, 12, 14, 64]> input = ?",int dim0 = 2,int dim1 = 1
194,"Tensor<[1, 197, 768]> input = ?",int dim0 = 1,int dim1 = 0
195,"Tensor<[1, 197, 1, 3, 768]> input = ?",int dim0 = 0,int dim1 = -2
196,"Tensor<[197, 12, 64]> input = ?",int dim0 = 0,int dim1 = 1
197,"Tensor<[197, 1, 768]> input = ?",int dim0 = 1,int dim1 = 0
198,"Tensor<[1, 50, 768]> input = ?",int dim0 = 1,int dim1 = 0
199,"Tensor<[1, 50, 1, 3, 768]> input = ?",int dim0 = 0,int dim1 = -2
200,"Tensor<[50, 12, 64]> input = ?",int dim0 = 0,int dim1 = 1
201,"Tensor<[50, 1, 768]> input = ?",int dim0 = 1,int dim1 = 0
202,"Tensor<[1, 1370, 1280]> input = ?",int dim0 = 1,int dim1 = 0
203,"Tensor<[1, 1370, 1, 3, 1280]> input = ?",int dim0 = 0,int dim1 = -2
204,"Tensor<[1370, 16, 80]> input = ?",int dim0 = 0,int dim1 = 1
205,"Tensor<[1370, 1, 1280]> input = ?",int dim0 = 1,int dim1 = 0
206,"Tensor<[1, 197, 1024]> input = ?",int dim0 = 1,int dim1 = 0
207,"Tensor<[1, 197, 1, 3, 1024]> input = ?",int dim0 = 0,int dim1 = -2
208,"Tensor<[197, 16, 64]> input = ?",int dim0 = 0,int dim1 = 1
209,"Tensor<[197, 1, 1024]> input = ?",int dim0 = 1,int dim1 = 0
210,"Tensor<[1, 50, 1024]> input = ?",int dim0 = 1,int dim1 = 0
211,"Tensor<[1, 50, 1, 3, 1024]> input = ?",int dim0 = 0,int dim1 = -2
212,"Tensor<[50, 16, 64]> input = ?",int dim0 = 0,int dim1 = 1
213,"Tensor<[50, 1, 1024]> input = ?",int dim0 = 1,int dim1 = 0
