Variation #,Input,Dim0,Dim1
0,"Tensor<[1, 16, 256, 64]> input = ?",int<> dim0 = -1,int<> dim1 = -2
1,"Tensor<[1, 32, 16, 96]> input = ?",int dim0 = 1,int dim1 = 2
2,"Tensor<[1, 768, 49]> input = ?",int dim0 = 1,int dim1 = 2
3,"Tensor<[1, 50, 12, 64]> input = ?",int dim0 = 1,int dim1 = 2
4,"Tensor<[12, 50, 64]> input = ?",int dim0 = 1,int dim1 = 2
5,"Tensor<[1, 12, 50, 64]> input = ?",int dim0 = 1,int dim1 = 2
6,"Tensor<[2, 7, 8, 64]> input = ?",int dim0 = 1,int dim1 = 2
7,"Tensor<[16, 7, 64]> input = ?",int dim0 = 1,int dim1 = 2
8,"Tensor<[2, 8, 7, 64]> input = ?",int dim0 = 1,int dim1 = 2
9,"Tensor<[920, 8, 32]> input = ?",int dim0 = 0,int dim1 = 1
10,"Tensor<[8, 920, 32]> input = ?",int dim0 = -2,int dim1 = -1
11,"Tensor<[8, 920, 32]> input = ?",int dim0 = 0,int dim1 = 1
12,"Tensor<[100, 8, 32]> input = ?",int dim0 = 0,int dim1 = 1
13,"Tensor<[8, 100, 32]> input = ?",int dim0 = -2,int dim1 = -1
14,"Tensor<[8, 100, 32]> input = ?",int dim0 = 0,int dim1 = 1
15,"Tensor<[6, 100, 1, 256]> input = ?",int dim0 = 1,int dim1 = 2
16,"Tensor<[1, 12, 25, 64]> input = ?",int dim0 = -1,int dim1 = -2
17,"Tensor<[1, 15, 6, 64]> input = ?",int dim0 = 1,int dim1 = 2
18,"Tensor<[1, 6, 15, 64]> input = ?",int dim0 = 3,int dim1 = 2
19,"Tensor<[1, 6, 15, 64]> input = ?",int dim0 = 1,int dim1 = 2
20,"Tensor<[1, 1, 6, 64]> input = ?",int dim0 = 1,int dim1 = 2
21,"Tensor<[1, 6, 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
22,"Tensor<[1, 6, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
23,"Tensor<[1, 6, 2, 64]> input = ?",int dim0 = 3,int dim1 = 2
24,"Tensor<[1, 6, s0 + 1, 64]> input = ?",int dim0 = 3,int dim1 = 2
25,"Tensor<[1, 6, 17, 64]> input = ?",int dim0 = 3,int dim1 = 2
26,"Tensor<[1, 7, 71, 64]> input = ?",int dim0 = 1,int dim1 = 2
27,"Tensor<[1, 7, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
28,"Tensor<[1, 1, 7, 64]> input = ?",int dim0 = -2,int dim1 = -1
29,"Tensor<[1, 64, 19200]> input = ?",int dim0 = 1,int dim1 = 2
30,"Tensor<[1, 1, 300, 64]> input = ?",int dim0 = -1,int dim1 = -2
31,"Tensor<[1, 19200, 256]> input = ?",int dim0 = 1,int dim1 = 2
32,"Tensor<[1, 256, 19200]> input = ?",int dim0 = 1,int dim1 = 2
33,"Tensor<[1, 128, 4800]> input = ?",int dim0 = 1,int dim1 = 2
34,"Tensor<[1, 2, 300, 64]> input = ?",int dim0 = -1,int dim1 = -2
35,"Tensor<[1, 4800, 512]> input = ?",int dim0 = 1,int dim1 = 2
36,"Tensor<[1, 512, 4800]> input = ?",int dim0 = 1,int dim1 = 2
37,"Tensor<[1, 320, 1200]> input = ?",int dim0 = 1,int dim1 = 2
38,"Tensor<[1, 5, 300, 64]> input = ?",int dim0 = -1,int dim1 = -2
39,"Tensor<[1, 1200, 1280]> input = ?",int dim0 = 1,int dim1 = 2
40,"Tensor<[1, 1280, 1200]> input = ?",int dim0 = 1,int dim1 = 2
41,"Tensor<[1, 512, 300]> input = ?",int dim0 = 1,int dim1 = 2
42,"Tensor<[1, 8, 300, 64]> input = ?",int dim0 = -1,int dim1 = -2
43,"Tensor<[1, 300, 2048]> input = ?",int dim0 = 1,int dim1 = 2
44,"Tensor<[1, 2048, 300]> input = ?",int dim0 = 1,int dim1 = 2
45,"Tensor<[1, 12, 7, 64]> input = ?",int dim0 = -1,int dim1 = -2
46,"Tensor<[1, 12, 45, 64]> input = ?",int dim0 = -1,int dim1 = -2
47,"Tensor<[1, 12, 46, 64]> input = ?",int dim0 = -1,int dim1 = -2
48,"Tensor<[1, 12, s10 + 1, 64]> input = ?",int dim0 = -1,int dim1 = -2
49,"Tensor<[1, 59, 16, 64]> input = ?",int dim0 = 1,int dim1 = 2
50,"Tensor<[16, 59, 64]> input = ?",int dim0 = 1,int dim1 = 2
51,"Tensor<[1, 16, 59, 64]> input = ?",int dim0 = 1,int dim1 = 2
52,"Tensor<[1, 1, 16, 64]> input = ?",int dim0 = 1,int dim1 = 2
53,"Tensor<[16, 60, 64]> input = ?",int dim0 = 1,int dim1 = 2
54,"Tensor<[1, 16, 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
55,"Tensor<[16, s10 + 1, 64]> input = ?",int dim0 = 1,int dim1 = 2
56,"Tensor<[1, 8, 2048, 32]> input = ?",int dim0 = -1,int dim1 = -2
57,"Tensor<[1, 8, 256, 32]> input = ?",int dim0 = -1,int dim1 = -2
58,"Tensor<[262, 768]> input = ?",int dim0 = 0,int dim1 = 1
59,"Tensor<[1, 12, 10, 64]> input = ?",int dim0 = -1,int dim1 = -2
60,"Tensor<[1, 32, 16384]> input = ?",int dim0 = 1,int dim1 = 2
61,"Tensor<[1, 1, 256, 32]> input = ?",int dim0 = -1,int dim1 = -2
62,"Tensor<[1, 16384, 128]> input = ?",int dim0 = 1,int dim1 = 2
63,"Tensor<[1, 128, 16384]> input = ?",int dim0 = 1,int dim1 = 2
64,"Tensor<[1, 64, 4096]> input = ?",int dim0 = 1,int dim1 = 2
65,"Tensor<[1, 2, 256, 32]> input = ?",int dim0 = -1,int dim1 = -2
66,"Tensor<[1, 4096, 256]> input = ?",int dim0 = 1,int dim1 = 2
67,"Tensor<[1, 256, 4096]> input = ?",int dim0 = 1,int dim1 = 2
68,"Tensor<[1, 160, 1024]> input = ?",int dim0 = 1,int dim1 = 2
69,"Tensor<[1, 5, 256, 32]> input = ?",int dim0 = -1,int dim1 = -2
70,"Tensor<[1, 1024, 640]> input = ?",int dim0 = 1,int dim1 = 2
71,"Tensor<[1, 640, 1024]> input = ?",int dim0 = 1,int dim1 = 2
72,"Tensor<[1, 256, 256]> input = ?",int dim0 = 1,int dim1 = 2
73,"Tensor<[1, 256, 1024]> input = ?",int dim0 = 1,int dim1 = 2
74,"Tensor<[1, 1024, 256]> input = ?",int dim0 = 1,int dim1 = 2
75,"Tensor<[1, 4096, 8, 40]> input = ?",int dim0 = 1,int dim1 = 2
76,"Tensor<[1, 8, 4096, 40]> input = ?",int dim0 = 1,int dim1 = 2
77,"Tensor<[1, 9, 8, 40]> input = ?",int dim0 = 1,int dim1 = 2
78,"Tensor<[1, 1024, 8, 80]> input = ?",int dim0 = 1,int dim1 = 2
79,"Tensor<[1, 8, 1024, 80]> input = ?",int dim0 = 1,int dim1 = 2
80,"Tensor<[1, 9, 8, 80]> input = ?",int dim0 = 1,int dim1 = 2
81,"Tensor<[1, 256, 8, 160]> input = ?",int dim0 = 1,int dim1 = 2
82,"Tensor<[1, 8, 256, 160]> input = ?",int dim0 = 1,int dim1 = 2
