Variation #,Input
0,"Tensor<[1, 72, 1, 1]> input = ?"
1,"Tensor<[1, 120, 1, 1]> input = ?"
2,"Tensor<[1, 480, 1, 1]> input = ?"
3,"Tensor<[1, 672, 1, 1]> input = ?"
4,"Tensor<[1, 256, 1, 1]> input = ?"
5,"Tensor<[1, 512, 1, 1]> input = ?"
6,"Tensor<[1, 768, 1, 1]> input = ?"
7,"Tensor<[1, 1024, 1, 1]> input = ?"
8,"Tensor<[1, 960, 1, 1]> input = ?"
9,"Tensor<[1, 16, 1, 1]> input = ?"
10,"Tensor<[1, 96, 1, 1]> input = ?"
11,"Tensor<[1, 240, 1, 1]> input = ?"
12,"Tensor<[1, 144, 1, 1]> input = ?"
13,"Tensor<[1, 288, 1, 1]> input = ?"
14,"Tensor<[1, 576, 1, 1]> input = ?"
