Variation #,Input,Other
56,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = -3.0
57,"Tensor<[1, 1, 32, 1]> input = ?",Tensor other = 2.25
58,"Tensor<[1, 5]> input = ?",Tensor other = 1
59,"Tensor<[3, 480, 640]> input = ?","Tensor<[3, 1, 1]> other = ?"
60,Tensor<[800]> input = ?,Tensor other = 0.5
61,Tensor<[1066]> input = ?,Tensor other = 0.5
62,"Tensor<[800, 1]> input = ?","Tensor<[800, 1]> other = ?"
63,Tensor<[1066]> input = ?,Tensor<[1066]> other = ?
64,Tensor<[0]> input = ?,Tensor<[0]> other = ?
65,"Tensor<[0, 1]> input = ?","Tensor<[0, 1]> other = ?"
66,"Tensor<[24, 1]> input = ?","Tensor<[1, 24]> other = ?"
67,"Tensor<[96, 80]> input = ?",Tensor<[80]> other = ?
68,Tensor<[300]> input = ?,Tensor other = 0.5
69,"Tensor<[300, 1]> input = ?","Tensor<[300, 1]> other = ?"
70,Tensor<[300]> input = ?,Tensor<[300]> other = ?
71,"Tensor<[8732, 2]> input = ?","Tensor<[8732, 2]> other = ?"
72,Tensor<[8732]> input = ?,Tensor<[8732]> other = ?
73,"Tensor<[8732, 1]> input = ?","Tensor<[8732, 1]> other = ?"
74,"Tensor<[64, 1, 49]> input = ?","Tensor<[64, 49, 1]> other = ?"
75,"Tensor<[16, 1, 49]> input = ?","Tensor<[16, 49, 1]> other = ?"
76,"Tensor<[4, 1, 49]> input = ?","Tensor<[4, 49, 1]> other = ?"
77,"Tensor<[64, 1, 64]> input = ?","Tensor<[64, 64, 1]> other = ?"
78,"Tensor<[16, 1, 64]> input = ?","Tensor<[16, 64, 1]> other = ?"
79,"Tensor<[4, 1, 64]> input = ?","Tensor<[4, 64, 1]> other = ?"
80,"Tensor<[1, 10]> input = ?","Tensor<[10, 1]> other = ?"
