Variation #,Input,Dim,Keepdim
0,"Tensor<[1, 10]> input = ?",Optional[List[int]] dim = [0],bool keepdim = True
1,"Tensor<[1, 128]> input = ?",Optional[List[int]] dim = [0],bool keepdim = True
2,"Tensor<[1, 12, 16]> input = ?",Optional[List[int]] dim = [1],
3,"Tensor<[1, 12, 16]> input = ?",Optional[List[int]] dim = [2],
