Variation #,Input,Split Sizes,Dim
0,"Tensor<[1, 3, 64, 64, 85]> input = ?","List[int] split_sizes = [2, 2, 81]",int dim = 4
1,"Tensor<[1, 3, 32, 32, 85]> input = ?","List[int] split_sizes = [2, 2, 81]",int dim = 4
2,"Tensor<[1, 3, 16, 16, 85]> input = ?","List[int] split_sizes = [2, 2, 81]",int dim = 4
3,"Tensor<[1, 163206, 91]> input = ?","List[int] split_sizes = [122400, 30600, 7650, 1989, 567]",int dim = 1
4,"Tensor<[1, 163206, 4]> input = ?","List[int] split_sizes = [122400, 30600, 7650, 1989, 567]",int dim = 1
5,"Tensor<[163206, 4]> input = ?","List[int] split_sizes = [122400, 30600, 7650, 1989, 567]",
