Variation #,Input,Dim
130,Tensor<[7]> input = ?,int dim = -1
131,"Tensor<[1, 224, 224]> input = ?",int dim = 1
132,"Tensor<[12, 197, 197]> input = ?",int dim = 0
133,"Tensor<[16, 197, 197]> input = ?",int dim = 0
134,"Tensor<[3, 480, 640]> input = ?",int dim = 0
135,Tensor<[800]> input = ?,int dim = 1
136,Tensor<[50]> input = ?,int dim = -1
137,Tensor<[100]> input = ?,int dim = -1
138,Tensor<[0]> input = ?,int dim = 1
139,"Tensor<[1, 24]> input = ?",int dim = 1
140,"Tensor<[1, 1, 24]> input = ?",int dim = 2
141,Tensor<[24]> input = ?,int dim = 1
142,Tensor<[24]> input = ?,int dim = 0
143,"Tensor<[1, 256]> input = ?",int dim = 0
144,"Tensor<[1, 512]> input = ?",int dim = 1
145,"Tensor<[s0, 256]> input = ?",int dim = 0
146,"Tensor<[96, 80]> input = ?",int dim = 0
147,Tensor<[300]> input = ?,int dim = 1
148,Tensor<[8732]> input = ?,int dim = 1
149,Tensor<[25]> input = ?,int dim = 1
150,"Tensor<[4, 49, 49]> input = ?",int dim = 0
151,"Tensor<[64, 49]> input = ?",int dim = 1
152,"Tensor<[64, 49]> input = ?",int dim = 2
153,"Tensor<[64, 49, 49]> input = ?",int dim = 1
154,"Tensor<[64, 1, 49, 49]> input = ?",int dim = 0
155,"Tensor<[8, 49, 49]> input = ?",int dim = 0
156,"Tensor<[16, 49]> input = ?",int dim = 1
157,"Tensor<[16, 49]> input = ?",int dim = 2
158,"Tensor<[16, 49, 49]> input = ?",int dim = 1
159,"Tensor<[16, 1, 49, 49]> input = ?",int dim = 0
160,"Tensor<[16, 49, 49]> input = ?",int dim = 0
161,"Tensor<[4, 49]> input = ?",int dim = 1
162,"Tensor<[4, 49]> input = ?",int dim = 2
163,"Tensor<[4, 49, 49]> input = ?",int dim = 1
164,"Tensor<[4, 1, 49, 49]> input = ?",int dim = 0
165,"Tensor<[32, 49, 49]> input = ?",int dim = 0
166,"Tensor<[3, 49, 49]> input = ?",int dim = 0
167,"Tensor<[6, 49, 49]> input = ?",int dim = 0
168,"Tensor<[12, 49, 49]> input = ?",int dim = 0
169,"Tensor<[24, 49, 49]> input = ?",int dim = 0
170,"Tensor<[4, 64, 64]> input = ?",int dim = 0
171,"Tensor<[64, 64]> input = ?",int dim = 1
172,"Tensor<[64, 64]> input = ?",int dim = 2
173,"Tensor<[64, 64, 64]> input = ?",int dim = 1
174,"Tensor<[64, 1, 64, 64]> input = ?",int dim = 0
175,"Tensor<[8, 64, 64]> input = ?",int dim = 0
176,"Tensor<[16, 64]> input = ?",int dim = 1
177,"Tensor<[16, 64]> input = ?",int dim = 2
178,"Tensor<[16, 64, 64]> input = ?",int dim = 1
179,"Tensor<[16, 1, 64, 64]> input = ?",int dim = 0
180,"Tensor<[16, 64, 64]> input = ?",int dim = 0
181,"Tensor<[4, 64]> input = ?",int dim = 1
182,"Tensor<[4, 64]> input = ?",int dim = 2
183,"Tensor<[4, 64, 64]> input = ?",int dim = 1
184,"Tensor<[4, 1, 64, 64]> input = ?",int dim = 0
185,"Tensor<[32, 64, 64]> input = ?",int dim = 0
186,"Tensor<[3, 64, 64]> input = ?",int dim = 0
187,"Tensor<[6, 64, 64]> input = ?",int dim = 0
188,"Tensor<[12, 64, 64]> input = ?",int dim = 0
189,"Tensor<[24, 64, 64]> input = ?",int dim = 0
190,Tensor<[10]> input = ?,int dim = 1
191,Tensor<[10]> input = ?,int dim = 0
192,"Tensor<[12, 10, 10]> input = ?",int dim = 0
193,"Tensor<[12, 1, 1]> input = ?",int dim = 0
194,"Tensor<[12, 2, 2]> input = ?",int dim = 0
195,"Tensor<[12, s0 + 1, s0 + 1]> input = ?",int dim = 0
196,"Tensor<[16, 10, 10]> input = ?",int dim = 0
197,"Tensor<[16, 1, 1]> input = ?",int dim = 0
198,"Tensor<[16, 2, 2]> input = ?",int dim = 0
199,"Tensor<[16, s0 + 1, s0 + 1]> input = ?",int dim = 0
200,"Tensor<[8, 10, 10]> input = ?",int dim = 0
201,"Tensor<[8, 1, 1]> input = ?",int dim = 0
202,"Tensor<[8, 2, 2]> input = ?",int dim = 0
203,"Tensor<[8, s0 + 1, s0 + 1]> input = ?",int dim = 0
204,"Tensor<[1, 14]> input = ?",int dim = 1
205,"Tensor<[1, 1, 14]> input = ?",int dim = 2
206,"Tensor<[197, 1, 3, 768]> input = ?",int dim = 0
207,"Tensor<[50, 1, 3, 768]> input = ?",int dim = 0
208,"Tensor<[1370, 1, 3, 1280]> input = ?",int dim = 0
209,"Tensor<[197, 1, 3, 1024]> input = ?",int dim = 0
210,"Tensor<[50, 1, 3, 1024]> input = ?",int dim = 0
