Variation #,Input,Dim
0,"Tensor<[1, 256]> input = ?",int<> dim = 1
1,"Tensor<[1, 1, 256]> input = ?",int<> dim = 2
2,"Tensor<[1, 32]> input = ?",int dim = 1
3,Tensor<[16]> input = ?,int dim = 1
4,"Tensor<[32, 32]> input = ?",int dim = 0
5,"Tensor<[1, 32, 32]> input = ?",int dim = 1
6,"Tensor<[1, 1, 32]> input = ?",int dim = 2
7,"Tensor<[7, 7]> input = ?",int dim = 0
8,"Tensor<[1, 7, 7]> input = ?",int dim = 1
9,"Tensor<[2, 7]> input = ?",int dim = 1
10,"Tensor<[2, 1, 7]> input = ?",int dim = 2
11,"Tensor<[1, 720, 1280]> input = ?",int dim = 0
12,Tensor<[23]> input = ?,int dim = -1
13,"Tensor<[1, 23, 40]> input = ?",int dim = 3
14,"Tensor<[100, 256]> input = ?",int dim = 1
15,"Tensor<[1, 25]> input = ?",int dim = 1
16,"Tensor<[1, 1, 25]> input = ?",int dim = 2
17,"Tensor<[1, 15]> input = ?",int dim = 1
18,"Tensor<[1, 1, 15]> input = ?",int dim = 2
19,Tensor<[15]> input = ?,int dim = 1
20,Tensor<[15]> input = ?,int dim = 0
21,"Tensor<[6, 15, 15]> input = ?",int dim = 0
22,Tensor<[1]> input = ?,int dim = 0
23,"Tensor<[1, 1]> input = ?",int dim = 1
24,"Tensor<[1, 1]> input = ?",int dim = 2
25,"Tensor<[1, 1, 1]> input = ?",int dim = 1
26,"Tensor<[1, 1, 1]> input = ?",int dim = 2
27,Tensor<[1]> input = ?,int dim = 1
28,"Tensor<[6, 1, 1]> input = ?",int dim = 0
29,"Tensor<[1, 1, 2]> input = ?",int dim = 1
30,"Tensor<[1, 2]> input = ?",int dim = 1
31,"Tensor<[1, 1, 2]> input = ?",int dim = 2
32,Tensor<[2]> input = ?,int dim = 1
33,Tensor<[2]> input = ?,int dim = 0
34,"Tensor<[6, 2, 2]> input = ?",int dim = 0
35,"Tensor<[1, 1, s0 + 1]> input = ?",int dim = 1
36,"Tensor<[1, s0 + 1]> input = ?",int dim = 1
37,"Tensor<[1, 1, s0 + 1]> input = ?",int dim = 2
38,Tensor<[s0 + 1]> input = ?,int dim = 1
39,Tensor<[s0 + 1]> input = ?,int dim = 0
40,"Tensor<[6, s0 + 1, s0 + 1]> input = ?",int dim = 0
41,"Tensor<[1, 1, 17]> input = ?",int dim = 1
42,"Tensor<[1, 17]> input = ?",int dim = 1
43,"Tensor<[1, 1, 17]> input = ?",int dim = 2
44,Tensor<[17]> input = ?,int dim = 1
45,Tensor<[17]> input = ?,int dim = 0
46,"Tensor<[6, 17, 17]> input = ?",int dim = 0
47,"Tensor<[1, 1, s0]> input = ?",int dim = 1
48,"Tensor<[1, s0]> input = ?",int dim = 1
49,"Tensor<[1, 1, s0]> input = ?",int dim = 2
50,Tensor<[7]> input = ?,int dim = 0
51,"Tensor<[1, 7, 64]> input = ?",int dim = 1
52,Tensor<[30]> input = ?,int dim = 1
53,"Tensor<[1, 30, 40]> input = ?",int dim = 1
54,Tensor<[60]> input = ?,int dim = 1
55,"Tensor<[1, 60, 80]> input = ?",int dim = 1
56,Tensor<[120]> input = ?,int dim = 1
57,"Tensor<[1, 120, 160]> input = ?",int dim = 1
58,Tensor<[240]> input = ?,int dim = 1
59,Tensor<[480]> input = ?,int dim = 1
60,"Tensor<[1, 7]> input = ?",int dim = 1
61,"Tensor<[1, 1, 7]> input = ?",int dim = 2
62,"Tensor<[1, 45]> input = ?",int dim = 1
63,"Tensor<[45, 45]> input = ?",int dim = 0
64,"Tensor<[1, 45, 45]> input = ?",int dim = 1
65,"Tensor<[1, 1, 45]> input = ?",int dim = 2
66,"Tensor<[1, 46]> input = ?",int dim = 1
67,"Tensor<[1, 1, 46]> input = ?",int dim = 2
68,"Tensor<[1, s10 + 1]> input = ?",int dim = 1
69,"Tensor<[1, 1, s10 + 1]> input = ?",int dim = 2
70,Tensor<[32]> input = ?,int dim = 0
71,"Tensor<[2048, 2048]> input = ?",int dim = 0
72,"Tensor<[1, 2048, 2048]> input = ?",int dim = 1
73,Tensor<[64]> input = ?,int dim = 0
74,"Tensor<[1, 64]> input = ?",int dim = 2
75,Tensor<[3]> input = ?,int dim = 1
76,"Tensor<[3, 1]> input = ?",int dim = 2
77,"Tensor<[3, 320, 320]> input = ?",int dim = 0
78,Tensor<[320]> input = ?,int dim = 1
79,Tensor<[3234]> input = ?,int dim = 1
80,"Tensor<[59, 59]> input = ?",int dim = 0
81,"Tensor<[1, 59, 59]> input = ?",int dim = 1
82,"Tensor<[1, 59]> input = ?",int dim = 1
83,"Tensor<[1, 1, 59]> input = ?",int dim = 2
84,"Tensor<[1, 60]> input = ?",int dim = 1
85,"Tensor<[1, 1, 60]> input = ?",int dim = 2
86,"Tensor<[1, 2048]> input = ?",int dim = 1
87,"Tensor<[1, 1, 2048]> input = ?",int dim = 2
88,"Tensor<[1, 10]> input = ?",int dim = 1
89,"Tensor<[1, 1, 10]> input = ?",int dim = 2
90,Tensor<[128]> input = ?,int dim = 1
91,"Tensor<[1, 8]> input = ?",int dim = 1
92,"Tensor<[1, 1, 8]> input = ?",int dim = 2
93,Tensor<[160]> input = ?,int dim = 0
94,"Tensor<[1, 320]> input = ?",int dim = 2
95,"Tensor<[1, 320, 1]> input = ?",int dim = 3
96,"Tensor<[1, 640]> input = ?",int dim = 2
97,"Tensor<[1, 640, 1]> input = ?",int dim = 3
98,"Tensor<[1, 1280]> input = ?",int dim = 2
99,"Tensor<[1, 1280, 1]> input = ?",int dim = 3
100,Tensor<[16]> input = ?,int dim = -1
101,Tensor<[32]> input = ?,int dim = -1
102,Tensor<[64]> input = ?,int dim = -1
103,"Tensor<[1, 384, 512]> input = ?",int dim = 1
104,Tensor<[12]> input = ?,int dim = -1
105,"Tensor<[12, 16, 2]> input = ?",int dim = 0
106,"Tensor<[1, 12, 16, 2]> input = ?",int dim = 1
107,"Tensor<[1, 201]> input = ?",int dim = 1
108,"Tensor<[1, 1, 201]> input = ?",int dim = 2
109,Tensor<[19]> input = ?,int dim = 0
110,"Tensor<[19, 19]> input = ?",int dim = 0
111,"Tensor<[1, 19, 19]> input = ?",int dim = 1
112,"Tensor<[1, 19]> input = ?",int dim = 1
113,"Tensor<[1, 1, 19]> input = ?",int dim = 2
114,"Tensor<[1, 192]> input = ?",int dim = 1
115,"Tensor<[1, 12]> input = ?",int dim = 1
116,"Tensor<[1, 1, 12]> input = ?",int dim = 2
117,"Tensor<[1, 9]> input = ?",int dim = 1
118,"Tensor<[1, 1, 9]> input = ?",int dim = 2
119,"Tensor<[1, 5]> input = ?",int dim = 1
120,"Tensor<[1, 1, 5]> input = ?",int dim = 2
121,"Tensor<[1, 5, 16]> input = ?",int dim = 2
122,"Tensor<[1, 5, 1, 16]> input = ?",int dim = 4
123,"Tensor<[1, 6]> input = ?",int dim = 1
124,"Tensor<[1, 1, 6]> input = ?",int dim = 2
125,"Tensor<[1, 1, 16]> input = ?",int dim = 2
126,"Tensor<[1, 1, 1, 16]> input = ?",int dim = 4
127,Tensor<[56]> input = ?,int dim = -1
128,Tensor<[28]> input = ?,int dim = -1
129,Tensor<[14]> input = ?,int dim = -1
